Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.000,   6.000,-114.357,-198.747, -30.400
2011.000,   7.000, -36.709,-115.363,  48.884
2011.000,   8.000, 108.604,  29.996, 177.347
2011.000,   9.000, 106.292,  33.771, 154.118
2011.000,  10.000,  -5.891,-127.992,  80.982
2011.000,  11.000,  32.979, -16.553, 182.861
2011.000,  12.000, -63.021,-108.759,  -2.610
2012.000,   1.000, -50.348,-131.374,  46.427
2012.000,   2.000,   4.412,-126.559,  82.756
2012.000,   3.000, -76.567,-135.572,   7.865
2012.000,   4.000, -83.844,-152.781,  -6.647
2012.000,   5.000,  64.656,  16.971, 121.974
2012.000,   6.000,-118.940,-203.286, -35.408
2012.000,   7.000, -61.578,-138.365,  23.350
2012.000,   8.000, 105.002,  25.233, 172.975
2012.000,   9.000,  72.200,  -0.959, 118.879
2012.000,  10.000,  41.028, -81.435, 125.532
2012.000,  11.000,-138.274,-186.807,  12.464
2012.000,  12.000,   7.371, -36.811,  67.553
2013.000,   1.000, -38.216,-119.635,  58.268
2013.000,   2.000,  81.789, -48.869, 159.403
2013.000,   3.000,-113.889,-172.825, -29.249
2013.000,   4.000,  27.110, -40.565, 103.958
2013.000,   5.000,  85.446,  38.431, 141.774
2013.000,   6.000, -20.553,-104.141,  61.894
2013.000,   7.000, -53.730,-130.629,  30.915
2013.000,   8.000, 133.936,  54.100, 202.620
2013.000,   9.000,  71.812,   0.027, 118.835
2013.000,  10.000,  -8.930,-130.872,  75.966
2013.000,  11.000, -86.692,-135.437,  62.845
2013.000,  12.000,  56.772,  11.897, 117.630
2014.000,   1.000,-168.047,-248.237, -70.536
2014.000,   2.000, 118.008, -12.208, 195.395
2014.000,   3.000, -60.320,-118.425,  24.434
2014.000,   4.000,   5.649, -62.634,  81.545
2014.000,   5.000, 126.310,  81.060, 183.212
2014.000,   6.000, -84.515,-168.174,  -1.924
2014.000,   7.000, -20.743, -96.755,  64.174
2014.000,   8.000, 130.072,  49.517, 198.751
2014.000,   9.000, 123.706,  51.985, 170.822
2014.000,  10.000,  36.683, -85.028, 120.701
2014.000,  11.000,-103.817,-152.948,  46.101
2014.000,  12.000,  -9.663, -54.245,  50.771
2015.000,   1.000,-218.999,-298.258,-120.685
2015.000,   2.000,  39.963, -89.073, 117.486
2015.000,   3.000,  67.828,  10.226, 152.456
2015.000,   4.000, -24.408, -92.387,  52.397
2015.000,   5.000, 130.358,  86.083, 188.299
2015.000,   6.000, -16.659,-100.784,  65.222
2015.000,   7.000, -71.008,-146.502,  14.728
2015.000,   8.000, 122.000,  41.898, 192.188
2015.000,   9.000, 119.161,  47.515, 167.334
2015.000,  10.000, -83.653,-204.039,   0.684
2015.000,  11.000, -70.091,-116.941,  80.360
2015.000,  12.000,  31.772, -13.503,  92.132
2016.000,   1.000, -69.890,-149.586,  28.272
2016.000,   2.000,  65.908, -63.334, 144.315
2016.000,   3.000,  -2.287, -60.334,  81.512
2016.000,   4.000, -45.847,-113.018,  31.151
2016.000,   5.000,  52.137,   7.228, 110.136
