Year,Month,Median,2.5 Percentile,97.5 Percentile
2011,   6,5188,5035,5358
2011,   7,5185,5004,5357
2011,   8,5193,5055,5330
2011,   9,5228,5044,5388
2011,  10,5295,5129,5438
2011,  11,5212,4991,5358
2011,  12,5310,5098,5457
2012,   1,5150,4971,5353
2012,   2,5020,4891,5156
2012,   3,5040,4909,5159
2012,   4,5146,4978,5269
2012,   5,4981,4873,5112
2012,   6,5050,4895,5172
2012,   7,5007,4903,5171
2012,   8,4951,4834,5063
2012,   9,4908,4779,5097
2012,  10,4953,4809,5055
2012,  11,4887,4702,5008
2012,  12,4786,4605,4901
2013,   1,4484,4326,4634
2013,   2,4603,4388,4760
2013,   3,4925,4747,5044
2013,   4,4964,4810,5170
2013,   5,4970,4811,5220
2013,   6,5285,5125,5456
2013,   7,5144,4991,5275
2013,   8,4997,4889,5115
2013,   9,5016,4858,5153
2013,  10,5151,5019,5317
2013,  11,5282,5115,5532
2013,  12,5299,5140,5404
2014,   1,3825,3656,3984
2014,   2,4233,4116,4363
2014,   3,5187,5004,5283
2014,   4,5391,5213,5584
2014,   5,5548,5382,5692
2014,   6,5510,5379,5660
2014,   7,5648,5510,5740
2014,   8,5535,5377,5708
2014,   9,5652,5526,5838
2014,  10,5983,5831,6131
2014,  11,5915,5660,6121
2014,  12,5835,5674,6060
2015,   1,4779,4602,4896
2015,   2,4381,4275,4517
2015,   3,5566,5413,5714
2015,   4,6032,5880,6179
2015,   5,5776,5622,5900
2015,   6,6129,5925,6309
2015,   7,5912,5745,6065
2015,   8,5730,5634,5863
2015,   9,5893,5741,6031
2015,  10,5816,5660,5981
2015,  11,5862,5743,6087
2015,  12,5923,5792,6144
2016,   1,6073,5932,6210
2016,   2,5792,5626,6035
2016,   3,6254,6147,6406
2016,   4,6283,6137,6394
2016,   5,5967,5823,6138
2016,   6,6089,5950,6242
2016,   7,6100,5998,6254
2016,   8,5841,5709,5955
2016,   9,5919,5677,6096
2016,  10,5943,5779,6097
2016,  11,5870,5695,6058
2016,  12,5905,5769,6025
2017,   1,5961,5829,6126
2017,   2,5824,5655,6001
2017,   3,6187,6083,6319
2017,   4,6059,5889,6243
2017,   5,5962,5807,6082
2017,   6,5926,5805,6194
2017,   7,6104,5953,6258
2017,   8,6172,6046,6345
2017,   9,6036,5883,6293
2017,  10,6168,5994,6316
2017,  11,6444,6286,6554
2017,  12,6209,6036,6393
2018,   1,5179,5056,5385
2018,   2,5992,5794,6149
2018,   3,6673,6538,6827
2018,   4,6519,6327,6607
2018,   5,6233,6074,6377
2018,   6,6401,6248,6532
2018,   7,6194,6043,6356
2018,   8,6110,5975,6311
2018,   9,6487,6330,6695
2018,  10,6731,6585,6853
2018,  11,6810,6617,6975
2018,  12,6541,6379,6683
2019,   1,5872,5708,6016
2019,   2,5590,5404,5708
2019,   3,6682,6498,6808
2019,   4,6897,6689,6999
2019,   5,6869,6701,6998
2019,   6,7032,6889,7201
2019,   7,6932,6800,7100
2019,   8,6847,6669,6954
2019,   9,6745,6548,6957
2019,  10,6952,6701,7116
2019,  11,7115,6927,7314
2019,  12,7034,6905,7173
2020,   1,7666,7576,7796
2020,   2,7399,7233,7551
2020,   3,7458,7327,7598
2020,   4,7242,7069,7350
2020,   5,7191,7057,7329
2020,   6,7223,7026,7388
2020,   7,7218,7008,7385
2020,   8,6984,6879,7178
2020,   9,7144,6988,7292
2020,  10,7059,6924,7206
2020,  11,7043,6895,7184
2020,  12,7074,6962,7181
2021,   1,6909,6772,7040
2021,   2,5519,5371,5740
2021,   3,6894,6700,7035
2021,   4,6524,6367,6696
2021,   5,6416,6259,6590
