Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.00,   6.00, 100.80,  72.96, 128.95
2011.00,   7.00,  50.40,  22.74,  78.70
2011.00,   8.00,  -6.54, -33.32,  21.45
2011.00,   9.00,  46.94,  17.44,  77.34
2011.00,  10.00,  48.77,  17.30,  80.43
2011.00,  11.00, 154.70, 125.26, 185.10
2011.00,  12.00, 238.88, 211.01, 269.82
2012.00,   1.00, 191.78, 162.07, 221.18
2012.00,   2.00, 100.27,  73.42, 127.44
2012.00,   3.00, 161.95, 135.87, 189.85
2012.00,   4.00,  49.83,  28.19,  73.33
2012.00,   5.00,  68.37,  43.21,  93.31
2012.00,   6.00,  18.26,  -5.02,  41.51
2012.00,   7.00,  -7.88, -33.26,  16.99
2012.00,   8.00, -33.35, -55.89,  -8.97
2012.00,   9.00, -51.02, -75.92, -24.85
2012.00,  10.00,   5.70, -23.21,  33.62
2012.00,  11.00, -24.15, -50.01,   3.21
2012.00,  12.00,  52.19,  25.16,  79.74
2013.00,   1.00, 120.70,  91.72, 149.99
2013.00,   2.00, 155.85, 128.88, 184.12
2013.00,   3.00, 107.69,  82.07, 136.61
2013.00,   4.00, 261.76, 233.90, 289.16
2013.00,   5.00,  82.13,  56.57, 108.71
2013.00,   6.00, 226.65, 199.68, 255.28
2013.00,   7.00, 136.62, 109.61, 164.48
2013.00,   8.00,   3.10, -21.78,  28.92
2013.00,   9.00, -64.31, -89.07, -38.78
2013.00,  10.00, -13.12, -41.22,  16.39
2013.00,  11.00,  -4.49, -33.01,  24.50
2013.00,  12.00, 144.07, 115.37, 170.30
2014.00,   1.00,  91.77,  64.19, 120.36
2014.00,   2.00, 132.94, 106.66, 159.39
2014.00,   3.00, 140.06, 114.25, 166.54
2014.00,   4.00, 273.22, 246.01, 300.58
2014.00,   5.00, 187.01, 159.15, 214.38
2014.00,   6.00, 105.77,  78.84, 132.49
2014.00,   7.00,  46.79,  20.69,  73.66
2014.00,   8.00,  14.93, -12.53,  44.22
2014.00,   9.00,  20.83,  -8.45,  48.90
2014.00,  10.00, -20.86, -50.30,   9.23
2014.00,  11.00, -30.15, -58.04,  -2.03
2014.00,  12.00,   8.92, -18.17,  36.26
2015.00,   1.00,  83.65,  54.77, 111.21
2015.00,   2.00,  10.21, -11.17,  32.41
2015.00,   3.00, 147.04, 119.88, 173.06
2015.00,   4.00, 182.29, 156.48, 208.39
2015.00,   5.00, 157.21, 130.29, 185.26
2015.00,   6.00, 314.15, 286.42, 342.87
2015.00,   7.00, 107.27,  78.34, 138.50
2015.00,   8.00, -25.01, -48.47,   0.17
2015.00,   9.00, -37.33, -67.15, -11.00
2015.00,  10.00,-117.42,-143.00, -89.97
2015.00,  11.00, -26.46, -55.15,   1.10
2015.00,  12.00,  49.76,  22.28,  77.97
2016.00,   1.00,  70.36,  44.83,  95.57
2016.00,   2.00, 145.60, 117.40, 173.68
2016.00,   3.00, 240.51, 214.91, 266.55
2016.00,   4.00, 172.08, 145.86, 199.96
2016.00,   5.00,  89.63,  65.38, 115.74
2016.00,   6.00,  10.47, -10.88,  32.64
2016.00,   7.00,  16.64,  -5.68,  41.89
2016.00,   8.00,   3.44, -19.77,  28.06
2016.00,   9.00, -28.38, -52.81,  -1.85
2016.00,  10.00, -62.64, -87.72, -35.32
2016.00,  11.00, -70.62, -91.53, -47.16
2016.00,  12.00,  46.35,  19.23,  74.37
2017.00,   1.00, 229.59, 201.44, 257.51
2017.00,   2.00, 125.12,  97.81, 153.03
2017.00,   3.00, 193.03, 166.80, 220.68
2017.00,   4.00, 248.23, 220.92, 274.83
2017.00,   5.00, 269.99, 242.40, 296.60
2017.00,   6.00,  98.17,  68.34, 125.10
2017.00,   7.00,  85.11,  57.23, 112.97
2017.00,   8.00,   1.00, -26.01,  28.43
2017.00,   9.00, -61.46, -82.74, -38.83
2017.00,  10.00, -51.55, -74.77, -24.76
2017.00,  11.00, 107.08,  80.83, 135.56
2017.00,  12.00,  -4.44, -32.85,  23.58
2018.00,   1.00, 104.82,  76.92, 132.09
2018.00,   2.00, 256.25, 230.01, 282.27
2018.00,   3.00, 158.49, 132.63, 184.02
2018.00,   4.00, 221.46, 196.30, 247.57
2018.00,   5.00, 176.57, 150.41, 202.92
2018.00,   6.00,  87.96,  62.93, 113.15
2018.00,   7.00, -10.75, -32.15,  13.79
2018.00,   8.00,  14.84,  -7.00,  38.27
2018.00,   9.00, -19.50, -46.21,   9.71
2018.00,  10.00, -53.03, -78.81, -25.74
2018.00,  11.00,  71.23,  43.67,  97.92
2018.00,  12.00,  87.70,  60.04, 114.85
2019.00,   1.00,  87.80,  60.96, 113.83
2019.00,   2.00, 185.97, 161.80, 213.53
2019.00,   3.00, 147.84, 123.45, 173.16
2019.00,   4.00, 271.43, 245.69, 299.63
2019.00,   5.00, 190.57, 164.09, 218.76
2019.00,   6.00, 194.16, 166.55, 222.25
2019.00,   7.00,  44.69,  20.16,  72.53
2019.00,   8.00, -44.60, -63.42, -23.38
2019.00,   9.00, -36.26, -58.66,  -9.75
2019.00,  10.00, -57.39, -79.85, -32.38
2019.00,  11.00, -20.86, -49.03,   6.78
2019.00,  12.00,  34.43,  10.65,  60.45
2020.00,   1.00, 202.26, 175.03, 227.86
2020.00,   2.00,  73.05,  48.10,  98.52
2020.00,   3.00, 222.27, 196.71, 249.04
2020.00,   4.00, 109.70,  86.26, 134.51
2020.00,   5.00, 121.05,  95.63, 145.18
2020.00,   6.00,  36.65,  17.03,  58.20
2020.00,   7.00,  19.62,  -1.85,  42.21
2020.00,   8.00, -34.87, -53.20, -13.65
2020.00,   9.00, -97.60,-116.37, -76.70
2020.00,  10.00, -42.77, -67.55, -14.99
2020.00,  11.00, -28.03, -52.85,  -2.86
2020.00,  12.00,  49.51,  21.58,  77.57
2021.00,   1.00,  26.65,   3.46,  52.11
2021.00,   2.00,  21.20,   1.38,  43.81
2021.00,   3.00,  85.22,  59.96, 110.15
2021.00,   4.00, 101.85,  80.70, 124.22
2021.00,   5.00,  70.87,  46.33,  99.76
