Year,Month,Median,2.5 Percentile,97.5 Percentile
2011,   6,6539,6340,6748
2011,   7,6189,6001,6379
2011,   8,6091,5889,6280
2011,   9,5742,5552,5930
2011,  10,5983,5795,6181
2011,  11,5943,5746,6133
2011,  12,6541,6343,6732
2012,   1,6533,6352,6721
2012,   2,6531,6338,6720
2012,   3,6230,6025,6425
2012,   4,6081,5887,6269
2012,   5,5865,5663,6061
2012,   6,5777,5579,5977
2012,   7,5494,5300,5671
2012,   8,5314,5142,5500
2012,   9,5164,4973,5350
2012,  10,5108,4925,5293
2012,  11,5212,5016,5391
2012,  12,5091,4905,5286
2013,   1,5482,5295,5670
2013,   2,5146,4962,5332
2013,   3,5356,5161,5534
2013,   4,5408,5209,5608
2013,   5,5732,5542,5926
2013,   6,5534,5341,5738
2013,   7,5868,5670,6052
2013,   8,5849,5664,6041
2013,   9,5705,5528,5894
2013,  10,5752,5565,5943
2013,  11,5748,5560,5939
2013,  12,5602,5425,5784
2014,   1,5351,5161,5537
2014,   2,5270,5083,5455
2014,   3,5225,5039,5410
2014,   4,5923,5726,6122
2014,   5,6144,5948,6335
2014,   6,6194,5996,6389
2014,   7,6155,5965,6341
2014,   8,6082,5892,6266
2014,   9,5990,5806,6187
2014,  10,5962,5777,6155
2014,  11,6171,5983,6354
2014,  12,6040,5856,6222
2015,   1,5738,5558,5916
2015,   2,5577,5406,5748
2015,   3,5318,5124,5510
2015,   4,5849,5655,6047
2015,   5,5819,5627,6018
2015,   6,6237,6028,6442
2015,   7,6843,6649,7038
2015,   8,6712,6522,6891
2015,   9,6217,6033,6396
2015,  10,6158,5976,6337
2015,  11,6164,5974,6349
2015,  12,6002,5816,6197
2016,   1,6349,6168,6523
2016,   2,6269,6076,6460
2016,   3,6354,6167,6536
2016,   4,6565,6364,6763
2016,   5,6820,6628,7015
2016,   6,6666,6477,6851
2016,   7,6466,6280,6655
2016,   8,6289,6102,6476
2016,   9,5968,5782,6151
2016,  10,5971,5796,6155
2016,  11,6285,6107,6463
2016,  12,6192,6013,6370
2017,   1,6234,6053,6413
2017,   2,6504,6314,6690
2017,   3,6502,6314,6684
2017,   4,6877,6693,7081
2017,   5,7270,7082,7469
2017,   6,7244,7035,7441
2017,   7,7105,6914,7304
2017,   8,6750,6550,6932
2017,   9,6706,6518,6897
2017,  10,6569,6381,6743
2017,  11,6788,6605,6984
2017,  12,6716,6523,6912
2018,   1,6398,6214,6586
2018,   2,6361,6171,6545
2018,   3,6930,6748,7120
2018,   4,7260,7060,7446
2018,   5,7335,7140,7537
2018,   6,7256,7059,7463
2018,   7,7008,6829,7203
2018,   8,6913,6732,7110
2018,   9,6577,6381,6766
2018,  10,6743,6555,6933
2018,  11,6963,6779,7148
2018,  12,7025,6833,7215
2019,   1,6909,6725,7088
2019,   2,6894,6711,7085
2019,   3,6862,6679,7044
2019,   4,6952,6760,7151
2019,   5,7888,7691,8085
2019,   6,7882,7686,8086
2019,   7,7843,7644,8040
2019,   8,7670,7494,7851
2019,   9,7266,7081,7461
2019,  10,7216,7031,7398
2019,  11,7138,6951,7336
2019,  12,7359,7185,7531
2020,   1,7475,7293,7662
2020,   2,7712,7522,7896
2020,   3,7669,7483,7857
2020,   4,7925,7741,8116
2020,   5,7819,7628,8018
2020,   6,7868,7666,8057
2020,   7,7734,7537,7934
2020,   8,7509,7320,7693
2020,   9,7253,7064,7433
2020,  10,6969,6782,7152
2020,  11,7113,6931,7296
2020,  12,7010,6833,7196
2021,   1,7178,7000,7365
2021,   2,6769,6586,6945
2021,   3,6743,6557,6937
2021,   4,6866,6668,7060
2021,   5,6954,6746,7159
