Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0,   6.0,  63.6,  48.7,  79.1
2011.0,   7.0,  74.1,  58.1,  90.5
2011.0,   8.0, 113.3,  96.9, 129.5
2011.0,   9.0, 140.1, 122.8, 157.5
2011.0,  10.0, 120.0, 103.5, 136.1
2011.0,  11.0, 132.9, 116.7, 149.6
2011.0,  12.0,  96.6,  80.7, 112.6
2012.0,   1.0,  75.0,  58.8,  90.8
2012.0,   2.0,  38.3,  23.4,  53.6
2012.0,   3.0,  65.0,  49.5,  81.2
2012.0,   4.0,  32.4,  19.9,  45.9
2012.0,   5.0,  51.1,  36.5,  66.3
2012.0,   6.0,  53.4,  38.2,  69.1
2012.0,   7.0,  67.2,  51.2,  83.8
2012.0,   8.0,  73.3,  58.3,  89.3
2012.0,   9.0,  94.7,  78.9, 110.7
2012.0,  10.0, 126.5, 109.4, 143.5
2012.0,  11.0,  37.8,  24.4,  52.0
2012.0,  12.0,  72.6,  57.0,  87.8
2013.0,   1.0,  60.8,  44.7,  77.1
2013.0,   2.0,  66.2,  50.5,  83.1
2013.0,   3.0,  39.8,  25.3,  54.8
2013.0,   4.0, 106.7,  90.9, 123.2
2013.0,   5.0,  65.9,  50.1,  81.6
2013.0,   6.0, 140.7, 124.0, 157.2
2013.0,   7.0, 118.7, 103.7, 135.4
2013.0,   8.0,  69.6,  54.3,  84.5
2013.0,   9.0,  69.9,  54.0,  86.0
2013.0,  10.0,  89.7,  73.2, 106.2
2013.0,  11.0,  76.1,  60.2,  91.6
2013.0,  12.0,  85.2,  69.5, 101.0
2014.0,   1.0,  58.4,  42.6,  74.1
2014.0,   2.0,  58.1,  42.7,  74.0
2014.0,   3.0,  48.3,  33.1,  63.6
2014.0,   4.0, 100.1,  85.4, 115.8
2014.0,   5.0,  89.7,  73.8, 106.7
2014.0,   6.0,  90.0,  74.1, 105.8
2014.0,   7.0,  96.7,  80.3, 114.2
2014.0,   8.0,  76.4,  60.2,  92.0
2014.0,   9.0,  98.7,  82.2, 114.4
2014.0,  10.0,  80.8,  64.9,  97.6
2014.0,  11.0,  73.1,  56.5,  89.5
2014.0,  12.0,  40.2,  26.5,  55.4
2015.0,   1.0,  61.4,  46.3,  76.9
2015.0,   2.0,  28.3,  14.4,  42.6
2015.0,   3.0,  39.3,  24.8,  54.8
2015.0,   4.0,  73.8,  58.7,  89.8
2015.0,   5.0,  89.7,  73.0, 105.9
2015.0,   6.0, 168.1, 152.2, 185.3
2015.0,   7.0,  80.9,  64.4,  96.9
2015.0,   8.0,  65.9,  50.0,  82.1
2015.0,   9.0,  82.2,  66.3,  99.4
2015.0,  10.0,  57.7,  41.5,  74.1
2015.0,  11.0,  61.3,  46.1,  77.2
2015.0,  12.0,  77.5,  60.6,  93.7
2016.0,   1.0,  43.4,  30.3,  56.6
2016.0,   2.0,  68.4,  54.5,  81.8
2016.0,   3.0, 109.0,  94.7, 122.5
2016.0,   4.0,  72.6,  59.9,  85.7
2016.0,   5.0,  61.7,  47.6,  75.2
2016.0,   6.0,  42.4,  29.8,  55.6
2016.0,   7.0,  67.8,  54.5,  80.5
2016.0,   8.0,  88.9,  75.0, 103.5
2016.0,   9.0,  99.7,  85.9, 113.4
2016.0,  10.0,  80.4,  67.0,  94.2
2016.0,  11.0,  48.1,  36.4,  60.2
2016.0,  12.0,  80.6,  67.9,  92.5
2017.0,   1.0,  99.4,  87.3, 111.6
2017.0,   2.0,  62.1,  49.7,  74.3
2017.0,   3.0,  85.5,  73.5,  97.0
2017.0,   4.0,  97.5,  85.6, 109.6
2017.0,   5.0, 138.8, 126.0, 151.8
