Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.00,   6.00,  65.19,  42.47,  90.08
2011.00,   7.00,  33.88,  15.04,  57.64
2011.00,   8.00,  29.93,  12.58,  51.71
2011.00,   9.00,  58.79,  34.54,  83.78
2011.00,  10.00, 124.93,  99.84, 151.28
2011.00,  11.00, 153.98, 129.08, 178.77
2011.00,  12.00, 233.95, 209.23, 258.91
2012.00,   1.00, 156.40, 132.00, 181.10
2012.00,   2.00,  85.21,  62.20, 107.83
2012.00,   3.00, 114.31,  90.91, 138.79
2012.00,   4.00,  44.85,  29.10,  63.80
2012.00,   5.00,  40.96,  23.13,  60.96
2012.00,   6.00,  21.76,   9.51,  40.02
2012.00,   7.00,  17.16,   6.89,  33.63
2012.00,   8.00,  18.00,   7.66,  35.36
2012.00,   9.00,  21.83,   7.51,  42.99
2012.00,  10.00,  44.56,  21.48,  68.09
2012.00,  11.00,  47.83,  25.85,  69.83
2012.00,  12.00,  57.10,  34.21,  80.44
2013.00,   1.00, 109.80,  83.60, 134.58
2013.00,   2.00, 109.19,  85.57, 135.00
2013.00,   3.00,  92.20,  68.65, 116.09
2013.00,   4.00, 161.18, 137.12, 186.32
2013.00,   5.00,  45.01,  26.33,  66.86
2013.00,   6.00, 107.97,  85.46, 133.68
2013.00,   7.00,  97.97,  72.22, 122.20
2013.00,   8.00,  33.37,  14.98,  55.37
2013.00,   9.00,  21.11,   7.21,  41.42
2013.00,  10.00,  42.29,  20.11,  65.64
2013.00,  11.00,  69.27,  45.59,  93.65
2013.00,  12.00, 149.00, 124.97, 172.61
2014.00,   1.00,  78.75,  54.80, 103.10
2014.00,   2.00,  97.09,  73.90, 120.39
2014.00,   3.00, 104.15,  81.16, 128.69
2014.00,   4.00, 167.11, 142.58, 191.97
2014.00,   5.00,  99.36,  76.37, 123.71
2014.00,   6.00,  50.40,  28.54,  74.09
2014.00,   7.00,  43.41,  22.03,  67.03
2014.00,   8.00,  40.94,  20.13,  64.77
2014.00,   9.00,  55.78,  31.09,  80.04
2014.00,  10.00,  45.70,  22.68,  71.09
2014.00,  11.00,  48.88,  27.08,  72.69
2014.00,  12.00,  41.56,  21.17,  64.68
2015.00,   1.00,  71.83,  47.48,  96.42
2015.00,   2.00,  19.11,   8.35,  34.43
2015.00,   3.00, 124.17, 100.56, 147.99
2015.00,   4.00, 107.79,  85.84, 131.85
2015.00,   5.00,  76.40,  53.84, 101.98
2015.00,   6.00, 165.97, 142.22, 193.26
2015.00,   7.00,  99.16,  73.37, 125.59
2015.00,   8.00,  27.40,  11.50,  48.31
2015.00,   9.00,  53.53,  29.21,  77.47
2015.00,  10.00,  19.90,   6.46,  39.87
2015.00,  11.00,  49.32,  26.96,  73.53
2015.00,  12.00,  67.38,  43.46,  92.18
2016.00,   1.00,  61.87,  39.28,  85.08
2016.00,   2.00,  94.54,  69.73, 118.42
2016.00,   3.00, 139.27, 117.41, 163.28
2016.00,   4.00, 112.48,  87.60, 139.13
2016.00,   5.00,  47.85,  27.69,  71.31
2016.00,   6.00,  24.16,  10.84,  42.39
2016.00,   7.00,  23.89,   9.55,  45.76
