Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.000,   6.000, 161.835, 145.991, 177.337
2011.000,   7.000, 102.538,  85.896, 119.908
2011.000,   8.000,  45.602,  27.002,  64.257
2011.000,   9.000,  46.108,  25.869,  65.073
2011.000,  10.000,  65.438,  43.956,  87.409
2011.000,  11.000,  35.318,  14.949,  55.090
2011.000,  12.000,   7.618, -13.501,  28.148
2012.000,   1.000,  24.322,   2.980,  44.450
2012.000,   2.000,  17.313,  -0.911,  36.027
2012.000,   3.000, 134.552, 115.716, 153.279
2012.000,   4.000,  71.654,  55.985,  87.578
2012.000,   5.000,  98.486,  82.509, 113.213
2012.000,   6.000,  95.732,  81.088, 109.798
2012.000,   7.000,  50.833,  35.650,  66.888
2012.000,   8.000,   1.872, -16.176,  18.924
2012.000,   9.000, -32.165, -50.495, -14.324
2012.000,  10.000,  29.532,  10.779,  49.347
2012.000,  11.000, -25.099, -44.430,  -6.582
2012.000,  12.000,  10.947,  -8.439,  31.096
2013.000,   1.000,  38.945,  19.592,  57.789
2013.000,   2.000,  75.420,  57.889,  93.307
2013.000,   3.000,  72.725,  54.998,  90.276
2013.000,   4.000, 288.272, 272.783, 303.766
2013.000,   5.000, 209.051, 193.633, 224.438
2013.000,   6.000, 145.904, 131.186, 160.619
2013.000,   7.000, 105.702,  90.404, 121.008
2013.000,   8.000,  73.970,  56.509,  91.093
2013.000,   9.000,  26.821,   8.508,  43.933
2013.000,  10.000,  49.947,  30.296,  69.677
2013.000,  11.000,  63.120,  43.807,  82.448
2013.000,  12.000, -14.191, -33.758,   5.406
2014.000,   1.000,  26.345,   6.499,  44.891
2014.000,   2.000,  27.806,  10.613,  44.606
2014.000,   3.000,  68.901,  52.384,  85.157
2014.000,   4.000, 253.870, 238.802, 269.130
2014.000,   5.000, 221.165, 206.224, 236.206
2014.000,   6.000, 175.381, 160.296, 189.730
2014.000,   7.000, 115.019,  99.905, 130.723
2014.000,   8.000, 120.789, 104.409, 138.656
2014.000,   9.000, 109.871,  91.488, 128.412
2014.000,  10.000, 117.753,  98.542, 137.383
2014.000,  11.000,  52.025,  32.643,  71.523
2014.000,  12.000,  30.741,  12.060,  51.402
2015.000,   1.000,   6.421, -12.219,  24.769
2015.000,   2.000,   6.446,  -9.932,  24.177
2015.000,   3.000,  44.679,  27.628,  61.087
2015.000,   4.000, 151.040, 135.769, 167.242
2015.000,   5.000, 158.951, 143.922, 173.216
2015.000,   6.000, 150.424, 135.863, 165.042
2015.000,   7.000,  92.056,  76.912, 107.519
2015.000,   8.000,  79.273,  63.418,  96.239
2015.000,   9.000,  52.505,  34.824,  69.952
2015.000,  10.000,  -4.427, -23.129,  14.451
2015.000,  11.000,  40.001,  21.728,  58.949
2015.000,  12.000, 100.002,  81.302, 119.123
2016.000,   1.000,  13.110,  -5.084,  31.456
2016.000,   2.000,  66.332,  49.104,  83.445
2016.000,   3.000, 195.365, 178.169, 212.445
2016.000,   4.000, 171.517, 155.556, 187.398
2016.000,   5.000, 115.342,  99.494, 130.892
2016.000,   6.000,  88.097,  73.696, 103.194
2016.000,   7.000,  85.434,  70.276, 100.440
2016.000,   8.000,  76.541,  60.624,  92.106
2016.000,   9.000,  23.114,   5.805,  39.440
2016.000,  10.000,  17.520,  -0.920,  35.573
2016.000,  11.000, -12.508, -31.014,   5.160
2016.000,  12.000, -42.075, -58.888, -23.765
2017.000,   1.000,  58.824,  41.530,  75.878
2017.000,   2.000,  81.286,  65.814,  97.952
2017.000,   3.000, 114.030,  97.919, 129.700
2017.000,   4.000, 240.272, 225.539, 255.634
2017.000,   5.000, 197.015, 181.898, 211.631
2017.000,   6.000, 196.269, 181.352, 211.544
2017.000,   7.000, 128.316, 113.723, 144.069
2017.000,   8.000,  66.466,  50.297,  82.115
2017.000,   9.000,  22.036,   6.138,  38.783
2017.000,  10.000,  87.580,  69.841, 106.097
