Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0,   6.0,  95.1,  86.0, 104.4
2011.0,   7.0,  64.4,  56.2,  73.2
2011.0,   8.0,  67.6,  58.6,  76.3
2011.0,   9.0,  98.8,  89.1, 108.0
2011.0,  10.0,  88.4,  78.7,  99.0
2011.0,  11.0,  80.9,  72.3,  89.3
2011.0,  12.0,  49.6,  41.7,  58.6
2012.0,   1.0,  56.8,  48.7,  65.7
2012.0,   2.0,  26.1,  18.3,  34.6
2012.0,   3.0,  69.7,  60.6,  78.3
2012.0,   4.0,  47.0,  37.8,  55.5
2012.0,   5.0,  53.7,  43.5,  62.6
2012.0,   6.0,  67.2,  58.1,  76.4
2012.0,   7.0,  61.3,  52.8,  70.1
2012.0,   8.0,  66.4,  57.5,  75.0
2012.0,   9.0,  65.8,  55.9,  74.7
2012.0,  10.0, 120.3, 110.1, 131.0
2012.0,  11.0,  30.7,  22.6,  39.4
2012.0,  12.0,  63.0,  54.7,  72.2
2013.0,   1.0,  84.1,  75.2,  92.8
2013.0,   2.0,  60.9,  52.9,  69.2
2013.0,   3.0,  40.9,  32.1,  49.5
2013.0,   4.0, 121.3, 112.4, 131.1
2013.0,   5.0,  81.2,  71.9,  90.1
2013.0,   6.0,  72.6,  64.0,  81.7
2013.0,   7.0,  78.1,  68.8,  87.0
2013.0,   8.0,  71.6,  62.6,  80.4
2013.0,   9.0,  66.6,  57.0,  76.0
2013.0,  10.0,  98.6,  89.0, 108.9
2013.0,  11.0,  99.1,  90.2, 107.7
2013.0,  12.0,  58.5,  50.0,  67.1
2014.0,   1.0,  66.4,  57.3,  75.4
2014.0,   2.0,  31.6,  23.4,  39.9
2014.0,   3.0,  40.1,  31.3,  49.0
2014.0,   4.0,  97.2,  88.5, 106.0
2014.0,   5.0,  77.3,  68.0,  87.3
2014.0,   6.0,  93.5,  84.8, 102.7
2014.0,   7.0,  81.3,  73.2,  90.2
2014.0,   8.0,  92.1,  83.3, 100.7
2014.0,   9.0, 105.0,  95.5, 114.8
2014.0,  10.0, 109.2,  99.1, 119.2
2014.0,  11.0,  90.5,  82.2,  99.4
2014.0,  12.0,  41.2,  33.2,  50.1
2015.0,   1.0,  38.9,  30.8,  48.1
2015.0,   2.0,  27.5,  19.8,  36.1
2015.0,   3.0,  24.7,  16.3,  33.3
2015.0,   4.0,  59.5,  50.9,  68.2
2015.0,   5.0,  83.6,  74.0,  92.2
2015.0,   6.0,  81.7,  72.9,  92.0
2015.0,   7.0,  50.1,  41.9,  59.3
