Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0,   6.0,  65.8,  54.0,  78.0
2011.0,   7.0,  41.6,  30.9,  52.7
2011.0,   8.0,  30.9,  23.0,  39.9
2011.0,   9.0,  26.4,  17.7,  36.5
2011.0,  10.0,  51.2,  39.5,  63.6
2011.0,  11.0,  58.2,  45.8,  71.2
2011.0,  12.0,  68.8,  56.2,  81.9
2012.0,   1.0,  55.4,  44.0,  67.6
2012.0,   2.0,  45.7,  35.0,  56.3
2012.0,   3.0, 101.0,  87.9, 114.0
2012.0,   4.0,  54.8,  43.3,  66.2
2012.0,   5.0,  51.3,  40.0,  63.0
2012.0,   6.0,  32.8,  23.4,  43.6
2012.0,   7.0,  22.9,  15.3,  32.1
2012.0,   8.0,  22.0,  16.0,  28.7
2012.0,   9.0,  19.1,  12.0,  27.2
2012.0,  10.0,  33.9,  22.8,  45.6
2012.0,  11.0,  41.1,  29.4,  53.2
2012.0,  12.0,  45.2,  34.3,  57.2
2013.0,   1.0,  50.6,  39.2,  61.8
2013.0,   2.0,  64.1,  52.3,  75.2
2013.0,   3.0,  71.8,  59.6,  83.4
2013.0,   4.0, 167.7, 154.9, 180.4
2013.0,   5.0, 128.1, 115.9, 139.8
2013.0,   6.0,  74.4,  62.4,  86.3
2013.0,   7.0,  47.2,  36.6,  58.8
2013.0,   8.0,  36.1,  27.4,  45.8
2013.0,   9.0,  38.7,  27.9,  49.5
2013.0,  10.0,  45.4,  33.8,  57.8
2013.0,  11.0,  88.9,  75.9, 101.4
2013.0,  12.0,  58.9,  46.7,  71.4
2014.0,   1.0,  48.8,  37.4,  60.8
2014.0,   2.0,  36.2,  26.1,  46.9
2014.0,   3.0,  49.7,  39.4,  60.7
2014.0,   4.0, 158.1, 144.9, 170.7
2014.0,   5.0, 136.1, 124.0, 148.2
2014.0,   6.0,  76.6,  65.1,  88.5
2014.0,   7.0,  52.5,  41.4,  63.4
2014.0,   8.0,  43.6,  34.1,  53.8
2014.0,   9.0,  59.7,  47.7,  70.8
2014.0,  10.0,  82.6,  70.6,  95.2
2014.0,  11.0,  82.2,  69.4,  95.0
2014.0,  12.0,  78.8,  67.1,  91.5
2015.0,   1.0,  51.8,  40.4,  64.3
2015.0,   2.0,  32.2,  23.1,  42.3
2015.0,   3.0,  53.9,  43.5,  64.9
2015.0,   4.0, 102.1,  90.3, 114.0
2015.0,   5.0,  75.7,  64.2,  87.8
2015.0,   6.0,  63.4,  51.9,  75.1
2015.0,   7.0,  40.3,  30.0,  51.1
2015.0,   8.0,  27.4,  20.5,  36.2
2015.0,   9.0,  33.1,  23.1,  43.7
2015.0,  10.0,  27.2,  17.5,  38.0
2015.0,  11.0,  52.2,  39.9,  64.9
2015.0,  12.0,  83.4,  70.7,  96.2
2016.0,   1.0,  58.0,  46.4,  69.6
2016.0,   2.0,  57.6,  45.9,  68.9
2016.0,   3.0, 110.6,  98.8, 122.7
2016.0,   4.0, 127.3, 114.4, 140.5
2016.0,   5.0,  77.0,  64.0,  89.1
2016.0,   6.0,  42.8,  32.1,  53.8
2016.0,   7.0,  33.6,  24.1,  43.3
2016.0,   8.0,  32.0,  23.9,  40.8
2016.0,   9.0,  32.8,  22.9,  43.2
2016.0,  10.0,  43.5,  31.9,  55.1
2016.0,  11.0,  34.7,  24.0,  46.1
2016.0,  12.0,  45.1,  33.7,  56.5
2017.0,   1.0,  65.7,  54.2,  76.9
2017.0,   2.0,  61.4,  50.1,  72.4
2017.0,   3.0,  82.0,  69.9,  93.1
2017.0,   4.0, 133.3, 121.4, 145.3
2017.0,   5.0, 112.7, 101.3, 124.9
2017.0,   6.0,  69.8,  58.1,  81.4
2017.0,   7.0,  55.3,  45.0,  65.9
2017.0,   8.0,  35.0,  26.8,  43.8
2017.0,   9.0,  29.0,  19.4,  38.9
