Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.00000,   6.00000,   5.20416,  -2.81274,  13.65995
2011.00000,   7.00000,  29.68711,  18.88260,  40.55997
2011.00000,   8.00000,  67.07307,  56.76390,  76.47436
2011.00000,   9.00000,  63.19157,  52.71962,  73.14266
2011.00000,  10.00000,  94.17576,  83.27936, 104.50945
2011.00000,  11.00000,  65.38948,  54.97885,  75.77929
2011.00000,  12.00000,  95.12313,  84.08755, 107.15545
2012.00000,   1.00000,  89.81546,  78.57673, 101.16716
2012.00000,   2.00000,  60.25096,  49.94006,  70.75150
2012.00000,   3.00000,  40.03811,  30.74366,  49.42936
2012.00000,   4.00000,  38.55332,  30.15089,  44.58389
2012.00000,   5.00000,   4.06056,  -2.30500,  10.40509
2012.00000,   6.00000,  28.70477,  20.25894,  36.91319
2012.00000,   7.00000,  50.40515,  39.87664,  61.04928
2012.00000,   8.00000,  71.97921,  61.55046,  82.02737
2012.00000,   9.00000,  93.50371,  82.97216, 103.49001
2012.00000,  10.00000,  76.40624,  65.76782,  87.22920
2012.00000,  11.00000,  91.82757,  81.68603, 102.81133
2012.00000,  12.00000,  89.44043,  78.72905, 101.36543
2013.00000,   1.00000,  93.99427,  82.76874, 105.35917
2013.00000,   2.00000,  73.77570,  63.59394,  84.25658
2013.00000,   3.00000,  43.32683,  34.06825,  52.88447
2013.00000,   4.00000,  14.94813,   7.99290,  21.68075
2013.00000,   5.00000,  14.32626,   6.77422,  20.12238
2013.00000,   6.00000,  10.98743,   2.02893,  18.68558
2013.00000,   7.00000,  47.12288,  36.67995,  57.24751
2013.00000,   8.00000,  59.13787,  48.34735,  69.11576
2013.00000,   9.00000,  98.33597,  87.92646, 108.12805
2013.00000,  10.00000,  91.76886,  81.02377, 102.23528
2013.00000,  11.00000, 116.46563, 105.37889, 126.59846
2013.00000,  12.00000, 109.83121,  98.77124, 121.64395
2014.00000,   1.00000, 117.44462, 105.52457, 128.35825
2014.00000,   2.00000,  52.06937,  42.09416,  62.91177
2014.00000,   3.00000,  48.18349,  38.44851,  57.08948
2014.00000,   4.00000,   3.69758,  -3.46982,  10.12535
2014.00000,   5.00000,  -6.53594, -12.35738,   0.16830
2014.00000,   6.00000,   3.48571,  -4.98034,  11.73659
2014.00000,   7.00000,  68.21898,  57.06205,  78.69378
2014.00000,   8.00000,  61.13945,  50.32102,  70.83660
2014.00000,   9.00000,  78.33279,  67.77377,  88.12866
2014.00000,  10.00000,  87.38457,  76.34253,  97.88236
2014.00000,  11.00000, 123.57591, 112.71541, 133.76801
2014.00000,  12.00000,  85.58363,  74.58109,  97.96316
2015.00000,   1.00000, 129.91764, 118.37755, 141.14249
2015.00000,   2.00000,  69.38373,  59.82052,  81.03235
2015.00000,   3.00000,  22.53932,  13.18291,  32.42811
2015.00000,   4.00000,   0.24528,  -5.98973,   7.86615
2015.00000,   5.00000,  -6.36529, -12.11874,   1.32406
2015.00000,   6.00000,  -0.66613,  -8.99857,   7.29251
2015.00000,   7.00000,  32.43732,  21.68759,  42.55649
2015.00000,   8.00000,  55.74561,  45.25016,  65.59527
2015.00000,   9.00000,  74.60983,  63.92447,  84.44295
2015.00000,  10.00000,  82.03728,  71.57258,  93.20075
2015.00000,  11.00000,  91.97092,  81.03165, 102.37355
2015.00000,  12.00000, 123.81735, 112.59403, 135.49257
2016.00000,   1.00000,  93.09750,  81.53244, 104.58486
2016.00000,   2.00000,  45.65493,  35.67528,  56.30463
2016.00000,   3.00000,  37.84412,  28.35710,  46.96575
2016.00000,   4.00000,  24.81677,  16.96386,  30.93797
2016.00000,   5.00000,  -3.09917,  -8.86830,   5.23604
2016.00000,   6.00000,  14.36054,   6.77976,  23.05489
2016.00000,   7.00000,  39.74863,  29.40677,  49.75447
2016.00000,   8.00000,  50.89251,  40.65460,  60.46884
2016.00000,   9.00000,  89.27012,  79.19810,  98.67761
2016.00000,  10.00000,  99.42999,  89.22595, 109.94943
2016.00000,  11.00000,  76.66217,  66.62954,  87.11128
2016.00000,  12.00000, 127.77209, 117.28265, 138.77494
2017.00000,   1.00000,  80.39412,  68.92322,  90.83208
2017.00000,   2.00000,  55.18188,  44.16075,  65.48831
2017.00000,   3.00000,  59.79768,  50.79316,  68.54078
2017.00000,   4.00000,  -2.17105,  -8.73654,   4.12905
2017.00000,   5.00000,   4.70761,  -3.54875,  10.12319
2017.00000,   6.00000,  17.20799,   7.03391,  24.54214
2017.00000,   7.00000,  38.26592,  26.86867,  48.21590
2017.00000,   8.00000,  64.77314,  53.85559,  74.52202
2017.00000,   9.00000,  61.58821,  50.57109,  71.04142
2017.00000,  10.00000,  89.04708,  77.85613,  99.16394
2017.00000,  11.00000, 103.38470,  92.97708, 113.07626
2017.00000,  12.00000, 135.70687, 125.40482, 146.79243
2018.00000,   1.00000,  95.32737,  84.36669, 105.73281
2018.00000,   2.00000,  30.40346,  20.81940,  40.90755
2018.00000,   3.00000,  48.60631,  39.84334,  57.67414
2018.00000,   4.00000,  23.71659,  16.99465,  29.81676
2018.00000,   5.00000,  -5.97687, -11.44930,   1.58668
