Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0,   6.0, 117.9,  86.8, 149.7
2011.0,   7.0,  62.9,  35.9,  91.9
2011.0,   8.0,  64.1,  37.9,  94.5
2011.0,   9.0,  76.9,  48.1, 107.2
2011.0,  10.0, 127.5,  94.9, 160.1
2011.0,  11.0, 124.2,  91.4, 155.6
2011.0,  12.0, 193.0, 160.4, 225.3
2012.0,   1.0, 198.4, 167.3, 229.2
2012.0,   2.0, 137.4, 107.9, 168.8
2012.0,   3.0, 190.9, 160.2, 221.8
2012.0,   4.0, 116.2,  89.7, 143.9
2012.0,   5.0, 118.7,  87.8, 151.0
2012.0,   6.0,  60.8,  36.9,  88.4
2012.0,   7.0,  38.0,  20.5,  62.3
2012.0,   8.0,  35.7,  19.7,  57.8
2012.0,   9.0,  52.0,  29.6,  80.0
2012.0,  10.0,  73.2,  45.9, 102.9
2012.0,  11.0,  74.4,  47.7, 104.0
2012.0,  12.0, 142.9, 111.6, 172.3
2013.0,   1.0, 176.2, 144.0, 207.8
2013.0,   2.0, 165.5, 136.1, 195.9
2013.0,   3.0, 177.6, 147.8, 207.7
2013.0,   4.0, 239.1, 207.5, 270.4
2013.0,   5.0, 131.0, 100.8, 163.0
2013.0,   6.0, 185.7, 153.3, 218.2
2013.0,   7.0, 112.7,  79.3, 144.4
2013.0,   8.0,  63.7,  38.1,  93.5
2013.0,   9.0,  63.4,  36.7,  92.8
2013.0,  10.0,  94.4,  64.5, 126.4
2013.0,  11.0, 152.4, 121.7, 183.3
2013.0,  12.0, 192.7, 163.1, 224.5
2014.0,   1.0, 141.9, 110.6, 173.1
2014.0,   2.0, 107.4,  77.6, 136.7
2014.0,   3.0, 163.2, 136.3, 192.6
2014.0,   4.0, 368.6, 337.0, 402.1
2014.0,   5.0, 224.3, 191.2, 258.0
2014.0,   6.0, 126.6,  95.9, 159.9
2014.0,   7.0,  99.9,  67.7, 133.3
2014.0,   8.0,  98.7,  68.4, 130.3
2014.0,   9.0,  65.5,  38.7,  95.5
2014.0,  10.0,  82.6,  53.0, 113.9
2014.0,  11.0,  92.2,  63.6, 123.0
2014.0,  12.0, 124.5,  94.9, 153.3
2015.0,   1.0, 109.2,  79.5, 138.4
2015.0,   2.0,  42.7,  25.9,  62.9
2015.0,   3.0, 146.8, 117.7, 177.7
2015.0,   4.0, 231.8, 200.3, 263.2
2015.0,   5.0, 124.2,  93.7, 156.2
2015.0,   6.0, 173.1, 141.5, 208.4
2015.0,   7.0, 104.0,  72.2, 137.1
2015.0,   8.0,  53.4,  29.8,  81.5
2015.0,   9.0,  72.9,  45.0, 103.3
2015.0,  10.0,  77.0,  47.5, 106.6
2015.0,  11.0, 109.6,  79.9, 141.2
2015.0,  12.0, 129.3, 100.4, 159.8
2016.0,   1.0, 127.1,  98.7, 156.0
2016.0,   2.0, 193.9, 164.1, 226.0
2016.0,   3.0, 230.0, 199.5, 260.5
2016.0,   4.0, 205.8, 171.1, 240.1
2016.0,   5.0, 104.8,  72.2, 137.7
2016.0,   6.0,  60.2,  36.8,  87.2
2016.0,   7.0,  45.3,  24.1,  72.8
2016.0,   8.0,  48.4,  26.9,  75.7
2016.0,   9.0,  43.1,  22.4,  68.6
2016.0,  10.0,  76.8,  47.0, 108.0
2016.0,  11.0,  66.4,  40.4,  95.5
2016.0,  12.0, 128.6,  99.1, 160.1
2017.0,   1.0, 186.6, 155.6, 218.2
2017.0,   2.0, 156.4, 124.0, 188.6
2017.0,   3.0, 193.9, 163.8, 225.2
2017.0,   4.0, 321.1, 287.7, 355.7
2017.0,   5.0, 321.4, 287.5, 357.1
2017.0,   6.0, 176.2, 143.5, 209.3
2017.0,   7.0, 159.5, 127.0, 195.6
2017.0,   8.0,  81.5,  52.8, 112.5
2017.0,   9.0,  51.1,  27.1,  80.0
2017.0,  10.0, 100.2,  69.7, 130.9
2017.0,  11.0, 197.0, 165.0, 227.8
2017.0,  12.0, 117.5,  88.0, 149.3
2018.0,   1.0, 195.6, 164.2, 228.5
2018.0,   2.0, 217.0, 186.2, 247.5
2018.0,   3.0, 152.3, 121.3, 183.3
2018.0,   4.0, 288.7, 254.6, 323.0
2018.0,   5.0, 169.0, 135.3, 202.7
2018.0,   6.0,  84.6,  55.1, 114.3
2018.0,   7.0,  61.1,  35.1,  90.2
2018.0,   8.0,  60.2,  35.4,  88.8
2018.0,   9.0,  61.7,  34.2,  93.8
2018.0,  10.0,  93.5,  62.5, 126.0
2018.0,  11.0, 169.8, 136.6, 201.4
2018.0,  12.0, 204.0, 172.9, 235.8
2019.0,   1.0, 134.1, 102.6, 165.3
2019.0,   2.0, 170.2, 139.5, 202.9
2019.0,   3.0, 187.1, 155.8, 218.6
2019.0,   4.0, 295.9, 263.9, 330.1
2019.0,   5.0, 262.1, 228.2, 297.4
2019.0,   6.0, 177.2, 144.2, 212.6
2019.0,   7.0,  94.7,  62.4, 127.7
2019.0,   8.0,  52.1,  28.8,  79.1
2019.0,   9.0,  65.0,  37.0,  95.7
2019.0,  10.0, 112.9,  82.6, 146.7
2019.0,  11.0, 162.3, 130.2, 194.8
2019.0,  12.0, 165.9, 134.4, 200.4
2020.0,   1.0, 227.5, 197.2, 260.1
2020.0,   2.0, 123.2,  92.3, 156.4
2020.0,   3.0, 242.5, 209.9, 274.6
2020.0,   4.0, 181.3, 150.8, 214.9
2020.0,   5.0, 144.4, 111.3, 178.2
2020.0,   6.0,  64.3,  39.8,  93.7
