Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.000,   6.000, 100.986,  75.945, 124.518
2011.000,   7.000,  69.671,  45.320,  94.455
2011.000,   8.000,   6.089, -20.230,  31.690
2011.000,   9.000,  -6.057, -32.527,  20.455
2011.000,  10.000, -44.238, -71.383, -16.540
2011.000,  11.000, -51.943, -79.125, -24.721
2011.000,  12.000,-111.403,-138.560, -83.323
2012.000,   1.000, -74.692,-101.876, -46.117
2012.000,   2.000, -62.161, -90.695, -36.235
2012.000,   3.000,  58.900,  31.183,  86.635
2012.000,   4.000,  52.007,  25.109,  77.388
2012.000,   5.000, 106.407,  80.620, 132.724
2012.000,   6.000, 128.132, 103.823, 150.945
2012.000,   7.000,  32.141,   8.780,  56.402
2012.000,   8.000, -39.666, -66.563, -15.481
2012.000,   9.000, -80.632,-105.351, -55.742
2012.000,  10.000,  -2.455, -28.479,  24.713
2012.000,  11.000, -77.470,-105.116, -51.817
2012.000,  12.000, -70.263, -97.473, -43.305
2013.000,   1.000, -63.013, -89.287, -35.684
2013.000,   2.000, -41.357, -68.354, -16.538
2013.000,   3.000, -21.736, -47.079,   4.679
2013.000,   4.000,  94.046,  68.479, 120.408
2013.000,   5.000, 219.845, 194.551, 244.357
2013.000,   6.000,  98.856,  74.670, 122.463
2013.000,   7.000, 131.464, 107.007, 155.165
2013.000,   8.000,  44.867,  17.765,  69.537
2013.000,   9.000,   0.717, -24.898,  25.643
2013.000,  10.000, -35.010, -61.291,  -9.106
2013.000,  11.000, -41.779, -68.547, -15.793
2013.000,  12.000, -77.539,-104.138, -50.850
2014.000,   1.000, -75.837,-102.869, -48.700
2014.000,   2.000, -18.608, -44.134,   7.927
2014.000,   3.000,  -9.099, -34.866,  16.586
2014.000,   4.000, 117.324,  92.300, 143.438
2014.000,   5.000, 181.063, 156.156, 205.503
2014.000,   6.000, 101.852,  77.848, 124.529
2014.000,   7.000,  39.037,  15.600,  61.965
2014.000,   8.000,  19.893,  -6.828,  44.161
2014.000,   9.000,  33.705,   8.793,  59.234
2014.000,  10.000,  14.323, -12.235,  40.480
2014.000,  11.000, -53.997, -80.486, -27.374
2014.000,  12.000, -79.808,-105.835, -52.934
2015.000,   1.000, -96.588,-122.757, -70.340
2015.000,   2.000, -76.094,-102.367, -50.888
2015.000,   3.000, -18.499, -43.058,   7.025
2015.000,   4.000,  66.582,  42.033,  92.555
2015.000,   5.000, 118.494,  94.403, 142.584
2015.000,   6.000,  73.015,  49.951,  95.474
2015.000,   7.000,  18.558,  -5.029,  41.556
2015.000,   8.000,  11.486, -14.486,  35.438
2015.000,   9.000, -14.643, -40.053,  10.435
2015.000,  10.000, -64.744, -91.280, -39.152
2015.000,  11.000, -23.083, -49.952,   3.648
2015.000,  12.000, -15.722, -42.426,  11.888
2016.000,   1.000, -57.245, -83.054, -30.615
2016.000,   2.000, -48.904, -75.036, -23.060
2016.000,   3.000,  -7.649, -32.666,  18.094
2016.000,   4.000,  30.107,   5.890,  55.706
2016.000,   5.000,  54.138,  30.878,  78.301
2016.000,   6.000, 108.721,  84.620, 131.346
2016.000,   7.000,  39.534,  16.410,  62.645
2016.000,   8.000,   6.064, -20.176,  29.892
2016.000,   9.000,  15.750,  -6.750,  39.915
2016.000,  10.000, -64.057, -89.786, -38.647
2016.000,  11.000, -50.917, -76.555, -25.758
2016.000,  12.000,-100.803,-126.656, -74.963
2017.000,   1.000, -62.203, -87.209, -36.262
2017.000,   2.000, -31.308, -55.548,  -6.753
2017.000,   3.000, -53.215, -76.652, -28.281
2017.000,   4.000, 132.224, 107.998, 157.152
2017.000,   5.000, 149.556, 125.472, 173.875
2017.000,   6.000, 105.372,  81.479, 128.142
2017.000,   7.000,  11.762, -10.697,  34.765
2017.000,   8.000,  40.583,  14.571,  63.880
2017.000,   9.000,  26.033,   1.899,  49.732
2017.000,  10.000,  20.546,  -5.663,  45.772
2017.000,  11.000, -94.106,-119.780, -68.968
2017.000,  12.000, -51.055, -77.435, -24.954
2018.000,   1.000, -78.323,-103.194, -52.611
2018.000,   2.000, -50.437, -73.903, -24.991
2018.000,   3.000, -87.736,-111.126, -64.307
2018.000,   4.000, -29.092, -54.039,  -5.005
2018.000,   5.000,  90.043,  66.019, 114.754
2018.000,   6.000,  73.668,  50.475,  95.956
2018.000,   7.000,  46.424,  22.251,  69.423
2018.000,   8.000,  11.781, -13.814,  35.059
2018.000,   9.000,  41.104,  17.031,  65.611
2018.000,  10.000,  81.785,  56.711, 106.318
2018.000,  11.000, -59.070, -84.143, -33.913
2018.000,  12.000, -79.642,-105.435, -53.784
2019.000,   1.000, -76.824,-101.718, -50.552
2019.000,   2.000,  -9.606, -33.292,  15.393
2019.000,   3.000, -27.845, -51.638,  -3.363
2019.000,   4.000, 130.960, 105.218, 155.193
2019.000,   5.000, 145.414, 121.578, 169.712
2019.000,   6.000,  44.585,  21.044,  67.174
2019.000,   7.000,  19.129,  -4.233,  42.074
2019.000,   8.000, -24.846, -49.914,   0.272
2019.000,   9.000,  26.867,   1.545,  51.974
2019.000,  10.000,  -3.724, -29.179,  22.221
2019.000,  11.000, -84.929,-110.601, -59.326
2019.000,  12.000, -48.515, -74.497, -22.337
2020.000,   1.000, -66.653, -91.334, -40.119
2020.000,   2.000,-105.244,-129.456, -80.866
2020.000,   3.000,   1.987, -22.396,  27.156
2020.000,   4.000,  21.689,  -3.690,  46.261
2020.000,   5.000,  75.953,  51.598,  99.724
2020.000,   6.000,  63.336,  39.662,  86.156
2020.000,   7.000,  65.749,  42.059,  89.508
2020.000,   8.000,  16.799,  -9.827,  41.403
2020.000,   9.000, -19.144, -44.147,   6.809
2020.000,  10.000, -50.705, -76.905, -23.915
2020.000,  11.000, -46.018, -72.740, -20.300
2020.000,  12.000,-110.155,-136.271, -84.493
2021.000,   1.000,-104.412,-129.666, -77.479
2021.000,   2.000, -64.222, -88.890, -38.191
2021.000,   3.000, -10.436, -35.858,  15.027
2021.000,   4.000,  85.087,  59.446, 110.856
2021.000,   5.000,  26.686,   0.432,  53.308
