Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0000,   6.0000, 139.3387, 122.8265, 155.2433
2011.0000,   7.0000, 116.4419,  99.9466, 132.3263
2011.0000,   8.0000,  56.9062,  39.1143,  75.2502
2011.0000,   9.0000,  39.1956,  19.8562,  58.4586
2011.0000,  10.0000,   1.3053, -19.1732,  22.2782
2011.0000,  11.0000,  -7.9828, -27.9609,  12.4555
2011.0000,  12.0000, -71.4783, -91.4218, -51.1049
2012.0000,   1.0000, -28.9324, -49.5807,  -8.8233
2012.0000,   2.0000, -20.7303, -40.1730,  -1.3892
2012.0000,   3.0000, 100.5637,  81.0263, 121.0100
2012.0000,   4.0000,  92.7993,  75.1656, 110.2840
2012.0000,   5.0000, 146.4790, 128.9356, 163.9456
2012.0000,   6.0000, 174.0248, 158.9718, 189.4550
2012.0000,   7.0000,  90.2183,  75.9757, 105.8583
2012.0000,   8.0000,  18.4223,   1.1901,  35.6322
2012.0000,   9.0000, -31.3052, -49.0589, -13.2705
2012.0000,  10.0000,  40.0725,  20.9650,  60.4591
2012.0000,  11.0000, -32.7389, -51.7784, -13.3623
2012.0000,  12.0000, -26.0180, -44.7407,  -6.4508
2013.0000,   1.0000, -18.1615, -37.0573,   0.8888
2013.0000,   2.0000,  -5.7158, -23.4849,  12.4717
2013.0000,   3.0000,  22.5620,   5.2424,  40.9960
2013.0000,   4.0000, 137.6552, 121.2760, 154.0464
2013.0000,   5.0000, 262.5083, 245.9763, 278.5218
2013.0000,   6.0000, 151.1169, 136.1427, 167.1267
2013.0000,   7.0000, 196.5187, 180.6645, 211.3644
2013.0000,   8.0000, 125.5212, 108.1148, 143.4937
2013.0000,   9.0000,  80.9004,  62.1843,  98.5432
2013.0000,  10.0000,  45.0657,  25.9904,  63.7215
2013.0000,  11.0000,  20.6903,   0.9998,  39.7135
2013.0000,  12.0000, -13.8018, -31.5781,   5.4001
2014.0000,   1.0000, -16.0537, -34.5396,   1.7079
2014.0000,   2.0000,  31.6841,  14.2347,  49.7961
2014.0000,   3.0000,  46.4765,  29.0182,  64.0308
2014.0000,   4.0000, 175.6217, 159.2450, 191.4999
2014.0000,   5.0000, 248.2405, 232.1328, 264.4646
2014.0000,   6.0000, 174.0220, 159.3678, 190.0226
2014.0000,   7.0000, 138.1885, 123.6532, 152.9009
2014.0000,   8.0000, 119.9580, 102.6339, 137.2588
2014.0000,   9.0000, 116.4909,  99.0467, 134.4718
2014.0000,  10.0000, 103.9364,  84.9605, 122.9431
2014.0000,  11.0000,  30.6864,  12.1905,  49.5397
2014.0000,  12.0000,  -7.3103, -25.6480,  12.5861
2015.0000,   1.0000, -28.9833, -47.1835, -10.6958
2015.0000,   2.0000, -18.2602, -34.9329,  -1.0482
2015.0000,   3.0000,  45.3994,  27.8043,  62.7318
2015.0000,   4.0000, 125.1739, 109.2632, 140.6062
2015.0000,   5.0000, 188.6462, 172.9613, 204.6866
2015.0000,   6.0000, 146.1514, 131.2813, 160.3236
2015.0000,   7.0000, 112.4803,  97.8726, 127.3208
2015.0000,   8.0000, 101.8309,  85.6338, 118.9145
2015.0000,   9.0000,  63.7735,  45.0961,  81.2758
2015.0000,  10.0000,  18.5489,  -0.3375,  36.8591
2015.0000,  11.0000,  42.2495,  24.5210,  59.9431
2015.0000,  12.0000,  53.8221,  35.5646,  72.6962
2016.0000,   1.0000,  17.5416,   0.0802,  35.4563
2016.0000,   2.0000,  19.5092,   2.1456,  37.2945
2016.0000,   3.0000,  67.5044,  49.8608,  84.8427
2016.0000,   4.0000,  94.9626,  78.6130, 111.1288
2016.0000,   5.0000, 126.9159, 111.5971, 143.2307
2016.0000,   6.0000, 177.8844, 164.0066, 192.9848
2016.0000,   7.0000, 128.0494, 113.9488, 142.7659
2016.0000,   8.0000,  98.5325,  82.4662, 114.2795
2016.0000,   9.0000,  88.5058,  72.1076, 104.9507
2016.0000,  10.0000,  19.2201,   1.2113,  36.3608
2016.0000,  11.0000,  23.3051,   6.8216,  39.8619
2016.0000,  12.0000, -29.0235, -45.6866, -11.6951
2017.0000,   1.0000,   4.2509, -12.2313,  20.8887
2017.0000,   2.0000,  32.9126,  16.9813,  49.4689
2017.0000,   3.0000,  19.6140,   3.9036,  34.8671
2017.0000,   4.0000, 196.1922, 181.3761, 212.5056
2017.0000,   5.0000, 202.2856, 186.8629, 217.6200
2017.0000,   6.0000, 168.2142, 153.5964, 182.3961
2017.0000,   7.0000, 109.3757,  94.6855, 123.8478
2017.0000,   8.0000, 141.0637, 125.5984, 157.1880
2017.0000,   9.0000, 109.1239,  92.3248, 125.5922
2017.0000,  10.0000, 115.1823,  97.0706, 133.0843
2017.0000,  11.0000,  -2.6611, -20.0406,  14.1982
2017.0000,  12.0000,  16.1560,  -0.7126,  33.2277
2018.0000,   1.0000, -19.8195, -36.1371,  -3.2334
2018.0000,   2.0000,   3.2309, -11.9431,  19.0112
2018.0000,   3.0000, -14.4462, -29.5916,   0.5321
2018.0000,   4.0000,  41.1307,  25.5569,  56.4834
2018.0000,   5.0000, 161.5102, 146.3325, 176.9212
2018.0000,   6.0000, 143.9217, 129.3334, 158.4194
2018.0000,   7.0000, 123.3765, 108.7885, 138.4689
2018.0000,   8.0000,  96.5189,  81.2924, 112.5335
2018.0000,   9.0000, 119.8702, 101.5443, 135.8918
2018.0000,  10.0000, 163.5656, 145.9819, 181.8432
2018.0000,  11.0000,  23.8510,   7.4078,  41.1342
2018.0000,  12.0000, -15.0752, -31.3949,   1.9123
