Year,Month,Median,2.5 Percentile,97.5 Percentile
2011,   6,1623,1559,1687
2011,   7,1734,1667,1798
2011,   8,1756,1684,1823
2011,   9,1629,1562,1697
2011,  10,1551,1489,1617
2011,  11,1533,1468,1595
2011,  12,1365,1307,1425
2012,   1,1539,1485,1594
2012,   2,1538,1483,1593
2012,   3,1438,1384,1492
2012,   4,1530,1474,1583
2012,   5,1531,1467,1593
2012,   6,1629,1567,1692
2012,   7,2076,2013,2141
2012,   8,2127,2058,2197
2012,   9,1807,1741,1872
2012,  10,1468,1404,1530
2012,  11,1571,1507,1635
2012,  12,1524,1464,1580
2013,   1,1521,1465,1576
2013,   2,1408,1354,1462
2013,   3,1515,1462,1570
2013,   4,1521,1467,1573
2013,   5,1574,1514,1634
2013,   6,2104,2042,2166
2013,   7,2263,2199,2330
2013,   8,2677,2609,2750
2013,   9,2729,2663,2796
2013,  10,2697,2638,2761
2013,  11,2225,2161,2289
2013,  12,2180,2123,2239
2014,   1,2009,1953,2065
2014,   2,1904,1851,1960
2014,   3,1858,1803,1912
2014,   4,2000,1946,2054
2014,   5,2345,2283,2403
2014,   6,2697,2635,2761
2014,   7,3206,3141,3271
2014,   8,3233,3168,3301
2014,   9,2902,2839,2966
2014,  10,3042,2979,3108
2014,  11,2967,2906,3031
2014,  12,2470,2415,2530
2015,   1,2266,2208,2322
2015,   2,2185,2129,2238
2015,   3,2117,2065,2172
2015,   4,2020,1965,2074
2015,   5,2474,2415,2537
2015,   6,2738,2673,2800
2015,   7,3102,3037,3167
2015,   8,3102,3034,3170
2015,   9,2790,2723,2854
2015,  10,2786,2721,2849
2015,  11,2292,2229,2354
2015,  12,2391,2336,2449
2016,   1,2511,2458,2567
2016,   2,2486,2433,2541
2016,   3,2486,2431,2537
2016,   4,2233,2179,2287
2016,   5,2462,2403,2521
2016,   6,2523,2462,2588
2016,   7,2986,2921,3050
2016,   8,3092,3027,3160
2016,   9,2573,2503,2640
2016,  10,2795,2733,2858
2016,  11,2619,2555,2681
2016,  12,2458,2399,2518
2017,   1,2260,2203,2313
2017,   2,2413,2357,2468
2017,   3,2416,2361,2471
2017,   4,2249,2197,2305
2017,   5,2019,1959,2079
2017,   6,2434,2374,2495
2017,   7,3294,3229,3362
2017,   8,3329,3263,3396
2017,   9,2833,2765,2895
2017,  10,3108,3044,3171
2017,  11,3079,3016,3141
2017,  12,2252,2192,2309
2018,   1,1966,1910,2021
2018,   2,2005,1952,2060
2018,   3,2410,2356,2461
2018,   4,2381,2324,2435
2018,   5,2423,2364,2485
2018,   6,2597,2533,2661
2018,   7,2609,2540,2673
2018,   8,2816,2753,2883
2018,   9,2651,2585,2717
2018,  10,2676,2613,2738
2018,  11,2861,2797,2923
2018,  12,2231,2171,2290
2019,   1,2304,2249,2358
2019,   2,2485,2431,2539
2019,   3,2530,2478,2583
2019,   4,2317,2261,2370
2019,   5,2356,2294,2414
2019,   6,2749,2686,2812
2019,   7,3027,2960,3094
2019,   8,3113,3046,3178
2019,   9,3027,2961,3095
2019,  10,2807,2741,2873
2019,  11,2942,2877,3003
2019,  12,2563,2503,2622
2020,   1,2454,2399,2509
2020,   2,2426,2373,2479
2020,   3,2358,2284,2432
2020,   4,2408,2354,2460
2020,   5,2473,2413,2533
2020,   6,2492,2431,2556
2020,   7,2527,2464,2593
2020,   8,2470,2402,2539
2020,   9,2688,2623,2753
2020,  10,2607,2543,2671
2020,  11,2540,2476,2599
2020,  12,2236,2176,2297
2021,   1,2260,2203,2314
2021,   2,2042,1966,2118
2021,   3,1950,1896,2004
2021,   4,1929,1874,1985
2021,   5,2215,2156,2276
