Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.00,   6.00,  84.94,  73.67,  96.62
2011.00,   7.00,  65.86,  54.99,  77.81
2011.00,   8.00,  46.10,  35.05,  57.48
2011.00,   9.00,  76.77,  65.09,  88.10
2011.00,  10.00,  50.15,  38.76,  61.76
2011.00,  11.00,  44.39,  34.02,  55.84
2011.00,  12.00,  38.44,  28.19,  48.67
2012.00,   1.00,  51.77,  40.11,  63.24
2012.00,   2.00,  22.31,  13.40,  32.55
2012.00,   3.00,  56.43,  44.06,  66.98
2012.00,   4.00,  48.21,  36.65,  59.56
2012.00,   5.00,  91.19,  79.31, 102.73
2012.00,   6.00, 103.08,  91.69, 114.38
2012.00,   7.00,  69.46,  57.27,  81.11
2012.00,   8.00,  45.85,  34.79,  56.58
2012.00,   9.00,  58.34,  45.59,  69.68
2012.00,  10.00, 103.00,  89.55, 115.16
2012.00,  11.00,  52.69,  40.25,  63.76
2012.00,  12.00,  35.16,  25.23,  45.57
2013.00,   1.00,  60.23,  48.90,  72.18
2013.00,   2.00,  43.46,  33.71,  54.09
2013.00,   3.00,  49.64,  38.53,  60.94
2013.00,   4.00, 100.84,  89.93, 112.26
2013.00,   5.00,  92.47,  80.46, 104.17
2013.00,   6.00,  72.79,  61.58,  84.10
2013.00,   7.00, 141.87, 129.67, 152.94
2013.00,   8.00,  75.90,  65.15,  88.53
2013.00,   9.00,  77.64,  66.08,  90.45
2013.00,  10.00,  68.43,  56.83,  80.40
2013.00,  11.00,  76.87,  65.03,  88.15
2013.00,  12.00,  74.39,  63.52,  85.55
2014.00,   1.00,  69.12,  56.58,  80.85
2014.00,   2.00,  36.31,  26.68,  47.01
2014.00,   3.00,  38.19,  27.09,  49.08
2014.00,   4.00,  90.93,  79.60, 102.99
2014.00,   5.00,  79.80,  68.20,  92.84
2014.00,   6.00,  94.04,  82.06, 105.26
2014.00,   7.00,  79.22,  68.13,  90.73
2014.00,   8.00,  87.98,  76.91,  99.36
2014.00,   9.00, 102.54,  90.59, 114.87
2014.00,  10.00,  83.29,  71.92,  96.16
2014.00,  11.00,  81.78,  70.39,  93.97
2014.00,  12.00,  51.81,  41.05,  62.32
2015.00,   1.00,  49.31,  38.37,  60.92
2015.00,   2.00,  30.01,  20.31,  40.24
2015.00,   3.00,  36.72,  25.69,  48.32
2015.00,   4.00,  46.76,  36.14,  58.00
2015.00,   5.00,  91.16,  79.79, 102.45
2015.00,   6.00,  77.50,  66.23,  89.19
2015.00,   7.00,  58.30,  47.45,  69.07
2015.00,   8.00,  74.04,  63.21,  85.52
2015.00,   9.00,  67.46,  55.96,  78.57
2015.00,  10.00,  59.05,  47.57,  70.50
2015.00,  11.00,  82.01,  70.55,  93.34
2015.00,  12.00, 101.46,  90.41, 111.88
2016.00,   1.00,  55.75,  43.81,  67.44
2016.00,   2.00,  45.56,  34.44,  57.73
2016.00,   3.00,  49.35,  36.97,  61.51
2016.00,   4.00,  32.31,  20.83,  44.46
2016.00,   5.00,  60.14,  47.55,  72.26
2016.00,   6.00, 109.98,  98.08, 121.83
2016.00,   7.00,  78.07,  66.70,  89.68
2016.00,   8.00,  84.35,  72.17,  96.58
2016.00,   9.00, 108.00,  95.68, 119.91
