# St.Lawrence River Monthly Flow
# Units = cms
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2024-01-11 11:03:24 by JKP
#
"Year","Month","St.Lawrence(SFD+ADVM)","St.Lawrence (Coordinated)"
1900,1,5890,5890
1900,2,5920,5920
1900,3,6090,6090
1900,4,6770,6770
1900,5,6940,6940
1900,6,6970,6970
1900,7,6910,6910
1900,8,6710,6710
1900,9,6510,6510
1900,10,6260,6260
1900,11,6120,6120
1900,12,6290,6290
1901,1,6060,6060
1901,2,5920,5920
1901,3,5830,5830
1901,4,6630,6630
1901,5,6910,6910
1901,6,7020,7020
1901,7,6850,6850
1901,8,6650,6650
1901,9,6480,6480
1901,10,6310,6310
1901,11,5970,5970
1901,12,6090,6090
1902,1,5950,5950
1902,2,5350,5350
1902,3,6290,6290
1902,4,6740,6740
1902,5,6800,6800
1902,6,6880,6880
1902,7,7020,7020
1902,8,7080,7080
1902,9,6880,6880
1902,10,6650,6650
1902,11,6510,6510
1902,12,6340,6340
1903,1,6230,6230
1903,2,6230,6230
1903,3,6800,6800
1903,4,7310,7310
1903,5,7360,7360
1903,6,7310,7310
1903,7,7360,7360
1903,8,7220,7220
1903,9,7080,7080
1903,10,6770,6770
1903,11,6430,6430
1903,12,6230,6230
1904,1,5750,5750
1904,2,5830,5830
1904,3,6230,6230
1904,4,7250,7250
1904,5,7650,7650
1904,6,7840,7840
1904,7,7870,7870
1904,8,7730,7730
1904,9,7480,7480
1904,10,7220,7220
1904,11,6880,6880
1904,12,6260,6260
1905,1,5920,5920
1905,2,6170,6170
1905,3,6000,6000
1905,4,6740,6740
1905,5,6850,6850
1905,6,7050,7050
1905,7,7330,7330
1905,8,7280,7280
1905,9,7190,7190
1905,10,6990,6990
1905,11,6820,6820
1905,12,6650,6650
1906,1,6850,6850
1906,2,6630,6630
1906,3,6570,6570
1906,4,6820,6820
1906,5,6910,6910
1906,6,6970,6970
1906,7,7080,7080
1906,8,6880,6880
1906,9,6630,6630
1906,10,6540,6540
1906,11,6480,6480
1906,12,6430,6430
1907,1,6310,6310
1907,2,6510,6510
1907,3,6650,6650
1907,4,7220,7220
1907,5,7390,7390
1907,6,7420,7420
1907,7,7450,7450
1907,8,7310,7310
1907,9,7050,7050
1907,10,6990,6990
1907,11,6940,6940
1907,12,6910,6910
1908,1,6570,6570
1908,2,6540,6540
1908,3,7020,7020
1908,4,7870,7870
1908,5,8270,8270
1908,6,8330,8330
1908,7,8160,8160
1908,8,7900,7900
1908,9,7420,7420
1908,10,6990,6990
1908,11,6740,6740
1908,12,6430,6430
1909,1,6090,6090
1909,2,5890,5890
1909,3,6340,6340
1909,4,6820,6820
1909,5,7390,7390
1909,6,7530,7530
1909,7,7480,7480
1909,8,7250,7250
1909,9,6910,6910
1909,10,6680,6680
1909,11,6370,6370
1909,12,6290,6290
1910,1,5920,5920
1910,2,5660,5660
1910,3,6460,6460
1910,4,6710,6710
1910,5,7020,7020
1910,6,7050,7050
1910,7,6970,6970
1910,8,6820,6820
1910,9,6540,6540
1910,10,6400,6400
1910,11,6230,6230
1910,12,6060,6060
1911,1,5780,5780
1911,2,5660,5660
1911,3,5830,5830
1911,4,6340,6340
1911,5,6570,6570
1911,6,6570,6570
1911,7,6540,6540
1911,8,6310,6310
1911,9,6090,6090
1911,10,5970,5970
1911,11,6000,6000
1911,12,6000,6000
1912,1,5720,5720
1912,2,5410,5410
1912,3,5610,5610
1912,4,6680,6680
1912,5,7220,7220
1912,6,7590,7590
1912,7,7330,7330
1912,8,7140,7140
1912,9,6990,6990
