# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Ontario
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1900,1,74.28,NA
1900,2,74.32,NA
1900,3,74.46,NA
1900,4,74.52,NA
1900,5,74.76,NA
1900,6,74.75,NA
1900,7,74.72,NA
1900,8,74.67,NA
1900,9,74.58,NA
1900,10,74.46,NA
1900,11,74.34,NA
1900,12,74.38,NA
1901,1,74.37,NA
1901,2,74.37,NA
1901,3,74.25,NA
1901,4,74.41,NA
1901,5,74.76,NA
1901,6,74.73,NA
1901,7,74.76,NA
1901,8,74.67,NA
1901,9,74.57,NA
1901,10,74.46,NA
1901,11,74.29,NA
1901,12,74.2,NA
1902,1,74.32,NA
1902,2,74.32,NA
1902,3,74.28,NA
1902,4,74.58,NA
1902,5,74.63,NA
1902,6,74.63,NA
1902,7,74.67,NA
1902,8,74.82,NA
1902,9,74.76,NA
1902,10,74.63,NA
1902,11,74.52,NA
1902,12,74.47,NA
1903,1,74.41,NA
1903,2,74.37,NA
1903,3,74.47,NA
1903,4,74.82,NA
1903,5,75.01,NA
1903,6,74.93,NA
1903,7,74.95,NA
1903,8,74.95,NA
1903,9,74.84,NA
1903,10,74.69,NA
1903,11,74.64,NA
1903,12,74.54,NA
1904,1,74.43,NA
1904,2,74.37,NA
1904,3,74.49,NA
1904,4,74.79,NA
1904,5,75.11,NA
1904,6,75.27,NA
1904,7,75.31,NA
1904,8,75.28,NA
1904,9,75.19,NA
1904,10,75.04,NA
1904,11,74.95,NA
1904,12,74.73,NA
1905,1,74.63,NA
1905,2,74.64,NA
1905,3,74.49,NA
1905,4,74.61,NA
1905,5,74.78,NA
1905,6,74.89,NA
1905,7,75.02,NA
1905,8,75.07,NA
1905,9,75.07,NA
1905,10,74.92,NA
1905,11,74.86,NA
1905,12,74.75,NA
1906,1,74.76,NA
1906,2,74.84,NA
1906,3,74.79,NA
1906,4,74.76,NA
1906,5,74.86,NA
1906,6,74.86,NA
1906,7,74.93,NA
1906,8,74.92,NA
1906,9,74.78,NA
1906,10,74.64,NA
1906,11,74.66,NA
1906,12,74.66,NA
1907,1,74.67,NA
1907,2,74.93,NA
1907,3,74.89,NA
1907,4,74.99,NA
1907,5,75.04,NA
1907,6,75.1,NA
1907,7,75.1,NA
1907,8,75.08,NA
1907,9,74.98,NA
1907,10,74.9,NA
1907,11,74.84,NA
1907,12,74.86,NA
1908,1,74.92,NA
1908,2,74.99,NA
1908,3,75.08,NA
1908,4,75.28,NA
1908,5,75.4,NA
1908,6,75.57,NA
1908,7,75.53,NA
1908,8,75.43,NA
1908,9,75.24,NA
1908,10,75.02,NA
1908,11,74.86,NA
1908,12,74.69,NA
1909,1,74.54,NA
1909,2,74.54,NA
1909,3,74.64,NA
1909,4,74.67,NA
1909,5,74.93,NA
1909,6,75.18,NA
1909,7,75.11,NA
1909,8,75.1,NA
1909,9,74.98,NA
1909,10,74.79,NA
1909,11,74.63,NA
1909,12,74.55,NA
1910,1,74.5,NA
1910,2,74.49,NA
1910,3,74.5,NA
1910,4,74.67,NA
1910,5,74.79,NA
1910,6,74.9,NA
1910,7,74.87,NA
1910,8,74.81,NA
1910,9,74.73,NA
1910,10,74.63,NA
1910,11,74.54,NA
1910,12,74.47,NA
1911,1,74.38,NA
1911,2,74.38,NA
1911,3,74.43,NA
1911,4,74.47,NA
1911,5,74.6,NA
1911,6,74.63,NA
1911,7,74.66,NA
1911,8,74.57,NA
1911,9,74.44,NA
1911,10,74.37,NA
1911,11,74.31,NA
1911,12,74.29,NA
1912,1,74.37,NA
1912,2,74.4,NA
1912,3,74.43,NA
1912,4,74.52,NA
1912,5,74.92,NA
1912,6,75.13,NA
1912,7,75.13,NA
1912,8,75.02,NA
1912,9,74.92,NA
1912,10,74.86,NA
1912,11,74.76,NA
1912,12,74.78,NA
1913,1,74.78,NA
1913,2,75.04,NA
1913,3,74.92,NA
1913,4,75.18,NA
1913,5,75.34,NA
1913,6,75.39,NA
1913,7,75.36,NA
1913,8,75.24,NA
1913,9,75.11,NA
1913,10,74.93,NA
1913,11,74.81,NA
1913,12,74.78,NA
1914,1,74.7,NA
1914,2,74.66,NA
1914,3,74.63,NA
1914,4,74.76,NA
1914,5,74.98,NA
1914,6,75.05,NA
1914,7,75.02,NA
1914,8,74.92,NA
1914,9,74.84,NA
1914,10,74.72,NA
1914,11,74.58,NA
1914,12,74.47,NA
1915,1,74.35,NA
1915,2,74.37,NA
1915,3,74.5,NA
1915,4,74.49,NA
1915,5,74.49,NA
1915,6,74.49,NA
1915,7,74.49,NA
1915,8,74.49,NA
1915,9,74.61,NA
1915,10,74.57,NA
1915,11,74.49,NA
1915,12,74.4,NA
1916,1,74.38,NA
1916,2,74.54,NA
1916,3,74.57,NA
1916,4,74.67,NA
1916,5,75.01,NA
1916,6,75.21,NA
1916,7,75.42,NA
1916,8,75.28,NA
1916,9,75.07,NA
1916,10,74.87,NA
1916,11,74.72,NA
1916,12,74.61,NA
1917,1,74.54,NA
1917,2,74.47,NA
1917,3,74.43,NA
1917,4,74.64,NA
1917,5,74.89,NA
1917,6,74.93,NA
1917,7,75.13,NA
1917,8,75.22,NA
