# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
1900,1,20
1900,2,20
1900,3,20
1900,4,11
1900,5,20
1900,6,20
1900,7,20
1900,8,20
1900,9,20
1900,10,20
1900,11,20
1900,12,20
1901,1,20
1901,2,20
1901,3,20
1901,4,11
1901,5,20
1901,6,20
1901,7,20
1901,8,20
1901,9,20
1901,10,20
1901,11,20
1901,12,20
1902,1,20
1902,2,20
1902,3,20
1902,4,11
1902,5,20
1902,6,20
1902,7,20
1902,8,20
1902,9,20
1902,10,20
1902,11,20
1902,12,20
1903,1,20
1903,2,20
1903,3,20
1903,4,11
1903,5,20
1903,6,20
1903,7,20
1903,8,20
1903,9,20
1903,10,20
1903,11,20
1903,12,20
1904,1,20
1904,2,20
1904,3,20
1904,4,11
1904,5,20
1904,6,20
1904,7,20
1904,8,20
1904,9,20
1904,10,20
1904,11,20
1904,12,20
1905,1,20
1905,2,20
1905,3,20
1905,4,11
1905,5,20
1905,6,20
1905,7,20
1905,8,20
1905,9,20
1905,10,20
1905,11,20
1905,12,20
1906,1,20
1906,2,20
1906,3,20
1906,4,11
1906,5,20
1906,6,20
1906,7,20
1906,8,20
1906,9,20
1906,10,20
1906,11,20
1906,12,20
1907,1,20
1907,2,20
1907,3,20
1907,4,11
1907,5,20
1907,6,20
1907,7,20
1907,8,20
1907,9,20
1907,10,20
1907,11,20
1907,12,20
1908,1,20
1908,2,20
1908,3,20
1908,4,20
1908,5,20
1908,6,20
1908,7,20
1908,8,20
1908,9,20
1908,10,20
1908,11,14
1908,12,0
1909,1,0
1909,2,0
1909,3,0
1909,4,0
1909,5,17
1909,6,23
1909,7,23
1909,8,23
1909,9,23
1909,10,23
1909,11,17
1909,12,0
1910,1,0
1910,2,0
1910,3,0
1910,4,0
1910,5,17
1910,6,23
1910,7,23
1910,8,23
1910,9,23
1910,10,23
1910,11,17
1910,12,0
1911,1,0
1911,2,0
1911,3,0
1911,4,0
1911,5,17
1911,6,25
1911,7,25
1911,8,25
1911,9,25
1911,10,25
1911,11,17
1911,12,0
1912,1,0
1912,2,0
1912,3,0
1912,4,0
1912,5,17
1912,6,25
1912,7,25
1912,8,25
1912,9,25
1912,10,25
1912,11,17
1912,12,0
1913,1,0
1913,2,0
1913,3,0
1913,4,0
1913,5,0
1913,6,25
1913,7,25
1913,8,25
1913,9,25
1913,10,25
1913,11,25
1913,12,8
1914,1,0
1914,2,0
1914,3,0
1914,4,0
1914,5,11
1914,6,28
1914,7,28
1914,8,28
1914,9,28
1914,10,28
1914,11,28
1914,12,14
1915,1,8
1915,2,8
1915,3,8
1915,4,6
1915,5,20
1915,6,28
1915,7,28
1915,8,28
1915,9,28
1915,10,28
1915,11,28
1915,12,14
1916,1,8
1916,2,8
1916,3,8
1916,4,6
1916,5,25
1916,6,31
1916,7,31
1916,8,31
1916,9,31
1916,10,31
1916,11,31
1916,12,14
1917,1,8
1917,2,8
1917,3,8
1917,4,6
1917,5,25
1917,6,31
1917,7,31
1917,8,31
1917,9,31
1917,10,31
1917,11,31
1917,12,17
1918,1,8
1918,2,8
1918,3,8
1918,4,3
1918,5,28
1918,6,34
1918,7,34
1918,8,34
1918,9,34
1918,10,34
1918,11,34
1918,12,23
1919,1,28
1919,2,28
1919,3,28
1919,4,14
1919,5,34
1919,6,34
1919,7,34
1919,8,34
1919,9,34
1919,10,34
1919,11,34
1919,12,11
1920,1,28
1920,2,11
1920,3,3
1920,4,28
1920,5,25
1920,6,34
1920,7,34
1920,8,34
1920,9,34
1920,10,34
1920,11,34
1920,12,28
1921,1,28
1921,2,28
1921,3,28
1921,4,17
1921,5,37
1921,6,37
1921,7,37
1921,8,37
1921,9,37
1921,10,37
1921,11,37
1921,12,28
1922,1,28
1922,2,28
1922,3,23
1922,4,25
1922,5,37
1922,6,37
1922,7,37
1922,8,37
1922,9,37
1922,10,37
1922,11,37
1922,12,28
1923,1,28
1923,2,28
1923,3,28
1923,4,20
1923,5,37
1923,6,37
1923,7,37
1923,8,37
1923,9,37
1923,10,37
1923,11,37
1923,12,28
1924,1,17
1924,2,28
1924,3,14
1924,4,8
1924,5,40
1924,6,40
1924,7,40
1924,8,40
1924,9,40
1924,10,40
1924,11,40
1924,12,31
1925,1,28
1925,2,28
