# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
1900,1,31
1900,2,31
1900,3,31
1900,4,31
1900,5,31
1900,6,31
1900,7,31
1900,8,31
1900,9,31
1900,10,31
1900,11,31
1900,12,31
1901,1,31
1901,2,31
1901,3,31
1901,4,31
1901,5,31
1901,6,31
1901,7,31
1901,8,31
1901,9,31
1901,10,31
1901,11,31
1901,12,31
1902,1,34
1902,2,34
1902,3,34
1902,4,34
1902,5,34
1902,6,34
1902,7,34
1902,8,34
1902,9,34
1902,10,34
1902,11,34
1902,12,34
1903,1,34
1903,2,34
1903,3,34
1903,4,34
1903,5,34
1903,6,34
1903,7,34
1903,8,34
1903,9,34
1903,10,34
1903,11,34
1903,12,34
1904,1,37
1904,2,37
1904,3,37
1904,4,37
1904,5,37
1904,6,37
1904,7,37
1904,8,37
1904,9,37
1904,10,37
1904,11,37
1904,12,37
1905,1,40
1905,2,40
1905,3,40
1905,4,40
1905,5,40
1905,6,40
1905,7,40
1905,8,40
1905,9,40
1905,10,40
1905,11,40
1905,12,40
1906,1,42
1906,2,42
1906,3,42
1906,4,42
1906,5,42
1906,6,42
1906,7,42
1906,8,42
1906,9,42
1906,10,42
1906,11,42
1906,12,42
1907,1,45
1907,2,45
1907,3,45
1907,4,45
1907,5,45
1907,6,45
1907,7,45
1907,8,45
1907,9,45
1907,10,45
1907,11,45
1907,12,45
1908,1,42
1908,2,42
1908,3,42
1908,4,42
1908,5,42
1908,6,42
1908,7,42
1908,8,42
1908,9,42
1908,10,42
1908,11,42
1908,12,42
1909,1,51
1909,2,51
1909,3,51
1909,4,51
1909,5,51
1909,6,51
1909,7,51
1909,8,51
1909,9,51
1909,10,51
1909,11,51
1909,12,51
1910,1,54
1910,2,54
1910,3,54
1910,4,54
1910,5,54
1910,6,54
1910,7,54
1910,8,54
1910,9,54
1910,10,54
1910,11,54
1910,12,54
1911,1,57
1911,2,57
1911,3,57
1911,4,57
1911,5,57
1911,6,57
1911,7,57
1911,8,57
1911,9,57
1911,10,57
1911,11,57
1911,12,57
1912,1,62
1912,2,62
1912,3,62
1912,4,62
1912,5,62
1912,6,62
1912,7,62
1912,8,62
1912,9,62
