# Connecting Channels Monthly Flow
# Units = cms
#IGS Data Source: H:\SHARE\H&H\GL_H&HData & Reports\WaterBudgetTracking\L2SWBM\Daily\IGSdaily.csv
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2018-12-17 14:08:14 by jkp
#
"Year","Month","St.Marys (IGS)","St.Clair (IGS)","Detroit (IGS)","St. Marys (Flow Accounting)","St. Clair (SFD+ADVM)","Detroit (SFD+ADVM)","Niagara+Welland(SFD+ADVM)","St.Lawrence(SFD+ADVM)","St. Marys (Coordinated)","St. Clair (Coordinated)","Detroit (Coordinated)","Niagara+Welland (Coordinated)","St.Lawrence (Coordinated)"
1900,1,NA,NA,NA,2240,4190,4300,5381,5890,2240,4190,4300,5381,5890
1900,2,NA,NA,NA,2180,3960,4160,5271,5920,2180,3960,4160,5271,5920
1900,3,NA,NA,NA,2070,3960,4190,5441,6090,2070,3960,4190,5441,6090
1900,4,NA,NA,NA,2070,5130,5270,5581,6770,2070,5130,5270,5581,6770
1900,5,NA,NA,NA,2180,5240,5300,5831,6940,2180,5240,5300,5831,6940
1900,6,NA,NA,NA,2210,5300,5380,5861,6970,2210,5300,5380,5861,6970
1900,7,NA,NA,NA,2320,5440,5490,5751,6910,2320,5440,5490,5751,6910
1900,8,NA,NA,NA,2440,5470,5550,5721,6710,2440,5470,5550,5721,6710
1900,9,NA,NA,NA,2610,5550,5550,5611,6510,2610,5550,5550,5611,6510
1900,10,NA,NA,NA,2660,5580,5580,5381,6260,2660,5580,5580,5381,6260
1900,11,NA,NA,NA,2660,5640,5640,5521,6120,2660,5640,5640,5521,6120
1900,12,NA,NA,NA,2380,5440,5380,5501,6290,2380,5440,5380,5501,6290
1901,1,NA,NA,NA,2240,4700,4960,5381,6060,2240,4700,4960,5381,6060
1901,2,NA,NA,NA,2120,3570,4020,4871,5920,2120,3570,4020,4871,5920
1901,3,NA,NA,NA,1950,4360,4500,4841,5830,1950,4360,4500,4841,5830
1901,4,NA,NA,NA,1980,3600,3620,4901,6630,1980,3600,3620,4901,6630
1901,5,NA,NA,NA,2150,5490,5010,5131,6910,2150,5490,5010,5131,6910
1901,6,NA,NA,NA,2240,5720,5640,5411,7020,2240,5720,5640,5411,7020
1901,7,NA,NA,NA,2440,5780,5780,5411,6850,2440,5780,5780,5411,6850
1901,8,NA,NA,NA,2440,5780,5800,5351,6650,2440,5780,5800,5351,6650
1901,9,NA,NA,NA,2290,5660,5690,5411,6480,2290,5660,5690,5411,6480
1901,10,NA,NA,NA,2290,5610,5610,5301,6310,2290,5610,5610,5301,6310
1901,11,NA,NA,NA,2210,5550,5580,5241,5970,2210,5550,5580,5241,5970
1901,12,NA,NA,NA,2040,5300,5410,5241,6090,2040,5300,5410,5241,6090
1902,1,NA,NA,NA,1870,4130,4250,5164,5950,1870,4130,4250,5164,5950
1902,2,NA,NA,NA,1760,4300,4390,4764,5350,1760,4300,4390,4764,5350
1902,3,NA,NA,NA,1610,5180,5100,4904,6290,1610,5180,5100,4904,6290
1902,4,NA,NA,NA,1730,5270,5100,5214,6740,1730,5270,5100,5214,6740
1902,5,NA,NA,NA,1840,5320,5300,5504,6800,1840,5320,5300,5504,6800
1902,6,NA,NA,NA,1950,5440,5490,5644,6880,1950,5440,5490,5644,6880
1902,7,NA,NA,NA,2100,5410,5720,5984,7020,2100,5410,5720,5984,7020
1902,8,NA,NA,NA,2120,5490,5610,5954,7080,2120,5490,5610,5954,7080
1902,9,NA,NA,NA,2180,5380,5470,5754,6880,2180,5380,5470,5754,6880
1902,10,NA,NA,NA,2100,5270,5320,5864,6650,2100,5270,5320,5864,6650
1902,11,NA,NA,NA,2120,5300,5320,5724,6510,2120,5300,5320,5724,6510
1902,12,NA,NA,NA,1950,5150,5320,5674,6340,1950,5150,5320,5674,6340
1903,1,NA,NA,NA,1810,3990,4280,5584,6230,1810,3990,4280,5584,6230
1903,2,NA,NA,NA,1730,3880,4080,5334,6230,1730,3880,4080,5334,6230
1903,3,NA,NA,NA,1700,4900,5130,5644,6800,1700,4900,5130,5644,6800
1903,4,NA,NA,NA,1760,5240,5440,6034,7310,1760,5240,5440,6034,7310
1903,5,NA,NA,NA,1980,5240,5440,6204,7360,1980,5240,5440,6204,7360
1903,6,NA,NA,NA,2180,5320,5580,6204,7310,2180,5320,5580,6204,7310
1903,7,NA,NA,NA,2240,5440,5690,6124,7360,2240,5440,5690,6124,7360
1903,8,NA,NA,NA,2270,5440,5520,5954,7220,2270,5440,5520,5954,7220
1903,9,NA,NA,NA,2270,5490,5580,5954,7080,2270,5490,5580,5954,7080
1903,10,NA,NA,NA,2290,5610,5610,5834,6770,2290,5610,5610,5834,6770
1903,11,NA,NA,NA,2270,5440,5550,5674,6430,2270,5440,5550,5674,6430
1903,12,NA,NA,NA,2070,5150,5690,5674,6230,2070,5150,5690,5674,6230
1904,1,NA,NA,NA,2040,4330,4530,4967,5750,2040,4330,4530,4967,5750
1904,2,NA,NA,NA,1930,4190,4670,5077,5830,1930,4190,4670,5077,5830
1904,3,NA,NA,NA,1930,4360,4590,5477,6230,1930,4360,4590,5477,6230
1904,4,NA,NA,NA,1980,5300,5660,6097,7250,1980,5300,5660,6097,7250
1904,5,NA,NA,NA,2150,5520,5690,6437,7650,2150,5520,5690,6437,7650
1904,6,NA,NA,NA,2320,5720,5780,6577,7840,2320,5720,5780,6577,7840
