Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.000,   6.000, 139.487,  24.128, 258.482
2011.000,   7.000, 108.749, -14.359, 224.277
2011.000,   8.000,  83.671, -11.028, 170.879
2011.000,   9.000, 148.575,  -7.808, 273.894
2011.000,  10.000, 174.080,  54.024, 311.954
2011.000,  11.000, 225.850, 104.803, 380.165
2011.000,  12.000, 413.128, 230.455, 551.359
2012.000,   1.000, 407.125, 260.321, 616.472
2012.000,   2.000, 339.121, 184.800, 527.794
2012.000,   3.000, 210.661,  18.955, 435.949
2012.000,   4.000,  88.906, -65.468, 217.907
2012.000,   5.000,  48.011,-104.735, 172.634
2012.000,   6.000,  77.886, -56.317, 200.001
2012.000,   7.000,  49.458, -47.688, 194.007
2012.000,   8.000,  53.135, -52.530, 145.004
2012.000,   9.000,  58.548, -58.319, 164.157
2012.000,  10.000,  72.734, -75.618, 213.665
2012.000,  11.000, 103.050, -11.497, 251.459
2012.000,  12.000, 146.732,  40.702, 269.928
2013.000,   1.000, 166.250, -94.364, 323.312
2013.000,   2.000, 442.393, 277.572, 655.898
2013.000,   3.000, 372.370, 231.107, 517.339
2013.000,   4.000, 409.122, 189.618, 576.516
2013.000,   5.000, 172.423, -37.410, 314.153
2013.000,   6.000, 183.633,  90.795, 297.111
2013.000,   7.000, 141.652,  33.319, 267.788
2013.000,   8.000,  85.283,  10.724, 177.173
2013.000,   9.000, 105.980,   6.371, 263.181
2013.000,  10.000, 152.744,   6.900, 314.547
2013.000,  11.000, 144.042,   3.114, 266.131
2013.000,  12.000, 345.328, 205.331, 510.635
2014.000,   1.000,-194.671,-347.590, -60.695
2014.000,   2.000, 110.225, -33.423, 250.134
2014.000,   3.000, 417.198, 221.785, 593.683
2014.000,   4.000, 400.199, 264.412, 546.738
2014.000,   5.000, 386.778, 199.201, 500.113
2014.000,   6.000, 111.972,   1.501, 226.776
2014.000,   7.000, 124.349,  24.843, 243.472
2014.000,   8.000,  99.955,  -0.102, 209.103
2014.000,   9.000, 188.736,  78.884, 355.021
2014.000,  10.000, 194.731,  84.270, 317.046
2014.000,  11.000, 123.547, -13.619, 282.283
2014.000,  12.000, 111.692, -22.186, 281.612
2015.000,   1.000, 104.355, -83.344, 277.470
2015.000,   2.000, 260.818,  27.578, 440.563
2015.000,   3.000, 376.592, 145.592, 620.262
2015.000,   4.000, 268.170, 147.179, 455.147
2015.000,   5.000, 166.238, -52.646, 326.569
2015.000,   6.000, 242.306, 130.689, 334.032
2015.000,   7.000, 162.532,  34.614, 263.428
2015.000,   8.000,  64.336, -17.205, 169.236
2015.000,   9.000, 158.274,  59.701, 296.739
2015.000,  10.000,  62.016, -76.529, 210.916
2015.000,  11.000, 184.853,  47.501, 295.052
2015.000,  12.000, 338.343, 171.730, 472.805
2016.000,   1.000, 263.781, 153.213, 384.282
2016.000,   2.000, 350.833, 135.669, 498.515
2016.000,   3.000, 482.563, 333.765, 645.075
2016.000,   4.000, 297.442, 187.390, 410.205
2016.000,   5.000, 146.526, -44.458, 280.119
2016.000,   6.000, 103.283,  18.021, 225.800
2016.000,   7.000, 122.275,  19.941, 250.460
2016.000,   8.000,  66.821, -25.315, 198.819
2016.000,   9.000,  83.076, -44.062, 222.590
2016.000,  10.000,  52.932, -77.445, 198.093
2016.000,  11.000,  -4.269,-127.072, 178.251
2016.000,  12.000, 292.453, 172.518, 463.725
2017.000,   1.000, 369.786, 224.776, 519.574
2017.000,   2.000, 340.898, 133.178, 547.832
2017.000,   3.000, 350.481, 227.104, 480.061
2017.000,   4.000, 278.112, 151.798, 406.694
2017.000,   5.000, 173.429,   7.509, 388.092
2017.000,   6.000, 141.538,  53.410, 310.165
2017.000,   7.000,  56.895, -85.134, 227.369
2017.000,   8.000,  67.462, -40.953, 172.923
2017.000,   9.000,  15.262,-121.101, 119.668
2017.000,  10.000,  99.369, -38.567, 219.578
2017.000,  11.000, 196.554,  58.519, 335.180
2017.000,  12.000, 279.032, 144.306, 529.310
2018.000,   1.000, 182.983, -11.815, 379.126
2018.000,   2.000, 557.103, 365.472, 705.107
2018.000,   3.000, 285.724, 128.878, 421.643
2018.000,   4.000, 343.526, 216.126, 467.678
2018.000,   5.000, 156.799,   7.559, 355.665
2018.000,   6.000,  76.863, -33.793, 241.240
2018.000,   7.000,  70.804, -64.200, 188.476
2018.000,   8.000,  89.526, -15.969, 200.878
2018.000,   9.000, 229.039,  84.536, 376.461
2018.000,  10.000, 306.509, 149.997, 483.917
2018.000,  11.000, 348.225, 161.356, 509.763
2018.000,  12.000, 384.756, 209.522, 503.048
2019.000,   1.000, 341.766, 161.121, 483.006
2019.000,   2.000, 388.150, 194.566, 530.840
2019.000,   3.000, 514.383, 388.059, 651.649
2019.000,   4.000, 425.578, 203.007, 553.527
2019.000,   5.000, 190.172,  83.989, 356.162
2019.000,   6.000, 135.087,  19.071, 259.827
2019.000,   7.000,  48.647, -28.737, 139.697
2019.000,   8.000,   4.296, -92.614,  96.413
2019.000,   9.000,  72.908, -37.911, 168.247
2019.000,  10.000,   0.309,-135.465, 140.028
2019.000,  11.000,  49.370, -80.640, 195.041
2019.000,  12.000, 117.508, -15.844, 312.178
2020.000,   1.000, 680.106, 476.144, 902.509
2020.000,   2.000, 282.243, 156.183, 401.484
2020.000,   3.000, 477.602, 330.120, 645.003
2020.000,   4.000, 170.092,  31.357, 280.818
2020.000,   5.000, 121.927, -28.051, 216.266
2020.000,   6.000,  77.948, -59.614, 206.811
