Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0000,   6.0000, -59.0935, -91.4490, -25.0503
2011.0000,   7.0000, -79.9851,-112.1104, -47.8537
2011.0000,   8.0000,-122.4430,-155.8626, -89.0425
2011.0000,   9.0000, -27.2033, -62.2435,   7.0221
2011.0000,  10.0000, -47.3534, -81.5351, -11.1420
2011.0000,  11.0000,  58.8006,  24.7749,  94.1363
2011.0000,  12.0000,  83.7542,  50.2288, 118.0146
2012.0000,   1.0000,  25.2655,  -8.0754,  58.9540
2012.0000,   2.0000, -68.8165,-100.1870, -35.1155
2012.0000,   3.0000,  14.6720, -15.8154,  46.8436
2012.0000,   4.0000, -68.5559, -99.2759, -36.8179
2012.0000,   5.0000, -48.8885, -78.9505, -17.5407
2012.0000,   6.0000, -80.4348,-109.5746, -49.6593
2012.0000,   7.0000, -82.3579,-112.8544, -52.6835
2012.0000,   8.0000, -92.8342,-123.3741, -61.7917
2012.0000,   9.0000, -95.7643,-129.3173, -63.6834
2012.0000,  10.0000, -25.3703, -57.7478,   8.4223
2012.0000,  11.0000, -71.1071,-103.4921, -38.0571
2012.0000,  12.0000,   2.4429, -27.8412,  34.9664
2013.0000,   1.0000,  -1.8592, -33.6610,  30.0014
2013.0000,   2.0000,  88.6289,  57.9648, 119.6459
2013.0000,   3.0000,  43.2914,  13.2838,  74.3747
2013.0000,   4.0000, 197.4101, 168.6378, 227.9816
2013.0000,   5.0000, -18.6736, -47.9135,  11.4713
2013.0000,   6.0000, 182.7828, 153.6338, 212.2003
2013.0000,   7.0000,  44.5213,  13.2251,  73.7894
2013.0000,   8.0000,-100.2541,-130.2723, -70.3764
2013.0000,   9.0000,-142.7873,-173.5050,-113.4005
2013.0000,  10.0000, -95.5532,-126.5659, -63.5815
2013.0000,  11.0000, -70.1818,-102.9795, -38.1667
2013.0000,  12.0000,  95.3152,  65.7206, 126.3785
2014.0000,   1.0000, -85.2066,-115.4771, -53.9212
2014.0000,   2.0000,  19.0293,  -8.8456,  48.9788
2014.0000,   3.0000, 114.1598,  84.0857, 144.9174
2014.0000,   4.0000, 198.4115, 168.1466, 229.0573
2014.0000,   5.0000, 110.9716,  83.0653, 140.7110
2014.0000,   6.0000,  23.0637,  -5.3087,  52.6285
2014.0000,   7.0000, -30.6605, -60.7105,  -2.2280
2014.0000,   8.0000, -65.6705, -96.1460, -35.8826
2014.0000,   9.0000, -36.9818, -69.0580,  -7.5491
2014.0000,  10.0000, -42.4300, -73.8113, -10.9294
2014.0000,  11.0000, -78.3267,-109.9565, -46.7678
2014.0000,  12.0000, -35.1083, -64.0065,  -5.0357
2015.0000,   1.0000, -34.7538, -64.6918,  -3.6653
2015.0000,   2.0000,-118.8167,-146.2770, -88.9891
2015.0000,   3.0000, 150.7455, 122.3260, 180.4150
2015.0000,   4.0000, 179.3866, 149.1732, 209.0744
2015.0000,   5.0000, 128.3228,  99.3007, 158.5046
2015.0000,   6.0000, 281.8687, 253.9495, 311.0463
2015.0000,   7.0000, -12.9986, -42.8056,  16.9196
2015.0000,   8.0000,-150.6324,-180.1849,-120.4241
2015.0000,   9.0000, -95.0520,-125.8127, -65.8975
2015.0000,  10.0000,-176.6896,-207.6016,-145.3963
2015.0000,  11.0000, -76.2962,-107.8261, -45.4983
2015.0000,  12.0000,  20.0783,  -9.2937,  49.5919
2016.0000,   1.0000,  23.7250,  -6.9994,  54.6387
2016.0000,   2.0000,  84.0266,  55.3999, 113.7140
2016.0000,   3.0000, 210.3078, 181.8321, 240.7961
2016.0000,   4.0000, 120.9252,  90.9032, 150.6201
2016.0000,   5.0000, -24.8848, -53.0686,   4.6928
2016.0000,   6.0000, -69.1711, -96.6507, -39.9868
2016.0000,   7.0000, -45.2931, -74.3245, -17.8029
2016.0000,   8.0000, -66.8298, -94.7770, -37.2121
