Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0,   6.0, 242.3, 224.8, 260.3
2011.0,   7.0, 256.1, 238.6, 273.9
2011.0,   8.0, 224.8, 208.1, 241.5
2011.0,   9.0, 248.3, 230.7, 266.2
2011.0,  10.0, 248.4, 230.6, 266.1
2011.0,  11.0, 222.8, 205.8, 240.1
2011.0,  12.0, 255.8, 239.4, 272.4
2012.0,   1.0, 236.8, 221.4, 251.9
2012.0,   2.0, 232.2, 217.3, 247.1
2012.0,   3.0, 236.2, 220.8, 251.8
2012.0,   4.0, 253.3, 236.1, 269.9
2012.0,   5.0, 257.4, 239.7, 275.5
2012.0,   6.0, 251.2, 234.0, 268.6
2012.0,   7.0, 252.4, 235.3, 270.2
2012.0,   8.0, 218.6, 201.9, 236.4
2012.0,   9.0, 224.3, 206.8, 242.0
2012.0,  10.0, 168.4, 150.9, 186.2
2012.0,  11.0, 156.4, 138.8, 174.3
2012.0,  12.0, 182.2, 166.7, 198.6
2013.0,   1.0, 193.9, 178.3, 209.6
2013.0,   2.0, 179.7, 164.8, 194.3
2013.0,   3.0, 204.0, 188.3, 219.5
2013.0,   4.0, 225.7, 209.0, 242.8
2013.0,   5.0, 237.1, 220.2, 254.6
2013.0,   6.0, 206.5, 188.9, 223.6
2013.0,   7.0, 176.2, 159.0, 193.4
2013.0,   8.0, 145.8, 129.2, 163.2
2013.0,   9.0, 112.3,  95.3, 130.1
2013.0,  10.0, 218.0, 199.9, 235.4
2013.0,  11.0, 213.0, 196.6, 230.1
2013.0,  12.0, 160.9, 144.3, 177.4
2014.0,   1.0, 183.2, 167.5, 198.4
2014.0,   2.0, 191.4, 176.6, 206.4
2014.0,   3.0, 226.5, 211.5, 242.8
2014.0,   4.0, 239.8, 221.8, 256.8
2014.0,   5.0, 147.1, 128.5, 164.7
2014.0,   6.0, 159.4, 140.8, 176.4
2014.0,   7.0, 249.1, 231.3, 267.1
2014.0,   8.0, 247.8, 230.8, 264.5
2014.0,   9.0, 266.8, 249.4, 284.9
2014.0,  10.0, 257.6, 239.9, 275.4
2014.0,  11.0, 230.0, 213.2, 247.0
2014.0,  12.0, 253.6, 236.8, 270.4
2015.0,   1.0, 190.0, 174.8, 206.2
2015.0,   2.0, 190.6, 175.1, 205.4
2015.0,   3.0, 236.0, 219.8, 252.2
2015.0,   4.0, 248.2, 230.7, 266.1
2015.0,   5.0, 256.6, 238.7, 274.5
2015.0,   6.0, 238.3, 221.1, 255.9
2015.0,   7.0, 239.4, 222.2, 257.2
2015.0,   8.0, 238.4, 221.3, 255.0
2015.0,   9.0, 266.3, 248.9, 283.7
2015.0,  10.0, 258.1, 240.4, 275.3
2015.0,  11.0, 229.5, 212.1, 246.6
2015.0,  12.0, 247.8, 230.6, 263.8
2016.0,   1.0, 200.2, 184.5, 215.4
2016.0,   2.0, 190.4, 175.1, 205.7
2016.0,   3.0, 218.7, 203.2, 234.2
2016.0,   4.0, 247.9, 230.7, 266.1
2016.0,   5.0, 258.3, 241.2, 275.0
2016.0,   6.0, 230.4, 213.6, 247.9
2016.0,   7.0, 258.1, 240.5, 275.1
2016.0,   8.0, 239.3, 222.8, 256.9
2016.0,   9.0, 239.3, 221.0, 257.0
2016.0,  10.0, 257.7, 240.1, 275.3
2016.0,  11.0, 156.2, 138.9, 173.1
2016.0,  12.0, 173.2, 157.1, 189.5
2017.0,   1.0, 142.9, 128.1, 157.9
2017.0,   2.0, 152.9, 137.7, 168.4
2017.0,   3.0, 146.6, 131.0, 162.8
2017.0,   4.0, 165.4, 148.2, 182.3
2017.0,   5.0, 128.7, 111.3, 147.0
2017.0,   6.0, 176.7, 158.8, 194.4
2017.0,   7.0, 157.1, 139.7, 174.0
2017.0,   8.0, 175.8, 158.9, 193.3
2017.0,   9.0, 148.5, 131.0, 165.6
2017.0,  10.0, 174.4, 157.2, 191.2
2017.0,  11.0, 156.2, 138.7, 172.7
2017.0,  12.0, 173.8, 156.8, 190.3
2018.0,   1.0, 162.7, 146.2, 178.7
2018.0,   2.0, 152.1, 137.1, 166.9
2018.0,   3.0, 174.1, 158.5, 190.0
2018.0,   4.0, 175.1, 158.0, 192.2
2018.0,   5.0, 184.3, 166.3, 201.1
2018.0,   6.0, 185.1, 167.4, 203.4
2018.0,   7.0, 157.3, 139.8, 175.0
2018.0,   8.0, 186.1, 169.4, 202.7
2018.0,   9.0, 193.5, 175.9, 211.5
2018.0,  10.0, 164.9, 147.8, 182.8
2018.0,  11.0, 146.8, 130.5, 164.4
2018.0,  12.0, 165.7, 149.5, 181.4
2019.0,   1.0, 152.3, 136.1, 168.0
2019.0,   2.0, 153.3, 137.4, 168.2
2019.0,   3.0, 164.8, 149.1, 181.2
2019.0,   4.0, 165.2, 147.3, 181.9
2019.0,   5.0, 175.8, 157.0, 192.8
2019.0,   6.0, 167.0, 150.1, 184.8
2019.0,   7.0, 184.9, 167.6, 202.9
2019.0,   8.0, 195.3, 178.0, 212.6
2019.0,   9.0, 248.7, 231.8, 265.5
2019.0,  10.0, 231.0, 212.6, 248.7
2019.0,  11.0, 257.4, 240.9, 274.1
2019.0,  12.0, 157.0, 140.7, 173.2
2020.0,   1.0, 209.6, 193.8, 224.3
2020.0,   2.0, 209.6, 194.6, 224.3
2020.0,   3.0, 219.1, 203.5, 234.9
2020.0,   4.0, 267.2, 250.9, 284.0
2020.0,   5.0, 267.2, 249.6, 285.1
2020.0,   6.0, 240.0, 223.6, 257.8
2020.0,   7.0, 267.5, 250.5, 285.7
2020.0,   8.0, 248.5, 231.2, 266.1
2020.0,   9.0, 258.5, 241.1, 276.3
2020.0,  10.0, 267.5, 249.3, 284.2
2020.0,  11.0, 257.3, 240.5, 274.8
2020.0,  12.0, 265.1, 248.6, 282.1
2021.0,   1.0, 198.6, 183.1, 214.4
2021.0,   2.0, 200.4, 185.5, 216.1
2021.0,   3.0, 246.4, 231.3, 262.1
2021.0,   4.0, 201.2, 183.9, 217.4
2021.0,   5.0, 201.0, 184.0, 219.8
