Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.00000,   6.00000,  28.30744,  12.86066,  43.95122
2011.00000,   7.00000,  57.64906,  41.72263,  74.98553
2011.00000,   8.00000, 150.67608, 133.62478, 167.20527
2011.00000,   9.00000, 151.69034, 133.74943, 168.92829
2011.00000,  10.00000, 195.92162, 177.38121, 213.56091
2011.00000,  11.00000, 132.51512, 114.92691, 149.81346
2011.00000,  12.00000,  91.14777,  74.10001, 107.34482
2012.00000,   1.00000,  39.74569,  24.42586,  54.85749
2012.00000,   2.00000,  23.37225,   9.28487,  37.54779
2012.00000,   3.00000,  17.49942,   5.30130,  29.35641
2012.00000,   4.00000,  28.16635,  16.10979,  39.73692
2012.00000,   5.00000,  23.84951,   9.69425,  39.00695
2012.00000,   6.00000,  57.51911,  43.09731,  73.11382
2012.00000,   7.00000,  93.15199,  77.54329, 110.20737
2012.00000,   8.00000, 125.35477, 108.78749, 141.59013
2012.00000,   9.00000, 168.28568, 150.57929, 185.50260
2012.00000,  10.00000, 165.17127, 147.90197, 182.97246
2012.00000,  11.00000, 109.49578,  92.70623, 127.55813
2012.00000,  12.00000,  77.51634,  61.37201,  93.42517
2013.00000,   1.00000,  49.52616,  34.83180,  64.89509
2013.00000,   2.00000,  19.89035,   4.42035,  34.66241
2013.00000,   3.00000,  24.23033,  12.43084,  36.74159
2013.00000,   4.00000,   6.59627,  -5.19108,  18.41776
2013.00000,   5.00000,  28.68056,  14.23545,  43.92894
2013.00000,   6.00000,  22.18351,   6.40215,  36.19653
2013.00000,   7.00000,  79.88895,  62.77919,  96.82633
2013.00000,   8.00000, 100.05631,  83.30846, 116.85827
2013.00000,   9.00000, 155.84945, 138.89542, 174.43916
2013.00000,  10.00000, 145.07697, 126.88796, 163.22971
2013.00000,  11.00000, 150.14102, 131.94136, 167.55093
2013.00000,  12.00000,  90.66185,  74.66616, 106.57265
2014.00000,   1.00000,  45.77630,  30.78452,  61.62237
2014.00000,   2.00000,  22.14890,   7.86161,  36.83332
2014.00000,   3.00000,  12.72443,   0.02170,  24.49633
2014.00000,   4.00000,  -6.21514, -17.52727,   5.59394
2014.00000,   5.00000,   2.21484, -12.30273,  16.56135
2014.00000,   6.00000,  34.81036,  20.06084,  49.92446
2014.00000,   7.00000,  93.89418,  76.37689, 109.87050
2014.00000,   8.00000, 102.21164,  84.50695, 118.15065
2014.00000,   9.00000, 133.47681, 115.66470, 150.72202
2014.00000,  10.00000, 148.42088, 129.31670, 166.82547
2014.00000,  11.00000, 152.35423, 135.03421, 170.13742
2014.00000,  12.00000,  73.37559,  57.27471,  89.79647
2015.00000,   1.00000,  50.12754,  33.93230,  65.72408
2015.00000,   2.00000,  37.77223,  23.88106,  52.07584
2015.00000,   3.00000,  16.73480,   4.54302,  29.23469
2015.00000,   4.00000,  -0.31671, -11.84219,  11.80955
2015.00000,   5.00000,   9.48553,  -6.43861,  24.43680
2015.00000,   6.00000,  20.59584,   3.65653,  36.12706
2015.00000,   7.00000,  72.93914,  54.57104,  89.41418
2015.00000,   8.00000, 118.72973, 102.28467, 134.42369
2015.00000,   9.00000, 173.81496, 154.49034, 191.55489
2015.00000,  10.00000, 195.76621, 178.73570, 213.85622
2015.00000,  11.00000, 137.87918, 119.12300, 154.43469
2015.00000,  12.00000,  95.39844,  77.65829, 111.64092
2016.00000,   1.00000,  34.99997,  20.16567,  51.36135
2016.00000,   2.00000,  17.15333,   2.62326,  31.60944
2016.00000,   3.00000,   7.82913,  -4.11161,  19.74987
2016.00000,   4.00000,  13.07608,   1.45954,  24.43011
2016.00000,   5.00000,  20.11990,   5.80306,  35.15076
2016.00000,   6.00000,  56.84557,  44.02917,  69.73327
2016.00000,   7.00000,  75.29227,  61.48249,  89.73752
2016.00000,   8.00000, 112.45256,  98.76851, 126.17062
2016.00000,   9.00000, 156.84833, 141.39956, 172.19496
2016.00000,  10.00000, 171.21553, 155.77383, 186.95748
2016.00000,  11.00000, 137.90590, 122.52452, 153.04451
2016.00000,  12.00000, 116.66016, 101.70116, 130.11494
2017.00000,   1.00000,  36.70211,  22.12739,  50.66554
2017.00000,   2.00000,  26.49831,  14.72843,  40.31835
2017.00000,   3.00000,  25.66999,  14.45901,  36.02573
2017.00000,   4.00000,  -1.20190, -11.84330,   9.04333
2017.00000,   5.00000,  19.66656,   7.26863,  32.82450
2017.00000,   6.00000,  45.28901,  32.88406,  58.10102
2017.00000,   7.00000,  74.99739,  60.92183,  88.85198
2017.00000,   8.00000, 119.21062, 104.32128, 132.94018
2017.00000,   9.00000, 119.47769, 104.76029, 134.77132
2017.00000,  10.00000, 163.29503, 148.02315, 178.94193
2017.00000,  11.00000, 131.52883, 115.36916, 146.88459
2017.00000,  12.00000, 116.61736, 102.02055, 132.14302
2018.00000,   1.00000,  35.31601,  25.66241,  44.89108
2018.00000,   2.00000,  10.79299,   1.88920,  19.47765
2018.00000,   3.00000,  34.47290,  24.98525,  41.47684
2018.00000,   4.00000,  16.43391,   8.98901,  23.20696
2018.00000,   5.00000,  -0.61810,  -9.66529,   9.16308
2018.00000,   6.00000,  34.37101,  24.98743,  44.32453
2018.00000,   7.00000,  93.70963,  83.47551, 104.12744
2018.00000,   8.00000, 107.44910,  96.96659, 117.54200
2018.00000,   9.00000, 134.68174, 123.16555, 145.82171
2018.00000,  10.00000, 186.30457, 174.34155, 198.16417
2018.00000,  11.00000, 128.01248, 116.52265, 139.85988
2018.00000,  12.00000,  53.27321,  42.90589,  63.45761
2019.00000,   1.00000,  64.13464,  54.40879,  73.45854
2019.00000,   2.00000,  13.51648,   5.07049,  23.64785
2019.00000,   3.00000,  15.31155,   8.00673,  22.75319
2019.00000,   4.00000,   0.66420,  -6.13635,   7.83933
2019.00000,   5.00000,   9.94554,   0.69355,  19.13117
2019.00000,   6.00000,  35.93213,  25.54177,  45.66007
2019.00000,   7.00000,  79.85683,  69.41960,  90.37823
2019.00000,   8.00000, 138.87951, 128.20751, 148.93596
2019.00000,   9.00000, 125.90663, 114.52586, 137.31614
2019.00000,  10.00000, 168.37932, 155.91709, 181.16667
2019.00000,  11.00000, 142.86078, 131.35838, 154.89087
2019.00000,  12.00000,  68.82533,  58.13422,  79.86313
2020.00000,   1.00000,  33.83719,  24.49061,  43.52660
2020.00000,   2.00000,  34.94039,  26.29603,  43.47735
2020.00000,   3.00000,   9.38314,   1.93057,  16.48595
2020.00000,   4.00000,  24.75996,  17.53031,  32.12051
2020.00000,   5.00000,  30.79242,  21.07757,  40.11880
2020.00000,   6.00000,  40.74934,  31.51809,  50.89166
2020.00000,   7.00000,  78.90851,  68.92988,  89.33236
2020.00000,   8.00000, 125.68689, 114.94686, 136.04679
2020.00000,   9.00000, 167.88284, 155.97735, 179.10101
2020.00000,  10.00000, 167.92254, 155.59673, 179.70981
2020.00000,  11.00000, 125.52233, 113.72743, 137.07181
2020.00000,  12.00000,  98.64166,  87.90315, 108.93928
2021.00000,   1.00000,  43.68568,  34.28667,  53.53895
2021.00000,   2.00000,  33.59509,  25.11162,  42.23309
2021.00000,   3.00000,  15.47849,   8.20054,  23.09801
2021.00000,   4.00000,  11.61572,   4.58093,  19.30825
2021.00000,   5.00000,  33.97973,  21.02659,  46.34584
