Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.000,   6.000,  85.557,  61.338, 109.931
2011.000,   7.000,  23.828,  -1.089,  49.190
2011.000,   8.000, -37.339, -62.776, -12.044
2011.000,   9.000, -34.782, -62.474,  -8.746
2011.000,  10.000, -18.416, -45.536,   9.866
2011.000,  11.000, -44.775, -71.949, -18.097
2011.000,  12.000, -74.314,-101.538, -47.189
2012.000,   1.000, -50.431, -76.911, -22.415
2012.000,   2.000, -52.918, -78.782, -26.097
2012.000,   3.000,  56.984,  30.450,  82.693
2012.000,   4.000,  -6.667, -30.428,  17.961
2012.000,   5.000,  16.634,  -8.979,  40.484
2012.000,   6.000,  22.007,  -0.990,  45.096
2012.000,   7.000, -15.940, -39.570,   9.074
2012.000,   8.000, -67.074, -92.889, -43.230
2012.000,   9.000,-103.051,-128.471, -78.354
2012.000,  10.000, -51.377, -76.933, -25.255
2012.000,  11.000, -95.513,-122.386, -69.450
2012.000,  12.000, -62.585, -87.999, -36.659
2013.000,   1.000, -27.107, -52.972,  -0.333
2013.000,   2.000,  14.551, -10.411,  41.477
2013.000,   3.000,   3.879, -22.190,  27.604
2013.000,   4.000, 216.943, 192.511, 241.292
2013.000,   5.000, 129.598, 104.666, 152.644
2013.000,   6.000,  77.017,  53.915, 100.644
2013.000,   7.000,  42.072,  18.423,  66.577
2013.000,   8.000,  16.923,  -7.637,  41.718
2013.000,   9.000, -24.764, -50.514,   0.373
2013.000,  10.000,  -4.576, -31.196,  22.427
2013.000,  11.000,  -2.751, -28.441,  23.622
2013.000,  12.000, -80.811,-105.505, -54.934
2014.000,   1.000, -18.408, -44.288,   6.974
2014.000,   2.000, -23.555, -48.188,   2.056
2014.000,   3.000,   1.133, -23.221,  25.116
2014.000,   4.000, 185.185, 160.988, 209.757
2014.000,   5.000, 150.184, 125.392, 174.037
2014.000,   6.000, 114.770,  90.378, 137.283
2014.000,   7.000,  59.783,  35.488,  84.297
2014.000,   8.000,  64.057,  39.837,  88.996
2014.000,   9.000,  48.480,  23.076,  74.132
2014.000,  10.000,  51.935,  25.988,  78.694
2014.000,  11.000, -10.207, -36.646,  14.589
2014.000,  12.000, -45.504, -71.451, -20.732
2015.000,   1.000, -46.120, -70.634, -20.241
2015.000,   2.000, -37.030, -61.245, -11.453
2015.000,   3.000, -29.322, -53.695,  -4.667
2015.000,   4.000,  66.635,  42.211,  90.112
2015.000,   5.000,  81.300,  56.751, 104.884
2015.000,   6.000,  77.827,  54.826, 100.636
