Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0,   6.0, 110.5, 102.8, 118.0
2011.0,   7.0, 104.3,  96.3, 112.8
2011.0,   8.0, 102.5,  94.0, 111.2
2011.0,   9.0,  79.8,  71.8,  87.8
2011.0,  10.0,  64.5,  58.4,  70.7
2011.0,  11.0,  64.4,  58.4,  70.3
2011.0,  12.0,  63.4,  57.2,  69.4
2012.0,   1.0,  59.2,  53.3,  65.2
2012.0,   2.0,  54.5,  48.2,  60.5
2012.0,   3.0,  61.4,  55.2,  67.9
2012.0,   4.0,  52.6,  45.4,  60.0
2012.0,   5.0,  70.1,  62.9,  77.0
2012.0,   6.0,  68.6,  60.5,  76.6
2012.0,   7.0,  80.8,  72.6,  89.2
2012.0,   8.0,  78.4,  70.0,  86.9
2012.0,   9.0,  68.5,  60.2,  76.7
2012.0,  10.0,  53.8,  48.1,  60.1
2012.0,  11.0,  42.9,  37.1,  48.5
2012.0,  12.0,  48.7,  42.3,  55.0
2013.0,   1.0,  54.3,  48.4,  60.3
2013.0,   2.0,  59.2,  53.2,  65.7
2013.0,   3.0,  74.0,  67.6,  80.7
2013.0,   4.0, 116.2, 108.9, 123.1
2013.0,   5.0,  81.6,  74.5,  88.9
2013.0,   6.0,  95.4,  87.7, 103.3
2013.0,   7.0,  72.6,  64.3,  80.7
2013.0,   8.0,  70.1,  61.0,  78.7
2013.0,   9.0,  68.1,  59.9,  76.0
2013.0,  10.0,  60.6,  54.3,  67.3
2013.0,  11.0,  59.5,  53.6,  65.3
2013.0,  12.0,  48.8,  42.4,  55.0
2014.0,   1.0,  62.1,  56.0,  68.1
2014.0,   2.0,  64.1,  58.0,  70.4
2014.0,   3.0,  89.8,  83.5,  96.5
2014.0,   4.0,  74.5,  67.4,  82.0
2014.0,   5.0,  97.7,  90.5, 105.1
2014.0,   6.0,  98.3,  90.4, 106.1
2014.0,   7.0, 116.5, 108.4, 125.0
2014.0,   8.0,  98.6,  90.0, 107.1
2014.0,   9.0,  79.7,  71.9,  87.5
2014.0,  10.0,  67.5,  61.1,  73.5
2014.0,  11.0,  47.7,  42.0,  53.3
2014.0,  12.0,  44.7,  38.1,  51.2
2015.0,   1.0,  50.3,  44.1,  56.5
2015.0,   2.0,  42.5,  36.5,  48.6
2015.0,   3.0,  64.4,  57.8,  70.9
2015.0,   4.0,  65.9,  58.7,  73.0
2015.0,   5.0,  76.7,  69.5,  84.1
2015.0,   6.0, 111.4, 103.8, 118.9
2015.0,   7.0,  77.9,  69.5,  86.3
2015.0,   8.0,  79.6,  70.8,  88.1
2015.0,   9.0,  93.3,  85.3, 101.4
2015.0,  10.0,  90.9,  84.4,  97.2
2015.0,  11.0,  90.5,  84.8,  96.6
2015.0,  12.0,  90.8,  84.4,  97.0
2016.0,   1.0,  90.8,  84.5,  96.7
2016.0,   2.0,  90.8,  84.8,  96.8
