Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.000000,   6.000000,  -1.144135, -10.044362,   7.694615
2011.000000,   7.000000,   3.910600,  -9.721717,  17.405441
2011.000000,   8.000000,  53.173515,  36.064376,  70.016703
2011.000000,   9.000000,  79.666510,  62.875075,  97.143843
2011.000000,  10.000000,  74.208105,  56.086551,  92.225982
2011.000000,  11.000000, 103.607328,  85.451719, 121.814466
2011.000000,  12.000000, 111.143646,  93.348730, 128.502483
2012.000000,   1.000000,  88.314844,  70.345613, 105.032934
2012.000000,   2.000000,  54.500399,  38.842632,  69.903871
2012.000000,   3.000000,  36.139064,  20.704792,  51.488890
2012.000000,   4.000000,  29.926647,  19.262996,  40.179845
2012.000000,   5.000000,   6.233702,  -0.969417,  14.070325
2012.000000,   6.000000,   4.412201,  -3.572829,  13.120848
2012.000000,   7.000000,  33.528918,  21.080344,  46.010259
2012.000000,   8.000000,  87.048025,  71.936581, 102.335619
2012.000000,   9.000000, 117.250528, 101.314337, 133.933387
2012.000000,  10.000000, 124.679718, 107.677554, 141.094574
2012.000000,  11.000000,  96.928727,  80.242046, 113.144494
2012.000000,  12.000000,  97.492270,  79.994125, 115.210814
2013.000000,   1.000000,  95.625037,  79.017663, 112.684104
2013.000000,   2.000000,  49.412419,  34.725255,  63.790814
2013.000000,   3.000000,  40.101573,  25.772419,  54.960029
2013.000000,   4.000000,   0.616435,  -9.620048,  10.901635
2013.000000,   5.000000,   0.246861,  -7.108490,   7.955435
2013.000000,   6.000000,   1.083130,  -7.286757,   9.472787
2013.000000,   7.000000,  19.828115,   6.768105,  32.555644
2013.000000,   8.000000,  33.706482,  18.276119,  49.944511
2013.000000,   9.000000,  78.904875,  61.823823,  95.186224
2013.000000,  10.000000,  94.011344,  77.009044, 110.149553
2013.000000,  11.000000, 124.425755, 107.464434, 141.085638
2013.000000,  12.000000, 131.853036, 114.817009, 148.595273
2014.000000,   1.000000,  89.247700,  72.778248, 105.582295
2014.000000,   2.000000,  40.177932,  25.626094,  54.576850
2014.000000,   3.000000,  21.027926,   7.121070,  35.539454
2014.000000,   4.000000,   1.355058,  -8.384798,  11.394201
2014.000000,   5.000000,  -7.632519, -15.046819,  -0.059813
2014.000000,   6.000000,  -5.117824, -13.497109,   3.089133
2014.000000,   7.000000,  18.922178,   6.111424,  31.415582
2014.000000,   8.000000,  14.920754,  -0.664598,  30.877666
2014.000000,   9.000000,  55.214918,  37.375493,  71.233760
2014.000000,  10.000000,  74.023262,  57.390415,  91.264960
2014.000000,  11.000000, 120.889443, 102.779670, 138.102156
2014.000000,  12.000000,  89.063754,  71.893458, 106.745750
2015.000000,   1.000000,  84.596205,  68.098506, 100.901690
2015.000000,   2.000000,  53.362136,  38.450551,  68.916776
2015.000000,   3.000000,  34.051138,  19.462280,  48.038792
2015.000000,   4.000000,  10.531154,   0.582504,  20.392947
2015.000000,   5.000000,   0.460604,  -6.919033,   7.831372
2015.000000,   6.000000,  -5.128040, -14.167244,   3.533524
2015.000000,   7.000000,  -1.709358, -14.368613,  11.030077
2015.000000,   8.000000,  34.266082,  18.112247,  49.171707
2015.000000,   9.000000,  58.926086,  43.775836,  74.469287
2015.000000,  10.000000,  89.579126,  73.751830, 106.921443
2015.000000,  11.000000,  98.688898,  82.112949, 115.217992
2015.000000,  12.000000,  90.303057,  72.161794, 107.682964
2016.000000,   1.000000,  88.530971,  71.582096, 106.039651
2016.000000,   2.000000,  41.944590,  26.421856,  57.092381
2016.000000,   3.000000,  17.417129,   2.578555,  31.983834
2016.000000,   4.000000,  18.352447,   7.966754,  28.752962
2016.000000,   5.000000,   6.305855,  -1.306994,  13.797227
2016.000000,   6.000000,   7.674628,  -0.483776,  15.329549
2016.000000,   7.000000,  18.090729,   7.063905,  29.659709
2016.000000,   8.000000,  52.410211,  38.814163,  66.927824
2016.000000,   9.000000,  89.521730,  75.546581, 103.903012
2016.000000,  10.000000,  95.853379,  81.335336, 110.151547
2016.000000,  11.000000,  95.463659,  80.696862, 111.336597
2016.000000,  12.000000, 155.202058, 140.705895, 169.938574
2017.000000,   1.000000,  79.387559,  65.051510,  93.848628
2017.000000,   2.000000,  37.089112,  24.470196,  50.570538
2017.000000,   3.000000,  41.669113,  28.974032,  54.481277
2017.000000,   4.000000,  -1.751648, -11.011986,   7.718435
2017.000000,   5.000000,  -0.098487,  -7.354256,   6.987556
2017.000000,   6.000000,  -1.354533,  -9.431005,   6.681667
2017.000000,   7.000000,  11.403967,   0.035863,  23.071582
2017.000000,   8.000000,  50.536127,  37.030505,  63.938324
2017.000000,   9.000000,  54.589438,  41.221158,  67.817024
2017.000000,  10.000000,  91.293809,  76.781429, 105.530884
2017.000000,  11.000000, 122.935949, 108.266310, 137.602478
2017.000000,  12.000000, 140.111485, 125.357700, 154.337404
2018.000000,   1.000000,  73.012326,  60.923134,  84.591551
2018.000000,   2.000000,  32.656540,  22.307498,  43.816447
2018.000000,   3.000000,  41.986034,  31.097971,  52.778014
2018.000000,   4.000000,  21.123508,  13.594166,  29.083343
2018.000000,   5.000000,  -3.437705,  -9.894624,   3.263601
2018.000000,   6.000000,  -0.821466,  -7.996936,   6.789317
2018.000000,   7.000000,  17.279867,   7.346300,  27.228280
2018.000000,   8.000000,  42.884921,  31.672484,  54.773738
2018.000000,   9.000000,  74.764049,  62.317778,  87.463868
2018.000000,  10.000000,  96.672654,  84.183524, 108.583727
2018.000000,  11.000000, 106.222825,  94.108614, 118.775055
2018.000000,  12.000000,  75.591365,  63.317620,  87.791605
2019.000000,   1.000000,  94.287383,  82.756014, 106.532597
2019.000000,   2.000000,  38.617871,  27.820070,  49.802771
2019.000000,   3.000000,  21.625682,  10.914447,  32.325811
2019.000000,   4.000000,  -3.083027, -10.833513,   4.624892
2019.000000,   5.000000,  -6.575593, -12.955252,  -0.565195
2019.000000,   6.000000,  -4.143689, -11.813535,   3.110565
2019.000000,   7.000000,   9.147697,  -2.412999,  19.644040
2019.000000,   8.000000,  55.894355,  44.667581,  67.524281
2019.000000,   9.000000,  42.528642,  28.813801,  55.534335
2019.000000,  10.000000,  92.159158,  79.604137, 104.204199
2019.000000,  11.000000, 106.339167,  93.061161, 118.548729
2019.000000,  12.000000,  80.805703,  68.769961,  92.736847
2020.000000,   1.000000,  56.345532,  44.088183,  68.069751
2020.000000,   2.000000,  54.733496,  42.913042,  65.401852
2020.000000,   3.000000,  20.966609,   9.539382,  31.405961
2020.000000,   4.000000,  16.876804,   8.752017,  24.447152
2020.000000,   5.000000,   4.432465,  -2.680852,  11.121103
2020.000000,   6.000000,   1.016520,  -5.785770,   8.257579
2020.000000,   7.000000,  16.622632,   6.406177,  26.653567
2020.000000,   8.000000,  48.354665,  35.570852,  60.243451
2020.000000,   9.000000,  82.083518,  69.920123,  94.526355
2020.000000,  10.000000, 106.574478,  93.315758, 118.494065
2020.000000,  11.000000,  84.362174,  72.029093,  97.107810
2020.000000,  12.000000, 101.841743,  89.111112, 114.491028
2021.000000,   1.000000,  72.769172,  60.642675,  85.100480
2021.000000,   2.000000,  59.421388,  47.985083,  70.025993
2021.000000,   3.000000,  34.112147,  23.277482,  45.029777
2021.000000,   4.000000,  11.902571,   4.053070,  20.093270
2021.000000,   5.000000,   4.066134,  -3.291731,  11.402310
