Year,Month,Median,2.5 Percentile,97.5 Percentile
2011,   6,4936,4773,5098
2011,   7,5050,4866,5212
2011,   8,5215,5058,5352
2011,   9,5192,5027,5356
2011,  10,5113,4863,5278
2011,  11,5021,4891,5223
2011,  12,4838,4672,5009
2012,   1,4709,4578,4828
2012,   2,4678,4528,4819
2012,   3,4743,4612,4936
2012,   4,4979,4817,5088
2012,   5,5003,4885,5112
2012,   6,4839,4694,5022
2012,   7,4891,4769,5064
2012,   8,5001,4884,5110
2012,   9,4928,4767,5104
2012,  10,4906,4780,5066
2012,  11,4634,4425,4898
2012,  12,4641,4507,4778
2013,   1,4279,4172,4497
2013,   2,4209,3996,4374
2013,   3,4447,4271,4585
2013,   4,4603,4466,4763
2013,   5,4908,4805,5061
2013,   6,5077,4953,5202
2013,   7,4934,4775,5090
2013,   8,5046,4920,5138
2013,   9,4971,4819,5141
2013,  10,4985,4807,5137
2013,  11,5091,4912,5273
2013,  12,5004,4788,5161
2014,   1,3872,3738,4005
2014,   2,4233,4149,4345
2014,   3,4703,4571,4844
2014,   4,5001,4842,5140
2014,   5,5297,5174,5440
2014,   6,5323,5135,5496
2014,   7,5513,5314,5637
2014,   8,5561,5424,5717
2014,   9,5575,5457,5747
2014,  10,5828,5654,5943
2014,  11,5703,5524,5868
2014,  12,5707,5569,5927
2015,   1,4462,4337,4621
2015,   2,4149,4012,4301
2015,   3,5260,5093,5443
2015,   4,5750,5602,5877
2015,   5,5742,5583,5896
2015,   6,5879,5718,6022
2015,   7,5697,5549,5832
2015,   8,5784,5660,5919
2015,   9,5850,5667,6024
2015,  10,5663,5545,5782
2015,  11,5660,5470,5829
2015,  12,5628,5469,5831
2016,   1,5753,5620,5870
2016,   2,5532,5390,5691
2016,   3,5766,5638,5904
2016,   4,5936,5835,6048
2016,   5,5869,5760,6027
2016,   6,5880,5738,5996
2016,   7,5942,5835,6088
2016,   8,5910,5779,6028
2016,   9,5951,5744,6072
2016,  10,5820,5678,6022
2016,  11,5735,5600,5968
2016,  12,5633,5423,5821
2017,   1,5591,5428,5725
2017,   2,5529,5369,5702
2017,   3,5823,5694,5945
2017,   4,5756,5636,5923
2017,   5,5875,5690,6083
2017,   6,5690,5508,5955
2017,   7,6057,5832,6206
2017,   8,6247,6099,6374
2017,   9,6084,5946,6274
2017,  10,6015,5887,6148
2017,  11,6199,6030,6433
2017,  12,5932,5809,6064
2018,   1,4939,4782,5152
2018,   2,5572,5404,5705
2018,   3,6280,6146,6404
2018,   4,6161,6063,6285
2018,   5,6149,5979,6279
2018,   6,6249,6011,6432
2018,   7,6110,5901,6193
2018,   8,6149,6038,6290
2018,   9,6365,6232,6537
2018,  10,6401,6246,6545
2018,  11,6383,6235,6613
2018,  12,6186,6063,6322
2019,   1,5339,5189,5532
2019,   2,5377,5286,5530
2019,   3,6098,6022,6219
2019,   4,6508,6346,6688
2019,   5,6731,6567,6889
2019,   6,6844,6726,6977
2019,   7,6870,6703,6973
2019,   8,6936,6782,7045
2019,   9,6739,6608,6928
2019,  10,6933,6775,7084
2019,  11,6998,6865,7187
2019,  12,6891,6764,7011
2020,   1,7036,6858,7197
2020,   2,7073,6921,7294
2020,   3,6974,6799,7115
2020,   4,7004,6838,7133
2020,   5,7164,7004,7346
2020,   6,7042,6887,7227
2020,   7,7119,6981,7320
2020,   8,7072,6949,7254
2020,   9,7135,6936,7301
2020,  10,6927,6805,7070
2020,  11,6799,6656,6953
2020,  12,6721,6585,6826
2021,   1,6584,6358,6702
2021,   2,5520,5362,5707
2021,   3,6538,6368,6722
2021,   4,6343,6169,6503
2021,   5,6386,6250,6579
