Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.000,   6.000,-115.144,-152.807, -76.197
2011.000,   7.000,-197.153,-235.502,-159.419
2011.000,   8.000,-123.268,-162.535, -86.445
2011.000,   9.000, -99.940,-136.851, -62.908
2011.000,  10.000, -23.673, -62.614,  15.846
2011.000,  11.000, -54.992, -91.259, -17.713
2011.000,  12.000,  80.276,  41.237, 118.300
2012.000,   1.000, 217.365, 179.251, 257.282
2012.000,   2.000, -18.129, -54.621,  20.857
2012.000,   3.000, -27.973, -65.311,   9.685
2012.000,   4.000,-114.500,-153.005, -76.294
2012.000,   5.000,  -1.913, -39.817,  37.661
2012.000,   6.000, -36.694, -71.658,  -0.389
2012.000,   7.000,-106.918,-142.884, -73.136
2012.000,   8.000,-132.774,-171.011, -99.572
2012.000,   9.000, -81.068,-115.818, -45.761
2012.000,  10.000, -51.227, -87.123, -14.447
2012.000,  11.000, -67.421,-101.352, -32.157
2012.000,  12.000,  54.289,  16.839,  88.554
2013.000,   1.000,  81.288,  46.189, 120.213
2013.000,   2.000,  67.232,  32.922, 103.577
2013.000,   3.000,  24.682, -11.538,  60.173
2013.000,   4.000, 195.516, 159.984, 230.910
2013.000,   5.000,  97.199,  61.627, 134.143
2013.000,   6.000, 218.835, 185.186, 253.168
2013.000,   7.000, -48.692, -84.332, -13.393
2013.000,   8.000,-132.335,-168.135, -99.292
2013.000,   9.000,-162.241,-195.919,-127.086
2013.000,  10.000, -16.371, -51.793,  20.652
2013.000,  11.000, -61.842, -94.992, -28.465
2013.000,  12.000,   8.927, -27.387,  41.999
2014.000,   1.000, -18.334, -54.355,  19.564
2014.000,   2.000, -81.188,-114.974, -46.548
2014.000,   3.000, -36.367, -69.734,  -0.955
2014.000,   4.000, 437.208, 403.173, 471.916
2014.000,   5.000, 129.902,  95.806, 165.767
2014.000,   6.000, -18.763, -52.188,  14.774
2014.000,   7.000,-101.363,-134.918, -67.224
2014.000,   8.000,-101.988,-137.783, -68.865
2014.000,   9.000,-163.519,-196.139,-129.969
2014.000,  10.000, -90.540,-124.385, -54.802
2014.000,  11.000, -83.807,-117.854, -51.439
2014.000,  12.000,  27.713,  -7.747,  59.769
2015.000,   1.000, -11.439, -44.737,  26.100
2015.000,   2.000,-145.849,-179.345,-113.148
2015.000,   3.000,  -1.636, -36.537,  32.152
2015.000,   4.000, 271.288, 237.869, 306.438
2015.000,   5.000, 111.347,  77.467, 147.174
2015.000,   6.000, 329.758, 296.322, 364.150
2015.000,   7.000,  -3.903, -37.624,  28.608
2015.000,   8.000,-118.678,-153.156, -85.415
2015.000,   9.000,-147.721,-179.626,-116.230
2015.000,  10.000,-139.501,-173.033,-102.986
2015.000,  11.000,-111.638,-144.194, -79.848
2015.000,  12.000,  -4.326, -38.830,  28.344
2016.000,   1.000, 134.002, 101.755, 169.424
2016.000,   2.000, 181.032, 148.270, 214.997
2016.000,   3.000,  89.373,  53.977, 123.411
2016.000,   4.000,  31.416,  -1.128,  66.054
2016.000,   5.000, -73.518,-107.685, -38.637
2016.000,   6.000, -45.936, -78.464, -12.871
2016.000,   7.000, -75.222,-108.288, -42.472
2016.000,   8.000, -40.204, -76.177,  -8.355
2016.000,   9.000,-145.496,-178.535,-113.787
2016.000,  10.000, -37.913, -71.356,  -1.455
2016.000,  11.000, -55.150, -86.776, -23.585
2016.000,  12.000,  -0.588, -35.307,  33.036
2017.000,   1.000, 201.155, 167.740, 236.543
2017.000,   2.000, 149.565, 115.703, 181.968
2017.000,   3.000, 129.552,  93.229, 163.353
2017.000,   4.000, 395.008, 361.928, 428.850
2017.000,   5.000, 351.908, 318.458, 387.314
2017.000,   6.000, -83.516,-116.183, -49.480
2017.000,   7.000,-175.209,-209.372,-141.841
2017.000,   8.000,-301.391,-337.784,-268.064
2017.000,   9.000,-230.375,-264.700,-197.598
2017.000,  10.000, -67.079,-100.645, -29.948
2017.000,  11.000,   7.866, -24.772,  40.622
2017.000,  12.000,-109.226,-142.391, -75.299
2018.000,   1.000, 104.161,  70.924, 140.162
2018.000,   2.000,  14.541, -18.254,  47.532
2018.000,   3.000,-101.386,-137.909, -66.106
2018.000,   4.000, 229.659, 196.747, 264.345
2018.000,   5.000,  99.310,  65.304, 135.455
2018.000,   6.000, -94.113,-126.683, -57.851
2018.000,   7.000,-153.284,-189.404,-119.843
2018.000,   8.000, -90.151,-126.644, -56.679
2018.000,   9.000,-119.052,-152.956, -85.398
2018.000,  10.000, -31.147, -65.311,   5.811
2018.000,  11.000,  81.241,  47.861, 114.199
2018.000,  12.000,  76.698,  42.490, 110.907
2019.000,   1.000,  56.933,  22.406,  92.786
2019.000,   2.000,  82.977,  49.627, 117.493
2019.000,   3.000, -13.575, -49.606,  22.498
2019.000,   4.000, 356.168, 321.774, 391.027
2019.000,   5.000, 476.249, 441.449, 513.601
2019.000,   6.000,  15.242, -20.664,  52.617
2019.000,   7.000,-174.218,-210.459,-138.805
2019.000,   8.000,-288.499,-324.918,-253.325
2019.000,   9.000,-177.018,-212.245,-142.360
2019.000,  10.000, -32.368, -68.932,   4.881
2019.000,  11.000, -50.612, -85.071, -17.353
2019.000,  12.000, -10.217, -47.402,  25.386
2020.000,   1.000,  70.258,  35.176, 107.036
2020.000,   2.000, -70.495,-105.629, -35.968
2020.000,   3.000,  98.474,  60.713, 136.534
2020.000,   4.000, 106.415,  71.016, 142.382
2020.000,   5.000, -38.864, -74.991,  -0.350
2020.000,   6.000,-112.777,-149.670, -75.495
2020.000,   7.000, -74.750,-113.231, -37.872
2020.000,   8.000, -90.357,-129.304, -52.988
2020.000,   9.000,-152.069,-189.812,-115.761
2020.000,  10.000, -76.926,-114.163, -35.814
2020.000,  11.000, -48.089, -83.502, -10.851
2020.000,  12.000,  27.361, -11.314,  65.626
2021.000,   1.000,-140.581,-178.040,-102.172
2021.000,   2.000, -99.899,-135.872, -61.879
2021.000,   3.000,  18.055, -21.410,  57.879
2021.000,   4.000, 100.363,  62.282, 137.630
2021.000,   5.000,   8.301, -32.315,  48.359
