Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.000,   6.000, 161.559, 126.573, 195.974
2011.000,   7.000,  85.714,  55.862, 117.564
2011.000,   8.000, 111.731,  82.163, 145.066
2011.000,   9.000, 110.674,  79.075, 143.381
2011.000,  10.000, 129.340,  92.480, 165.280
2011.000,  11.000, 140.638, 107.348, 175.917
2011.000,  12.000, 173.056, 138.156, 206.983
2012.000,   1.000, 197.945, 164.665, 232.639
2012.000,   2.000, 109.809,  76.681, 143.941
2012.000,   3.000, 198.699, 166.885, 231.465
2012.000,   4.000, 125.764,  97.002, 155.459
2012.000,   5.000, 166.913, 134.141, 200.333
2012.000,   6.000, 103.569,  77.044, 134.151
2012.000,   7.000,  42.660,  20.469,  70.369
2012.000,   8.000,  17.441,  -3.952,  43.622
2012.000,   9.000,  78.293,  50.261, 109.480
2012.000,  10.000,  91.179,  59.890, 123.610
2012.000,  11.000,  23.588,  -5.046,  54.401
2012.000,  12.000, 154.634, 120.911, 186.971
2013.000,   1.000, 139.830, 103.107, 173.392
2013.000,   2.000, 168.038, 136.227, 200.257
2013.000,   3.000, 163.949, 132.948, 196.326
2013.000,   4.000, 307.744, 275.059, 339.568
2013.000,   5.000, 181.517, 149.180, 214.101
2013.000,   6.000, 314.391, 279.310, 347.651
2013.000,   7.000, 143.314, 108.409, 177.920
2013.000,   8.000,  72.931,  44.077, 105.201
2013.000,   9.000,  33.169,   3.114,  64.775
2013.000,  10.000, 105.626,  72.665, 140.997
2013.000,  11.000, 114.687,  81.858, 148.150
2013.000,  12.000, 158.428, 126.023, 193.065
2014.000,   1.000,  84.416,  51.509, 119.219
2014.000,   2.000, 118.330,  86.163, 150.471
2014.000,   3.000, 168.702, 140.508, 200.132
2014.000,   4.000, 474.721, 439.759, 509.064
2014.000,   5.000, 315.042, 280.197, 350.055
2014.000,   6.000, 215.353, 183.066, 250.331
2014.000,   7.000, 143.550, 107.392, 178.695
2014.000,   8.000, 107.446,  74.381, 140.541
2014.000,   9.000,  33.021,   4.025,  65.539
2014.000,  10.000,  56.491,  25.022,  90.442
2014.000,  11.000,  35.621,   4.665,  68.545
2014.000,  12.000,  81.166,  49.307, 113.222
2015.000,   1.000,  32.860,   0.804,  65.719
2015.000,   2.000,  19.212,  -3.950,  43.317
2015.000,   3.000, 157.047, 124.870, 190.290
2015.000,   4.000, 301.058, 268.522, 333.197
2015.000,   5.000, 178.211, 146.965, 211.612
2015.000,   6.000, 340.612, 305.308, 377.462
2015.000,   7.000, 117.772,  83.744, 153.034
2015.000,   8.000,  74.687,  47.195, 104.113
2015.000,   9.000,  99.745,  67.007, 132.037
2015.000,  10.000,  84.332,  52.389, 116.313
2015.000,  11.000,  58.104,  24.910,  91.634
2015.000,  12.000,  72.362,  39.361, 104.460
2016.000,   1.000,  88.348,  56.360, 121.111
2016.000,   2.000, 241.831, 207.938, 275.790
2016.000,   3.000, 265.128, 234.151, 298.095
2016.000,   4.000, 249.994, 213.500, 286.820
2016.000,   5.000, 147.033, 112.857, 180.947
2016.000,   6.000,  96.168,  68.421, 126.626
2016.000,   7.000,  48.025,  22.655,  77.536
2016.000,   8.000,  89.138,  62.586, 119.238
2016.000,   9.000,  18.324,  -7.895,  46.561
2016.000,  10.000,  81.808,  47.326, 116.831
2016.000,  11.000,  49.246,  19.911,  80.412
2016.000,  12.000,  87.619,  54.919, 121.205
2017.000,   1.000, 195.535, 162.079, 231.538
2017.000,   2.000, 173.063, 136.888, 207.944
2017.000,   3.000, 214.526, 182.502, 249.253
2017.000,   4.000, 443.487, 407.450, 479.781
2017.000,   5.000, 476.167, 440.102, 514.034
2017.000,   6.000, 280.078, 245.937, 314.813
2017.000,   7.000, 217.646, 182.147, 255.345
2017.000,   8.000,  83.526,  49.609, 116.623
2017.000,   9.000,  44.651,  17.787,  74.519
2017.000,  10.000, 159.751, 124.560, 194.818
2017.000,  11.000, 180.790, 145.634, 214.942
2017.000,  12.000,  54.629,  20.918,  87.876
2018.000,   1.000, 174.812, 140.322, 210.881
2018.000,   2.000, 255.915, 221.363, 289.098
2018.000,   3.000, 157.684, 124.974, 190.338
2018.000,   4.000, 375.870, 340.282, 410.691
2018.000,   5.000, 233.822, 198.550, 270.585
2018.000,   6.000, 140.657, 109.729, 173.413
2018.000,   7.000,  86.979,  57.868, 119.253
2018.000,   8.000,  98.608,  69.894, 130.025
2018.000,   9.000,  47.791,  17.111,  82.637
2018.000,  10.000,  62.311,  29.120,  98.776
2018.000,  11.000, 190.413, 154.180, 224.202
2018.000,  12.000, 199.671, 166.533, 235.925
2019.000,   1.000,  96.732,  63.806, 131.015
2019.000,   2.000, 196.069, 162.533, 231.939
2019.000,   3.000, 212.067, 178.615, 245.750
2019.000,   4.000, 374.468, 340.473, 410.709
2019.000,   5.000, 385.259, 350.640, 420.592
2019.000,   6.000, 268.305, 231.980, 304.840
2019.000,   7.000, 139.698, 103.655, 174.036
2019.000,   8.000,  47.049,  19.021,  76.792
2019.000,   9.000,  79.228,  47.857, 113.078
2019.000,  10.000, 151.620, 117.485, 188.255
2019.000,  11.000, 120.344,  86.440, 156.672
2019.000,  12.000, 158.185, 123.088, 194.543
2020.000,   1.000, 236.198, 201.768, 271.211
2020.000,   2.000, 120.674,  84.560, 154.880
2020.000,   3.000, 291.213, 256.326, 325.491
2020.000,   4.000, 219.137, 186.381, 255.421
2020.000,   5.000, 197.770, 161.805, 233.091
2020.000,   6.000,  78.350,  50.988, 110.065
2020.000,   7.000,  80.447,  50.934, 112.088
2020.000,   8.000,  45.656,  19.499,  73.888
2020.000,   9.000,   4.599, -19.449,  31.683
2020.000,  10.000,  53.047,  21.500,  85.966
2020.000,  11.000,  59.972,  30.139,  91.630
2020.000,  12.000, 132.128,  97.056, 166.495
2021.000,   1.000,  50.713,  18.089,  84.697
2021.000,   2.000,  34.522,   5.174,  65.448
2021.000,   3.000, 151.090, 119.988, 184.978
2021.000,   4.000, 190.975, 158.431, 224.695
2021.000,   5.000, 123.475,  87.154, 160.370
