Year,Month,Median,2.5 Percentile,97.5 Percentile
 2011,    6, 8835, 8580, 9076
 2011,    7, 8481, 8260, 8723
 2011,    8, 8009, 7779, 8246
 2011,    9, 7557, 7333, 7800
 2011,   10, 7334, 7099, 7570
 2011,   11, 7617, 7382, 7852
 2011,   12, 7467, 7246, 7690
 2012,    1, 6633, 6421, 6837
 2012,    2, 7744, 7518, 7976
 2012,    3, 8102, 7863, 8335
 2012,    4, 8113, 7882, 8357
 2012,    5, 7332, 7106, 7572
 2012,    6, 7079, 6834, 7317
 2012,    7, 6839, 6622, 7058
 2012,    8, 6625, 6409, 6842
 2012,    9, 6580, 6356, 6806
 2012,   10, 6302, 6078, 6522
 2012,   11, 6043, 5823, 6265
 2012,   12, 6002, 5786, 6219
 2013,    1, 6096, 5883, 6300
 2013,    2, 6136, 5912, 6353
 2013,    3, 6563, 6328, 6787
 2013,    4, 6467, 6235, 6709
 2013,    5, 6581, 6350, 6807
 2013,    6, 6458, 6212, 6708
 2013,    7, 7428, 7184, 7659
 2013,    8, 7478, 7244, 7710
 2013,    9, 7274, 7042, 7490
 2013,   10, 6850, 6622, 7076
 2013,   11, 7271, 7049, 7493
 2013,   12, 6848, 6632, 7066
 2014,    1, 6273, 6059, 6480
 2014,    2, 7049, 6825, 7267
 2014,    3, 6928, 6719, 7149
 2014,    4, 6449, 6211, 6685
 2014,    5, 7617, 7372, 7857
 2014,    6, 8099, 7873, 8343
 2014,    7, 8164, 7932, 8404
 2014,    8, 7832, 7610, 8064
 2014,    9, 7721, 7494, 7961
 2014,   10, 7277, 7050, 7497
 2014,   11, 7291, 7061, 7517
 2014,   12, 6689, 6478, 6905
 2015,    1, 6244, 6035, 6451
 2015,    2, 7076, 6881, 7286
 2015,    3, 6700, 6484, 6915
 2015,    4, 6323, 6094, 6559
 2015,    5, 6567, 6328, 6795
 2015,    6, 6572, 6324, 6826
 2015,    7, 7969, 7735, 8203
 2015,    8, 8344, 8117, 8564
 2015,    9, 8318, 8088, 8543
 2015,   10, 8020, 7807, 8239
 2015,   11, 7655, 7435, 7885
 2015,   12, 6807, 6581, 7037
 2016,    1, 6222, 6011, 6437
 2016,    2, 6933, 6711, 7153
 2016,    3, 7841, 7624, 8066
 2016,    4, 8433, 8200, 8677
 2016,    5, 8660, 8413, 8900
 2016,    6, 7958, 7727, 8188
 2016,    7, 7621, 7401, 7846
 2016,    8, 7465, 7246, 7694
 2016,    9, 7421, 7212, 7645
 2016,   10, 7087, 6851, 7318
 2016,   11, 7224, 7006, 7443
 2016,   12, 7004, 6789, 7228
 2017,    1, 6340, 6144, 6558
 2017,    2, 6853, 6625, 7074
 2017,    3, 7271, 7045, 7499
 2017,    4, 7410, 7176, 7651
 2017,    5, 8293, 8058, 8538
 2017,    6,10112, 9868,10352
 2017,    7,10083, 9853,10324
 2017,    8, 9683, 9465, 9913
 2017,    9, 8900, 8684, 9122
 2017,   10, 8366, 8142, 8602
 2017,   11, 8226, 7998, 8449
 2017,   12, 8063, 7839, 8285
 2018,    1, 7070, 6857, 7276
 2018,    2, 8428, 8198, 8650
 2018,    3, 8962, 8742, 9194
 2018,    4, 8517, 8279, 8760
 2018,    5, 8490, 8252, 8726
 2018,    6, 9183, 8944, 9426
 2018,    7, 8902, 8664, 9132
 2018,    8, 8463, 8232, 8679
 2018,    9, 8018, 7784, 8257
 2018,   10, 7583, 7354, 7813
 2018,   11, 7928, 7700, 8158
 2018,   12, 8075, 7857, 8296
 2019,    1, 7352, 7138, 7567
 2019,    2, 7951, 7732, 8182
 2019,    3, 8646, 8432, 8874
 2019,    4, 7263, 7035, 7490
 2019,    5, 7425, 7185, 7660
 2019,    6, 9928, 9684,10173
 2019,    7,10277,10048,10523
 2019,    8,10274,10050,10496
 2019,    9, 9418, 9195, 9652
 2019,   10, 8768, 8541, 9006
 2019,   11, 8664, 8435, 8889
 2019,   12, 8726, 8506, 8943
 2020,    1, 8874, 8653, 9086
 2020,    2, 9390, 9169, 9609
 2020,    3, 9275, 9045, 9509
 2020,    4, 9038, 8801, 9271
 2020,    5, 9783, 9550,10005
 2020,    6, 9532, 9285, 9781
 2020,    7, 9126, 8892, 9359
 2020,    8, 8741, 8504, 8966
 2020,    9, 8680, 8459, 8919
 2020,   10, 8171, 7940, 8406
 2020,   11, 8177, 7943, 8401
 2020,   12, 8033, 7808, 8264
 2021,    1, 8747, 8528, 8965
 2021,    2, 8044, 7808, 8267
 2021,    3, 7956, 7726, 8177
 2021,    4, 7742, 7502, 7976
 2021,    5, 7989, 7738, 8240
