Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0,   6.0,  48.8,  38.6,  60.2
2011.0,   7.0,  52.5,  41.7,  62.6
2011.0,   8.0, 115.0, 100.0, 126.2
2011.0,   9.0,  96.6,  86.1, 107.5
2011.0,  10.0,  96.1,  85.1, 108.3
2011.0,  11.0,  82.4,  71.6,  91.6
2011.0,  12.0,  74.9,  65.0,  85.4
2012.0,   1.0,  89.3,  79.2,  99.9
2012.0,   2.0,  32.2,  22.1,  42.9
2012.0,   3.0,  47.6,  38.0,  58.1
2012.0,   4.0,  47.9,  37.3,  58.0
2012.0,   5.0,  52.5,  42.1,  62.8
2012.0,   6.0,  71.1,  60.7,  81.7
2012.0,   7.0,  55.0,  44.9,  65.2
2012.0,   8.0,  53.4,  42.4,  63.9
2012.0,   9.0, 120.0, 104.6, 132.8
2012.0,  10.0,  94.2,  83.0, 105.7
2012.0,  11.0,  41.2,  31.4,  50.6
2012.0,  12.0, 101.3,  91.1, 111.8
2013.0,   1.0,  57.5,  47.4,  68.8
2013.0,   2.0,  76.3,  65.5,  88.4
2013.0,   3.0,  29.4,  20.4,  39.7
2013.0,   4.0,  83.3,  73.5,  94.3
2013.0,   5.0,  64.6,  54.3,  75.0
2013.0,   6.0, 139.7, 127.1, 150.8
2013.0,   7.0,  77.6,  66.7,  87.6
2013.0,   8.0,  68.6,  57.9,  80.5
2013.0,   9.0,  68.1,  57.3,  78.9
2013.0,  10.0, 102.9,  91.0, 114.2
2013.0,  11.0,  79.0,  69.3,  89.6
2013.0,  12.0,  76.1,  66.1,  85.8
2014.0,   1.0,  60.2,  50.1,  71.4
2014.0,   2.0,  62.8,  52.1,  73.3
2014.0,   3.0,  53.6,  44.2,  63.9
2014.0,   4.0, 109.8,  98.4, 120.0
2014.0,   5.0,  84.2,  74.5,  95.6
2014.0,   6.0,  91.9,  81.4, 103.0
2014.0,   7.0, 111.2, 101.0, 122.6
2014.0,   8.0,  69.4,  58.8,  79.6
2014.0,   9.0,  45.3,  33.6,  60.1
2014.0,  10.0,  60.9,  49.8,  72.8
2014.0,  11.0,  66.4,  56.7,  77.3
2014.0,  12.0,  42.6,  32.7,  52.8
2015.0,   1.0,  53.2,  43.0,  64.8
2015.0,   2.0,  45.6,  35.6,  55.8
2015.0,   3.0,  32.5,  23.2,  42.3
2015.0,   4.0,  69.7,  59.8,  80.0
2015.0,   5.0,  48.3,  38.3,  58.6
2015.0,   6.0, 166.5, 155.4, 178.6
2015.0,   7.0,  46.1,  36.3,  56.7
2015.0,   8.0,  76.8,  66.1,  87.5
2015.0,   9.0, 101.3,  90.0, 112.0
2015.0,  10.0,  89.3,  77.9, 101.1
2015.0,  11.0,  40.2,  30.5,  49.5
2015.0,  12.0,  66.5,  57.0,  76.5
2016.0,   1.0,  54.2,  42.4,  66.3
2016.0,   2.0,  93.5,  81.3, 106.7
2016.0,   3.0,  73.5,  61.6,  86.1
2016.0,   4.0,  69.0,  55.9,  81.2
2016.0,   5.0,  39.4,  27.6,  51.6
2016.0,   6.0,  50.0,  38.1,  62.5
2016.0,   7.0,  42.1,  30.5,  54.3
2016.0,   8.0,  91.1,  78.5, 103.4
2016.0,   9.0,  63.7,  51.6,  76.0
2016.0,  10.0, 104.3,  91.2, 117.3
2016.0,  11.0,  59.3,  48.1,  70.6
2016.0,  12.0,  86.7,  75.2,  98.5
2017.0,   1.0,  89.7,  78.6, 102.4
2017.0,   2.0,  71.8,  60.3,  83.4
2017.0,   3.0,  80.3,  69.1,  92.0
2017.0,   4.0, 120.4, 109.1, 131.6
2017.0,   5.0, 159.0, 146.6, 170.3
2017.0,   6.0, 120.5, 108.7, 132.6
2017.0,   7.0,  95.9,  84.1, 107.2
2017.0,   8.0,  66.5,  55.2,  77.6
2017.0,   9.0,  54.9,  42.3,  66.7
2017.0,  10.0, 148.6, 135.4, 161.0
2017.0,  11.0,  86.9,  75.6,  98.7
2017.0,  12.0,  72.6,  60.7,  83.6
2018.0,   1.0,  74.4,  62.4,  86.6
2018.0,   2.0,  68.9,  56.9,  80.3
2018.0,   3.0,  54.3,  42.7,  65.9
2018.0,   4.0, 110.6,  98.8, 121.5
2018.0,   5.0,  59.2,  47.8,  70.9
2018.0,   6.0,  65.3,  53.7,  77.7
2018.0,   7.0,  67.0,  55.5,  78.5
2018.0,   8.0,  86.9,  74.9,  98.3
2018.0,   9.0,  68.0,  56.1,  79.6
2018.0,  10.0,  84.8,  72.0,  97.4
2018.0,  11.0, 118.6, 106.3, 130.8
2018.0,  12.0,  76.2,  64.4,  88.4
2019.0,   1.0,  79.5,  67.8,  91.1
2019.0,   2.0,  75.1,  63.8,  87.0
2019.0,   3.0,  64.8,  53.1,  75.9
2019.0,   4.0,  83.3,  71.7,  95.3
2019.0,   5.0, 117.4, 105.7, 129.7
2019.0,   6.0,  94.5,  82.7, 106.6
2019.0,   7.0,  69.6,  57.4,  80.9
2019.0,   8.0,  70.0,  59.1,  81.2
2019.0,   9.0,  77.5,  65.8,  89.5
2019.0,  10.0, 117.0, 104.4, 130.6
2019.0,  11.0,  73.8,  61.8,  86.1
2019.0,  12.0,  84.8,  73.4,  96.5
2020.0,   1.0,  80.5,  69.1,  92.6
2020.0,   2.0,  55.2,  43.7,  66.4
2020.0,   3.0,  74.2,  62.9,  85.9
2020.0,   4.0,  59.3,  48.1,  70.8
2020.0,   5.0,  71.6,  60.0,  83.1
2020.0,   6.0,  37.0,  25.8,  48.6
2020.0,   7.0,  63.9,  52.1,  75.6
2020.0,   8.0,  74.4,  62.6,  85.4
2020.0,   9.0,  53.2,  41.5,  64.9
2020.0,  10.0,  80.7,  68.1,  93.1
2020.0,  11.0,  59.4,  48.4,  70.9
2020.0,  12.0,  90.3,  78.3, 101.7
2021.0,   1.0,  40.4,  29.7,  51.4
2021.0,   2.0,  41.0,  30.2,  52.2
2021.0,   3.0,  40.1,  29.2,  51.8
2021.0,   4.0,  64.5,  53.3,  75.9
2021.0,   5.0,  35.3,  24.2,  46.5
