Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0,   6.0, 319.1, 298.2, 340.1
2011.0,   7.0, 228.1, 212.4, 243.5
2011.0,   8.0,  93.6,  80.4, 106.8
2011.0,   9.0, 106.4,  94.2, 118.3
2011.0,  10.0,  86.3,  74.4,  98.0
2011.0,  11.0,  68.4,  56.4,  80.6
2011.0,  12.0,  56.7,  45.4,  68.6
2012.0,   1.0,  76.0,  65.6,  86.6
2012.0,   2.0,  76.9,  68.3,  85.9
2012.0,   3.0,  77.6,  69.9,  85.1
2012.0,   4.0, 153.4, 146.7, 160.3
2012.0,   5.0, 240.6, 225.3, 254.9
2012.0,   6.0,  80.8,  60.3, 101.5
2012.0,   7.0, 218.5, 201.6, 234.5
2012.0,   8.0, 248.6, 235.7, 262.3
2012.0,   9.0, 146.7, 134.8, 158.7
2012.0,  10.0, 100.1,  88.5, 112.1
2012.0,  11.0,  82.3,  69.7,  94.1
2012.0,  12.0,  76.7,  65.1,  88.4
2013.0,   1.0,  88.8,  78.5,  98.8
2013.0,   2.0,  90.4,  81.6,  99.4
2013.0,   3.0,  79.5,  71.8,  86.9
2013.0,   4.0,  63.7,  56.6,  70.5
2013.0,   5.0, 192.5, 177.6, 208.0
2013.0,   6.0, 353.2, 332.6, 373.8
2013.0,   7.0, 197.8, 181.4, 214.0
2013.0,   8.0, 100.9,  87.3, 114.5
2013.0,   9.0, 109.4,  97.7, 121.5
2013.0,  10.0, 175.1, 163.3, 186.5
2013.0,  11.0, 181.9, 170.1, 193.5
2013.0,  12.0, 147.1, 135.8, 158.9
2014.0,   1.0, 122.2, 112.0, 132.4
2014.0,   2.0, 105.3,  96.8, 114.5
2014.0,   3.0,  85.3,  78.2,  92.8
2014.0,   4.0,  74.5,  67.5,  81.4
2014.0,   5.0, 217.5, 202.5, 231.7
2014.0,   6.0, 311.6, 290.4, 332.6
2014.0,   7.0,  95.4,  80.1, 111.4
2014.0,   8.0,  61.0,  47.9,  74.4
2014.0,   9.0, 192.0, 180.5, 204.1
2014.0,  10.0, 236.5, 224.7, 249.2
2014.0,  11.0, 220.6, 208.6, 233.1
2014.0,  12.0, 166.7, 154.9, 178.4
2015.0,   1.0, 130.0, 119.7, 140.6
2015.0,   2.0, 114.1, 105.5, 123.0
2015.0,   3.0,  92.2,  84.7,  99.5
2015.0,   4.0,  96.7,  89.9, 103.8
2015.0,   5.0, 261.9, 247.5, 276.2
2015.0,   6.0, 327.7, 306.6, 348.1
2015.0,   7.0, 153.9, 137.8, 169.7
2015.0,   8.0, 230.3, 217.3, 244.1
2015.0,   9.0, 221.6, 209.7, 234.3
2015.0,  10.0, 172.9, 161.1, 184.5
2015.0,  11.0, 154.8, 143.0, 167.4
2015.0,  12.0, 180.9, 169.1, 192.3
2016.0,   1.0, 168.3, 157.9, 179.0
2016.0,   2.0, 145.4, 136.4, 153.9
2016.0,   3.0, 119.3, 112.2, 126.8
2016.0,   4.0, 108.6, 101.6, 115.1
2016.0,   5.0, 166.1, 151.3, 180.5
2016.0,   6.0, 235.0, 214.4, 256.5
2016.0,   7.0, 200.8, 185.0, 216.6
2016.0,   8.0, 152.9, 139.8, 165.8
2016.0,   9.0, 199.4, 187.2, 211.2
2016.0,  10.0, 182.5, 170.8, 194.2
2016.0,  11.0, 199.6, 187.4, 211.9
2016.0,  12.0, 168.5, 156.8, 180.2
2017.0,   1.0, 161.5, 150.9, 171.7
2017.0,   2.0, 136.5, 127.7, 145.0
2017.0,   3.0, 115.6, 107.8, 122.9
2017.0,   4.0, 141.7, 134.4, 148.7
2017.0,   5.0, 335.0, 320.4, 349.8
2017.0,   6.0, 352.3, 331.7, 373.5
2017.0,   7.0, 241.4, 226.4, 257.7
2017.0,   8.0, 145.4, 133.0, 158.8
2017.0,   9.0, 115.5, 103.6, 127.2
2017.0,  10.0, 147.2, 134.9, 159.2
2017.0,  11.0, 117.1, 104.6, 129.4
2017.0,  12.0, 110.6,  99.5, 122.0
2018.0,   1.0, 113.2, 102.8, 123.9
2018.0,   2.0, 103.1,  94.1, 111.9
