Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.000000,   6.000000,  -3.214098,  -7.444818,   1.057339
2011.000000,   7.000000,  -7.391675, -16.150273,   1.545046
2011.000000,   8.000000,  16.707415,   1.810256,  32.345962
2011.000000,   9.000000,  60.029899,  44.067916,  77.328699
2011.000000,  10.000000,  78.000256,  60.562310,  96.092801
2011.000000,  11.000000,  85.918972,  68.235216, 103.368367
2011.000000,  12.000000, 138.381928, 120.266677, 157.417184
2012.000000,   1.000000, 108.067639,  89.969080, 126.846367
2012.000000,   2.000000,  67.746870,  49.777321,  86.511115
2012.000000,   3.000000,  44.292807,  25.666513,  63.630357
2012.000000,   4.000000,  25.552470,  12.937164,  38.559615
2012.000000,   5.000000,   3.834377,  -4.838305,  12.251965
2012.000000,   6.000000,  -3.140621,  -7.256360,   0.887849
2012.000000,   7.000000,   8.173768,  -0.939348,  16.791237
2012.000000,   8.000000,  50.962003,  36.854810,  65.215389
2012.000000,   9.000000, 107.330745,  91.142975, 124.114506
2012.000000,  10.000000,  91.844122,  73.933376, 108.925787
2012.000000,  11.000000, 116.652173,  99.370206, 134.335779
2012.000000,  12.000000,  97.315962,  80.516144, 115.269403
2013.000000,   1.000000, 110.456824,  93.620446, 127.976141
2013.000000,   2.000000,  75.486194,  58.479211,  92.841851
2013.000000,   3.000000,  57.625643,  40.309883,  73.650140
2013.000000,   4.000000,  21.204752,   9.292466,  33.474598
2013.000000,   5.000000,   3.155032,  -5.304135,  11.136058
2013.000000,   6.000000,  -3.110334,  -7.292375,   1.154907
2013.000000,   7.000000,   0.699477,  -7.942070,   9.108008
2013.000000,   8.000000,   2.968413, -11.488265,  18.047267
2013.000000,   9.000000,  50.076993,  32.720224,  66.566657
2013.000000,  10.000000,  72.709587,  55.785329,  89.925971
2013.000000,  11.000000, 112.760838,  96.198089, 130.857617
2013.000000,  12.000000, 126.891646, 109.764011, 145.018853
2014.000000,   1.000000, 115.252451,  98.024369, 132.502900
2014.000000,   2.000000,  34.393306,  17.307013,  51.553441
2014.000000,   3.000000,  23.994355,   7.345587,  40.062086
2014.000000,   4.000000,  -3.886573, -16.507909,   7.758807
2014.000000,   5.000000,  -7.226113, -15.588620,   0.814042
2014.000000,   6.000000,  -3.381189,  -7.429192,   0.663974
2014.000000,   7.000000,  -5.750841, -14.485395,   2.726499
2014.000000,   8.000000,   7.259028,  -7.018120,  22.454892
2014.000000,   9.000000,  44.462165,  27.782444,  61.979752
2014.000000,  10.000000,  52.159395,  35.057936,  68.676107
2014.000000,  11.000000, 106.010866,  88.727167, 123.046350
2014.000000,  12.000000, 100.034150,  82.014274, 116.589633
2015.000000,   1.000000, 110.380736,  93.996434, 126.987046
2015.000000,   2.000000,  76.104854,  59.523159,  92.583866
2015.000000,   3.000000,  31.187992,  14.082606,  47.105333
2015.000000,   4.000000,  13.021497,   1.094965,  24.918121
2015.000000,   5.000000,   5.111511,  -3.111576,  13.382572
2015.000000,   6.000000,  -3.849957,  -8.005649,   0.333310
2015.000000,   7.000000,  -5.085022, -13.424156,   3.766530
2015.000000,   8.000000,   7.484419,  -6.737769,  22.553333
2015.000000,   9.000000,  39.425491,  22.757273,  55.464559
2015.000000,  10.000000,  74.601068,  58.233462,  92.240344
2015.000000,  11.000000,  99.054844,  81.999572, 116.370096
2015.000000,  12.000000, 109.714613,  91.527715, 127.783560
2016.000000,   1.000000,  78.202474,  60.749030,  95.450837
2016.000000,   2.000000,  56.984373,  39.995226,  74.468326
2016.000000,   3.000000,  34.549917,  17.079984,  51.643437
2016.000000,   4.000000,  27.975818,  15.938095,  39.772819
2016.000000,   5.000000,   3.258890,  -4.991199,  11.258318
2016.000000,   6.000000,  -3.758114,  -7.875463,   0.067452
2016.000000,   7.000000,  -3.325845, -10.942604,   4.082501
2016.000000,   8.000000,  20.230014,   8.052361,  31.771546
2016.000000,   9.000000,  58.528224,  45.679312,  71.530983
2016.000000,  10.000000,  84.784830,  71.637077,  99.051374
2016.000000,  11.000000,  73.373885,  61.140647,  86.387592
2016.000000,  12.000000, 149.855994, 136.452379, 163.821505
2017.000000,   1.000000,  94.422612,  81.917169, 107.970402
2017.000000,   2.000000,  67.226160,  53.709588,  80.760672
2017.000000,   3.000000,  58.223342,  44.987508,  71.026586
2017.000000,   4.000000,   1.561913,  -8.326207,  11.437985
2017.000000,   5.000000,   2.460758,  -4.392856,   9.381619
2017.000000,   6.000000,  -3.993906,  -7.841499,  -0.082196
2017.000000,   7.000000,  -0.340467,  -8.098630,   7.412045
2017.000000,   8.000000,  13.311168,   1.201143,  25.276002
2017.000000,   9.000000,  35.144166,  22.300341,  47.710141
2017.000000,  10.000000,  74.526499,  61.379391,  87.686671
2017.000000,  11.000000, 116.474219, 103.420567, 129.817210
2017.000000,  12.000000, 124.048558, 109.165959, 137.769584
2018.000000,   1.000000, 105.788606,  92.113974, 119.185300
2018.000000,   2.000000,  65.074083,  52.070698,  79.090615
2018.000000,   3.000000,  53.494998,  40.219723,  66.776881
2018.000000,   4.000000,  42.224357,  32.749793,  52.215712
2018.000000,   5.000000,   2.311722,  -4.934699,   9.674446
2018.000000,   6.000000,  -2.269139,  -6.312469,   1.641210
2018.000000,   7.000000,  -3.811216, -11.088106,   3.682493
2018.000000,   8.000000,  15.288698,   3.782019,  27.199834
2018.000000,   9.000000,  55.784434,  43.263218,  68.735818
2018.000000,  10.000000,  72.049414,  58.071594,  85.066656
2018.000000,  11.000000,  99.716156,  86.222015, 112.335829
2018.000000,  12.000000,  93.600379,  80.078893, 106.457370
2019.000000,   1.000000, 107.451811,  94.939787, 119.898604
2019.000000,   2.000000,  49.594871,  36.661681,  63.282525
2019.000000,   3.000000,  37.292528,  25.107236,  49.897257
2019.000000,   4.000000,   8.144841,  -1.198401,  18.059681
2019.000000,   5.000000,   0.559212,  -6.299383,   7.653199
2019.000000,   6.000000,  -2.335099,  -6.147270,   1.692079
2019.000000,   7.000000,  -0.189504,  -7.321549,   7.535167
2019.000000,   8.000000,  28.889683,  17.762016,  40.017269
2019.000000,   9.000000,  40.204874,  27.882336,  52.891021
2019.000000,  10.000000,  83.175049,  71.061371,  95.776640
2019.000000,  11.000000, 112.884794,  99.621598, 125.607456
2019.000000,  12.000000,  95.133397,  81.195926, 108.823172
2020.000000,   1.000000,  83.040049,  70.193995,  96.390927
2020.000000,   2.000000,  83.383793,  70.601387,  96.664899
2020.000000,   3.000000,  35.573079,  22.852100,  48.163403
2020.000000,   4.000000,  23.427531,  13.494402,  32.520957
2020.000000,   5.000000,   6.982956,  -0.349351,  14.122917
2020.000000,   6.000000,  -3.373865,  -7.389214,   0.791753
2020.000000,   7.000000,   1.657690,  -5.804585,   9.071176
2020.000000,   8.000000,  27.724882,  15.827553,  39.526134
2020.000000,   9.000000,  54.989579,  42.251798,  67.820903
2020.000000,  10.000000, 103.764747,  90.747781, 116.857874
2020.000000,  11.000000,  82.569231,  69.273170,  94.774545
2020.000000,  12.000000, 107.341445,  93.855438, 121.036631
2021.000000,   1.000000,  83.382470,  70.203756,  96.496478
2021.000000,   2.000000,  72.117265,  58.723519,  85.487004
2021.000000,   3.000000,  49.976477,  37.145646,  62.463742
2021.000000,   4.000000,  16.761864,   7.062997,  26.625334
2021.000000,   5.000000,   2.562639,  -4.942250,  10.280174
