Year,Month,Median,2.5 Percentile,97.5 Percentile
2011.0,   6.0,  51.0,  39.0,  63.4
2011.0,   7.0,  42.6,  31.7,  54.1
2011.0,   8.0,  27.5,  18.0,  38.2
2011.0,   9.0,  22.5,  13.4,  32.8
2011.0,  10.0,  29.0,  19.3,  39.9
2011.0,  11.0,  33.5,  23.4,  44.5
2011.0,  12.0,  28.6,  20.3,  38.1
2012.0,   1.0,  27.3,  19.6,  36.9
2012.0,   2.0,  24.4,  17.2,  33.1
2012.0,   3.0,  89.0,  75.2, 102.7
2012.0,   4.0,  70.1,  57.9,  83.2
2012.0,   5.0,  59.2,  46.7,  71.9
2012.0,   6.0,  67.8,  55.7,  80.3
2012.0,   7.0,  28.9,  19.4,  39.4
2012.0,   8.0,  23.4,  15.1,  32.6
2012.0,   9.0,  17.7,  10.7,  26.8
2012.0,  10.0,  28.9,  19.3,  40.0
2012.0,  11.0,  31.3,  22.0,  42.3
2012.0,  12.0,  36.4,  26.3,  46.7
2013.0,   1.0,  31.9,  23.3,  42.1
2013.0,   2.0,  26.3,  18.6,  35.3
2013.0,   3.0,  30.3,  22.2,  39.1
2013.0,   4.0,  57.8,  46.5,  69.6
2013.0,   5.0, 173.1, 159.9, 186.2
2013.0,   6.0,  75.4,  63.6,  87.7
2013.0,   7.0,  55.1,  44.0,  67.1
2013.0,   8.0,  52.3,  40.4,  64.3
2013.0,   9.0,  52.9,  41.0,  65.6
2013.0,  10.0,  49.4,  37.5,  61.1
2013.0,  11.0,  56.7,  44.9,  68.8
2013.0,  12.0,  38.9,  29.0,  49.5
2014.0,   1.0,  29.9,  21.6,  39.9
2014.0,   2.0,  29.9,  21.3,  39.6
2014.0,   3.0,  32.4,  24.0,  41.4
2014.0,   4.0,  80.8,  68.5,  93.1
2014.0,   5.0, 161.1, 146.8, 175.5
2014.0,   6.0,  76.8,  64.4,  89.0
2014.0,   7.0,  53.1,  41.3,  65.1
2014.0,   8.0,  39.3,  28.1,  50.8
2014.0,   9.0,  58.6,  46.1,  71.2
2014.0,  10.0,  72.4,  59.8,  84.7
2014.0,  11.0,  54.7,  42.8,  66.9
2014.0,  12.0,  40.6,  30.2,  52.1
2015.0,   1.0,  32.0,  23.0,  42.6
2015.0,   2.0,  27.7,  19.8,  36.8
2015.0,   3.0,  39.3,  30.1,  49.7
2015.0,   4.0,  91.3,  79.0, 103.8
2015.0,   5.0, 102.3,  89.7, 115.4
2015.0,   6.0,  64.8,  52.5,  76.8
2015.0,   7.0,  49.1,  37.7,  60.7
2015.0,   8.0,  35.2,  24.9,  46.1
2015.0,   9.0,  35.4,  24.3,  47.3
2015.0,  10.0,  33.8,  23.6,  45.7
2015.0,  11.0,  59.5,  47.7,  71.6
2015.0,  12.0,  62.5,  50.8,  74.4
2016.0,   1.0,  39.7,  29.5,  50.3
2016.0,   2.0,  30.7,  22.2,  40.3
2016.0,   3.0,  52.5,  41.7,  63.9
2016.0,   4.0,  90.5,  76.4, 104.1
2016.0,   5.0,  70.2,  56.3,  83.9
2016.0,   6.0,  64.0,  53.1,  75.6
2016.0,   7.0,  46.5,  36.0,  56.3
2016.0,   8.0,  34.3,  24.7,  43.4
2016.0,   9.0,  39.1,  28.8,  49.9
2016.0,  10.0,  44.5,  33.5,  55.8
2016.0,  11.0,  38.6,  28.8,  48.4
2016.0,  12.0,  36.6,  27.4,  45.9
2017.0,   1.0,  32.9,  24.7,  41.2
2017.0,   2.0,  35.8,  27.8,  44.4
2017.0,   3.0,  35.7,  28.2,  43.7
2017.0,   4.0, 107.7,  95.6, 119.8
2017.0,   5.0, 115.8, 104.5, 127.5
2017.0,   6.0,  65.8,  55.0,  77.3
2017.0,   7.0,  44.4,  34.7,  54.7
2017.0,   8.0,  46.7,  37.1,  56.6
2017.0,   9.0,  41.1,  31.2,  52.3
2017.0,  10.0,  64.4,  53.2,  75.0
2017.0,  11.0,  46.4,  36.7,  57.1
2017.0,  12.0,  47.7,  38.4,  57.4
2018.0,   1.0,  32.0,  24.2,  40.7
2018.0,   2.0,  26.5,  19.6,  34.2
2018.0,   3.0,  26.1,  19.8,  33.4
2018.0,   4.0,  54.1,  42.8,  64.7
2018.0,   5.0, 105.4,  93.5, 117.8
2018.0,   6.0,  59.8,  48.5,  70.6
2018.0,   7.0,  43.6,  33.8,  54.1
2018.0,   8.0,  32.3,  23.1,  42.0
2018.0,   9.0,  47.8,  37.0,  58.5
2018.0,  10.0,  94.9,  82.3, 107.7
2018.0,  11.0,  51.1,  41.0,  62.2
2018.0,  12.0,  31.8,  24.1,  40.7
2019.0,   1.0,  32.6,  25.2,  41.3
2019.0,   2.0,  29.9,  22.3,  38.1
2019.0,   3.0,  40.0,  30.9,  49.1
2019.0,   4.0, 118.8, 107.1, 130.0
2019.0,   5.0, 129.0, 117.1, 141.4
2019.0,   6.0,  59.0,  48.2,  70.0
2019.0,   7.0,  41.4,  31.8,  51.9
2019.0,   8.0,  29.1,  20.4,  38.5
2019.0,   9.0,  45.2,  34.9,  55.4
2019.0,  10.0,  68.6,  57.6,  80.1
2019.0,  11.0,  43.4,  33.8,  53.3
2019.0,  12.0,  40.4,  31.2,  50.3
2020.0,   1.0,  33.8,  25.5,  42.3
2020.0,   2.0,  26.9,  19.6,  35.0
2020.0,   3.0,  40.5,  32.5,  49.2
2020.0,   4.0,  75.6,  64.3,  86.3
2020.0,   5.0, 112.0, 100.2, 124.5
2020.0,   6.0,  57.5,  46.8,  68.4
2020.0,   7.0,  43.3,  33.1,  53.5
2020.0,   8.0,  33.0,  23.8,  42.9
2020.0,   9.0,  35.3,  25.1,  45.3
2020.0,  10.0,  49.1,  38.3,  60.3
2020.0,  11.0,  49.8,  39.7,  61.1
2020.0,  12.0,  28.9,  21.1,  37.3
2021.0,   1.0,  26.9,  19.7,  35.2
2021.0,   2.0,  27.2,  19.9,  36.0
2021.0,   3.0,  46.2,  37.2,  55.4
2021.0,   4.0,  92.7,  80.6, 105.4
2021.0,   5.0,  48.7,  34.7,  64.1
