# Niagara River and Welland Canal Monthly Flow
# Units = cms
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2026-07-07 11:06:18.045896 by DA9
#
"Year","Month","Niagara+Welland(SFD+ADVM)","Niagara+Welland (Coordinated)"
1900,1,5380,5381
1900,2,5270,5271
1900,3,5440,5441
1900,4,5580,5581
1900,5,5830,5831
1900,6,5860,5861
1900,7,5750,5751
1900,8,5720,5721
1900,9,5610,5611
1900,10,5380,5381
1900,11,5520,5521
1900,12,5500,5501
1901,1,5380,5381
1901,2,4870,4871
1901,3,4840,4841
1901,4,4900,4901
1901,5,5130,5131
1901,6,5410,5411
1901,7,5410,5411
1901,8,5350,5351
1901,9,5410,5411
1901,10,5300,5301
1901,11,5240,5241
1901,12,5240,5241
1902,1,5160,5164
1902,2,4760,4764
1902,3,4900,4904
1902,4,5210,5214
1902,5,5500,5504
1902,6,5640,5644
1902,7,5980,5984
1902,8,5950,5954
1902,9,5750,5754
1902,10,5860,5864
1902,11,5720,5724
1902,12,5670,5674
1903,1,5580,5584
1903,2,5330,5334
1903,3,5640,5644
1903,4,6030,6034
1903,5,6200,6204
1903,6,6200,6204
1903,7,6120,6124
1903,8,5950,5954
1903,9,5950,5954
1903,10,5830,5834
1903,11,5670,5674
1903,12,5670,5674
1904,1,4970,4967
1904,2,5080,5077
1904,3,5480,5477
1904,4,6100,6097
1904,5,6440,6437
1904,6,6580,6577
1904,7,6410,6407
1904,8,6270,6267
1904,9,6130,6127
1904,10,6010,6007
1904,11,5840,5837
1904,12,5760,5757
1905,1,5390,5390
1905,2,5050,5050
1905,3,5140,5140
1905,4,5390,5390
1905,5,5900,5900
1905,6,6240,6240
1905,7,6350,6350
1905,8,6240,6240
1905,9,6130,6130
1905,10,6040,6040
1905,11,5820,5820
1905,12,5930,5930
1906,1,5760,5762
1906,2,5480,5482
1906,3,5360,5362
1906,4,5590,5592
1906,5,5840,5842
1906,6,5960,5962
1906,7,5960,5962
1906,8,5900,5902
1906,9,5760,5762
1906,10,5790,5792
1906,11,5870,5872
1906,12,5960,5962
1907,1,6180,6185
1907,2,5820,5825
1907,3,5700,5705
1907,4,5930,5935
1907,5,6210,6215
1907,6,6330,6335
1907,7,6440,6445
1907,8,6210,6215
1907,9,6130,6135
1907,10,6100,6105
1907,11,6040,6045
1907,12,6040,6045
1908,1,6100,6102
1908,2,5730,5732
1908,3,5900,5902
1908,4,6270,6272
1908,5,6580,6582
1908,6,6500,6502
1908,7,6350,6352
1908,8,6240,6242
1908,9,5990,5992
1908,10,5700,5702
1908,11,5700,5702
1908,12,5650,5652
1909,1,5260,5261
1909,2,5260,5261
1909,3,5430,5431
1909,4,5540,5541
1909,5,6220,6221
1909,6,6280,6281
1909,7,6220,6221
1909,8,6000,6001
1909,9,5800,5801
1909,10,5600,5601
1909,11,5460,5461
1909,12,5710,5711
1910,1,5150,5154
1910,2,4950,4954
1910,3,5290,5294
1910,4,5490,5494
1910,5,6000,6004
1910,6,5970,5974
1910,7,5830,5834
1910,8,5660,5664
1910,9,5490,5494
1910,10,5600,5604
1910,11,5520,5524
1910,12,5370,5374
1911,1,5100,5097
1911,2,4870,4867
1911,3,4990,4987
1911,4,5130,5127
1911,5,5550,5547
1911,6,5550,5547
1911,7,5440,5437
1911,8,5270,5267
1911,9,5160,5157
1911,10,5270,5267
1911,11,5580,5577
1911,12,5440,5437
1912,1,5270,5272
1912,2,4900,4902
1912,3,4930,4932
1912,4,5580,5582
1912,5,5980,5982
