# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
1900,1,30
1900,2,30
1900,3,30
1900,4,30
1900,5,30
1900,6,30
1900,7,30
1900,8,30
1900,9,30
1900,10,30
1900,11,30
1900,12,30
1901,1,30
1901,2,30
1901,3,30
1901,4,30
1901,5,30
1901,6,30
1901,7,30
1901,8,30
1901,9,30
1901,10,30
1901,11,30
1901,12,30
1902,1,30
1902,2,30
1902,3,30
1902,4,30
1902,5,30
1902,6,30
1902,7,30
1902,8,30
1902,9,30
1902,10,30
1902,11,30
1902,12,30
1903,1,30
1903,2,30
1903,3,30
1903,4,30
1903,5,30
1903,6,30
1903,7,30
1903,8,30
1903,9,30
1903,10,30
1903,11,30
1903,12,30
1904,1,40
1904,2,40
1904,3,40
1904,4,40
1904,5,40
1904,6,40
1904,7,40
1904,8,40
1904,9,40
1904,10,40
1904,11,40
1904,12,40
1905,1,40
1905,2,40
1905,3,40
1905,4,40
1905,5,40
1905,6,40
1905,7,40
1905,8,40
1905,9,40
1905,10,40
1905,11,40
1905,12,40
1906,1,40
1906,2,40
1906,3,40
1906,4,40
1906,5,40
1906,6,40
1906,7,40
1906,8,40
1906,9,40
1906,10,40
1906,11,40
1906,12,40
1907,1,40
1907,2,40
1907,3,40
1907,4,40
1907,5,40
1907,6,40
1907,7,40
1907,8,40
1907,9,40
1907,10,40
1907,11,40
1907,12,40
1908,1,40
1908,2,40
1908,3,40
1908,4,40
1908,5,40
1908,6,40
1908,7,40
1908,8,40
1908,9,40
1908,10,40
1908,11,40
1908,12,40
1909,1,50
1909,2,50
1909,3,50
1909,4,50
1909,5,50
1909,6,50
1909,7,50
1909,8,50
1909,9,50
1909,10,50
1909,11,50
1909,12,50
1910,1,50
1910,2,50
1910,3,50
1910,4,50
1910,5,50
1910,6,50
1910,7,50
1910,8,50
1910,9,50
1910,10,50
1910,11,50
1910,12,50
1911,1,60
1911,2,60
1911,3,60
1911,4,60
1911,5,60
1911,6,60
1911,7,60
1911,8,60
1911,9,60
1911,10,60
1911,11,60
1911,12,60
1912,1,60
1912,2,60
1912,3,60
1912,4,60
1912,5,60
1912,6,60
1912,7,60
1912,8,60
1912,9,60
1912,10,60
1912,11,60
1912,12,60
1913,1,70
1913,2,70
1913,3,70
1913,4,70
1913,5,70
1913,6,70
1913,7,70
1913,8,70
1913,9,70
1913,10,70
1913,11,70
1913,12,70
1914,1,60
1914,2,60
1914,3,60
1914,4,60
1914,5,60
1914,6,60
1914,7,60
1914,8,60
1914,9,60
1914,10,60
1914,11,60
1914,12,60
1915,1,70
1915,2,70
1915,3,70
1915,4,70
1915,5,70
1915,6,70
1915,7,70
1915,8,70
1915,9,70
1915,10,70
1915,11,70
1915,12,70
1916,1,80
1916,2,80
1916,3,80
1916,4,80
1916,5,80
1916,6,80
1916,7,80
1916,8,80
1916,9,80
1916,10,80
1916,11,80
1916,12,80
1917,1,80
1917,2,80
1917,3,80
1917,4,80
1917,5,80
1917,6,80
1917,7,80
1917,8,80
1917,9,80
1917,10,80
1917,11,80
1917,12,80
1918,1,80
1918,2,80
1918,3,80
1918,4,80
1918,5,80
1918,6,80
1918,7,80
1918,8,80
1918,9,80
1918,10,80
1918,11,80
1918,12,80
1919,1,80
1919,2,80
1919,3,80
1919,4,80
1919,5,80
1919,6,80
1919,7,80
1919,8,80
1919,9,80
1919,10,80
1919,11,80
1919,12,80
1920,1,80
1920,2,80
1920,3,80
1920,4,80
1920,5,80
1920,6,80
1920,7,80
1920,8,80
1920,9,80
1920,10,80
1920,11,80
1920,12,80
1921,1,80
1921,2,80
1921,3,80
1921,4,80
1921,5,80
1921,6,80
1921,7,80
1921,8,80
1921,9,80
1921,10,80
1921,11,80
1921,12,80
1922,1,80
1922,2,80
1922,3,80
1922,4,80
1922,5,80
1922,6,80
1922,7,80
1922,8,80
1922,9,80
1922,10,80
1922,11,80
1922,12,80
1923,1,80
1923,2,80
1923,3,80
1923,4,80
1923,5,80
1923,6,80
1923,7,80
1923,8,80
1923,9,80
1923,10,80
1923,11,80
1923,12,80
1924,1,70
1924,2,70
1924,3,70
1924,4,70
1924,5,70
1924,6,70
1924,7,70
1924,8,70
1924,9,70
1924,10,70
1924,11,70
1924,12,70
1925,1,70
1925,2,70
1925,3,70
1925,4,70
1925,5,70
1925,6,70
1925,7,70
1925,8,70
1925,9,70
1925,10,70
1925,11,70
1925,12,70
1926,1,70
1926,2,70
1926,3,70
1926,4,70
1926,5,70
1926,6,70
1926,7,70
1926,8,70
1926,9,70
1926,10,70
1926,11,70
1926,12,70
1927,1,70
1927,2,70
1927,3,70
1927,4,80
1927,5,80
1927,6,80
