Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.000,   4.000, -10.177, -92.519, 104.191
2012.000,   5.000, 121.506,  48.095, 214.708
2012.000,   6.000,-102.048,-192.283,   3.278
2012.000,   7.000, -62.659,-154.158,  45.145
2012.000,   8.000,  99.990,  -7.043, 201.385
2012.000,   9.000,  61.809, -11.878, 160.075
2012.000,  10.000,  68.779, -30.471, 154.177
2012.000,  11.000, -23.419,-142.676,  71.722
2012.000,  12.000,  -1.224,-180.297,  94.065
2013.000,   1.000, -86.811,-243.674,  21.010
2013.000,   2.000, -27.147,-134.563,  67.669
2013.000,   3.000,-201.948,-296.459, -49.902
2013.000,   4.000, 101.291,  19.119, 215.778
2013.000,   5.000, 143.059,  68.858, 235.924
2013.000,   6.000,  -3.845, -93.690, 101.549
2013.000,   7.000, -54.435,-145.329,  52.533
2013.000,   8.000, 128.704,  23.728, 228.476
2013.000,   9.000,  62.737, -11.064, 159.904
2013.000,  10.000,  19.401, -80.388, 104.613
2013.000,  11.000,  27.752, -89.941, 122.217
2013.000,  12.000,  48.538,-130.637, 145.724
2014.000,   1.000,-214.772,-371.544,-106.223
2014.000,   2.000,   9.466, -96.758, 103.769
2014.000,   3.000,-148.763,-243.198,   3.415
2014.000,   4.000,  80.408,  -2.376, 195.717
2014.000,   5.000, 184.196, 109.529, 276.893
2014.000,   6.000, -67.822,-156.355,  37.061
2014.000,   7.000, -20.966,-112.671,  86.511
2014.000,   8.000, 125.454,  17.730, 225.104
2014.000,   9.000, 113.983,  39.929, 211.388
2014.000,  10.000,  65.367, -34.554, 148.833
2014.000,  11.000,  10.798,-107.724, 105.118
2014.000,  12.000, -17.902,-196.269,  78.984
2015.000,   1.000,-264.344,-421.222,-155.801
2015.000,   2.000, -68.260,-174.908,  26.331
2015.000,   3.000, -20.438,-113.033, 130.528
2015.000,   4.000,  50.680, -31.381, 165.061
2015.000,   5.000, 188.389, 113.700, 279.786
2015.000,   6.000,   0.905, -88.076, 103.883
2015.000,   7.000, -71.384,-161.363,  36.621
2015.000,   8.000, 116.929,   8.797, 216.163
2015.000,   9.000, 109.755,  34.836, 207.853
2015.000,  10.000, -54.828,-154.559,  30.031
2015.000,  11.000,  44.839, -72.770, 139.051
2015.000,  12.000,  24.113,-154.441, 119.030
2016.000,   1.000,-114.289,-273.138,  -8.489
2016.000,   2.000, -41.637,-148.680,  51.342
2016.000,   3.000, -90.326,-182.095,  59.364
2016.000,   4.000,  28.976, -53.574, 143.388
2016.000,   5.000, 109.354,  36.135, 199.646
2016.000,   6.000, -84.891,-174.387,  19.559
2016.000,   7.000, -34.077,-125.430,  73.193
2016.000,   8.000, 133.703,  24.355, 232.270
2016.000,   9.000, 100.935,  25.652, 199.172
2016.000,  10.000, -18.171,-118.598,  65.604
2016.000,  11.000, -28.145,-144.990,  65.357
2016.000,  12.000,  20.016,-157.536, 114.960
2017.000,   1.000, -68.657,-226.765,  38.232
2017.000,   2.000, -49.029,-157.300,  44.939
2017.000,   3.000,-110.860,-202.968,  39.129
2017.000,   4.000,  46.051, -35.917, 160.028
2017.000,   5.000, 158.887,  85.341, 249.782
2017.000,   6.000, -76.508,-165.231,  26.229
2017.000,   7.000, -12.996,-105.279,  94.992
2017.000,   8.000, 133.355,  23.279, 233.109
2017.000,   9.000,  50.478, -25.233, 146.772
2017.000,  10.000, -10.145,-109.650,  73.328
2017.000,  11.000,  61.691, -55.387, 155.659
2017.000,  12.000,   4.144,-172.638,  98.595
2018.000,   1.000,-122.289,-280.198, -16.991
2018.000,   2.000,  24.530, -83.739, 117.332
2018.000,   3.000,-214.315,-307.288, -65.399
2018.000,   4.000,  67.303, -14.893, 181.029
2018.000,   5.000, 142.300,  68.365, 233.526
2018.000,   6.000, -68.013,-156.607,  35.043
2018.000,   7.000, -54.592,-146.192,  53.503
2018.000,   8.000, 121.698,  11.881, 220.694
2018.000,   9.000,  93.057,  17.836, 189.398
2018.000,  10.000,  27.432, -72.628, 111.950
2018.000,  11.000,  44.151, -73.839, 137.733
2018.000,  12.000,  11.627,-165.416, 107.410
2019.000,   1.000,-242.518,-399.535,-134.618
2019.000,   2.000,  83.965, -22.452, 177.500
2019.000,   3.000,-144.662,-237.377,   3.385
2019.000,   4.000, 123.131,  41.137, 235.277
2019.000,   5.000, 129.708,  55.360, 220.696
2019.000,   6.000, -38.349,-126.830,  65.406
2019.000,   7.000, -33.924,-126.551,  75.395
2019.000,   8.000,  88.887, -23.400, 186.673
2019.000,   9.000,  80.346,   3.918, 175.896
2019.000,  10.000,  39.640, -60.294, 123.593
2019.000,  11.000,  27.637, -90.067, 122.331
2019.000,  12.000, -34.092,-210.334,  62.141
2020.000,   1.000, -14.413,-173.212,  93.426
2020.000,   2.000,-119.861,-228.021, -26.780
2020.000,   3.000, -94.869,-186.822,  54.123
2020.000,   4.000,  -1.382, -83.751, 111.854
2020.000,   5.000, 142.177,  69.019, 234.228
2020.000,   6.000, -73.162,-162.123,  32.311
2020.000,   7.000, -37.836,-130.304,  71.079
2020.000,   8.000, 112.788,   0.738, 211.471
2020.000,   9.000,  25.120, -52.198, 121.384
2020.000,  10.000,  36.031, -65.237, 119.795
2020.000,  11.000,  40.451, -77.658, 134.832
2020.000,  12.000,  -2.016,-178.588,  96.602
2021.000,   1.000, -97.526,-255.558,   9.122
2021.000,   2.000,-140.277,-248.709, -48.053
2021.000,   3.000,-165.316,-257.722, -16.393
2021.000,   4.000,   3.516, -80.300, 116.641
2021.000,   5.000, 134.417,  59.258, 224.622
2021.000,   6.000, -34.440,-123.155,  70.562
2021.000,   7.000, -26.366,-118.776,  84.235
