Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.000,   4.000,  97.594, -68.246, 271.970
2012.000,   5.000,  98.760, -29.789, 262.141
2012.000,   6.000,  43.615, -50.790, 136.650
2012.000,   7.000,  11.694, -64.788,  90.216
2012.000,   8.000,  27.631, -52.090, 116.842
2012.000,   9.000,  31.554,-118.909, 174.483
2012.000,  10.000, 105.196, -59.595, 243.140
2012.000,  11.000, 129.283,  -8.230, 271.411
2012.000,  12.000, 150.871, -33.885, 272.154
2013.000,   1.000,  59.681,-116.639, 288.318
2013.000,   2.000, 278.404, 110.111, 437.252
2013.000,   3.000, 186.052,   5.623, 316.205
2013.000,   4.000, 460.331, 299.770, 705.294
2013.000,   5.000, 160.151,  10.898, 315.155
2013.000,   6.000, 119.963,  36.105, 210.178
2013.000,   7.000,  44.597, -34.053, 120.242
2013.000,   8.000,  41.807, -36.340, 120.682
2013.000,   9.000,  90.833, -52.303, 216.298
2013.000,  10.000, 148.659,  16.728, 339.012
2013.000,  11.000, 237.148,  86.135, 358.636
2013.000,  12.000, 281.242, 110.417, 436.258
2014.000,   1.000, -36.879,-243.088, 156.671
2014.000,   2.000,  85.718, -71.497, 212.195
2014.000,   3.000, 387.000, 196.487, 541.772
2014.000,   4.000, 465.936, 339.927, 639.242
2014.000,   5.000, 295.032, 162.951, 466.814
2014.000,   6.000,  67.361, -18.633, 142.852
2014.000,   7.000,  40.002, -36.248, 116.183
2014.000,   8.000,  53.507, -40.184, 131.272
2014.000,   9.000, 147.087, -13.721, 317.252
2014.000,  10.000, 240.810, 106.329, 392.135
2014.000,  11.000, 158.303,  40.005, 304.510
2014.000,  12.000, 156.570,  15.827, 278.765
2015.000,   1.000, 121.916, -38.671, 250.531
2015.000,   2.000, 164.421, -69.902, 325.193
2015.000,   3.000, 339.435, 187.841, 538.360
2015.000,   4.000, 336.251, 156.518, 504.917
2015.000,   5.000, 187.307,  40.456, 326.096
2015.000,   6.000, 143.850,  48.239, 230.315
2015.000,   7.000,  63.499, -10.852, 146.491
2015.000,   8.000,  55.010, -41.459, 139.564
2015.000,   9.000, 114.637,  -9.867, 220.654
2015.000,  10.000,  55.639,-108.378, 204.566
2015.000,  11.000, 197.324,  42.948, 333.390
2015.000,  12.000, 161.648,  19.498, 292.997
2016.000,   1.000, 253.159,  51.874, 373.370
2016.000,   2.000, 351.358, 113.643, 504.323
2016.000,   3.000, 460.345, 327.050, 598.022
2016.000,   4.000, 323.476, 189.995, 430.796
2016.000,   5.000, 118.363, -14.204, 238.994
2016.000,   6.000,  57.385, -53.048, 158.141
2016.000,   7.000,  32.660, -36.039, 114.405
2016.000,   8.000,  34.018, -52.561, 120.112
2016.000,   9.000,  55.200, -80.340, 191.782
2016.000,  10.000,  22.876, -98.971, 137.490
2016.000,  11.000,  38.908, -95.396, 186.719
2016.000,  12.000, 247.016,  73.683, 427.646
2017.000,   1.000, 352.843, 197.659, 525.020
2017.000,   2.000, 300.601, 122.616, 460.138
2017.000,   3.000, 353.437, 197.229, 507.310
2017.000,   4.000, 343.141, 209.991, 490.046
2017.000,   5.000, 200.421,  88.880, 346.393
2017.000,   6.000,  73.428, -31.485, 162.130
2017.000,   7.000,  26.944, -43.848,  98.497
2017.000,   8.000,  44.531, -37.876, 140.692
2017.000,   9.000,  20.106, -97.803, 138.713
2017.000,  10.000,  95.894, -76.617, 266.655
2017.000,  11.000, 227.668,  91.685, 350.579
2017.000,  12.000, 225.107, 106.768, 374.114
2018.000,   1.000, 182.493,  20.666, 337.859
2018.000,   2.000, 500.719, 400.683, 647.693
2018.000,   3.000, 285.288,  81.036, 484.046
2018.000,   4.000, 434.194, 266.403, 568.757
2018.000,   5.000, 201.530,  59.824, 353.143
2018.000,   6.000,  73.615, -15.130, 175.093
2018.000,   7.000,  20.286, -67.176,  89.295
2018.000,   8.000,  72.829,  -0.379, 155.015
2018.000,   9.000, 251.236, 133.701, 363.508
2018.000,  10.000, 385.938, 232.026, 507.543
2018.000,  11.000, 392.579, 269.255, 540.069
2018.000,  12.000, 347.858, 213.174, 512.938
2019.000,   1.000, 260.408,  91.844, 406.816
2019.000,   2.000, 307.024, 190.132, 484.563
2019.000,   3.000, 528.378, 397.915, 704.901
2019.000,   4.000, 586.683, 377.136, 725.976
2019.000,   5.000, 288.738, 165.999, 445.917
2019.000,   6.000, 103.579,   8.419, 190.241
2019.000,   7.000,  21.079, -56.506, 100.870
2019.000,   8.000,   8.207, -74.050,  77.164
2019.000,   9.000,  87.506, -38.254, 218.073
2019.000,  10.000,  61.299, -51.939, 173.620
2019.000,  11.000, 201.784,  72.882, 326.001
2019.000,  12.000, 170.801,  34.628, 327.469
