Year,Month,Median,2.5 Percentile,97.5 Percentile
2012,   4,5154,4984,5322
2012,   5,4994,4834,5165
2012,   6,4987,4857,5155
2012,   7,4929,4774,5089
2012,   8,4949,4796,5105
2012,   9,4929,4753,5066
2012,  10,4956,4770,5097
2012,  11,4905,4760,5051
2012,  12,4815,4637,4978
2013,   1,4423,4258,4575
2013,   2,4557,4361,4696
2013,   3,4885,4756,5028
2013,   4,5022,4794,5203
2013,   5,4936,4801,5072
2013,   6,5297,5201,5441
2013,   7,5083,4953,5227
2013,   8,4987,4823,5184
2013,   9,5063,4895,5236
2013,  10,5212,5015,5432
2013,  11,5381,5169,5503
2013,  12,5285,5124,5402
2014,   1,4033,3831,4162
2014,   2,4098,3927,4213
2014,   3,5253,5018,5411
2014,   4,5545,5378,5768
2014,   5,5486,5323,5641
2014,   6,5477,5335,5614
2014,   7,5532,5404,5710
2014,   8,5462,5308,5603
2014,   9,5710,5528,5879
2014,  10,6078,5883,6225
2014,  11,5877,5744,6058
2014,  12,5991,5781,6148
2015,   1,4885,4717,5004
2015,   2,4105,3958,4238
2015,   3,5658,5505,5789
2015,   4,6159,5983,6374
2015,   5,5812,5667,5963
2015,   6,6214,6087,6369
2015,   7,5891,5749,6029
2015,   8,5697,5501,5894
2015,   9,5831,5681,6016
2015,  10,5873,5715,5981
2015,  11,5882,5682,6044
2015,  12,5896,5776,6025
2016,   1,6183,6048,6304
2016,   2,6069,5944,6201
2016,   3,6495,6352,6648
2016,   4,6447,6244,6632
2016,   5,5946,5788,6107
2016,   6,6121,5962,6247
2016,   7,6024,5877,6180
2016,   8,5764,5614,5872
2016,   9,5966,5814,6117
2016,  10,5925,5794,6092
2016,  11,5899,5706,6042
2016,  12,5982,5729,6102
2017,   1,6075,5964,6172
2017,   2,5985,5821,6125
2017,   3,6358,6215,6517
2017,   4,6149,6002,6289
2017,   5,6043,5898,6175
2017,   6,6037,5859,6163
2017,   7,6261,6141,6409
2017,   8,6262,6129,6402
2017,   9,6104,5938,6236
2017,  10,6218,6091,6362
2017,  11,6473,6327,6597
2017,  12,6259,6126,6407
2018,   1,5196,5066,5323
2018,   2,6030,5897,6171
2018,   3,6668,6550,6883
2018,   4,6484,6365,6640
2018,   5,6153,5984,6292
2018,   6,6357,6223,6526
2018,   7,6066,5916,6221
2018,   8,6065,5928,6212
2018,   9,6468,6329,6614
2018,  10,6750,6557,6899
2018,  11,6660,6507,6828
2018,  12,6464,6316,6627
2019,   1,5828,5674,6000
2019,   2,5610,5423,5751
2019,   3,6659,6505,6866
2019,   4,6916,6776,7031
2019,   5,6796,6686,6933
2019,   6,6998,6835,7136
2019,   7,6823,6666,6934
2019,   8,6811,6681,6948
2019,   9,6765,6623,6913
2019,  10,6942,6798,7086
2019,  11,7168,7029,7309
2019,  12,7026,6914,7149
2020,   1,7612,7476,7785
2020,   2,7339,7233,7513
2020,   3,7396,7263,7622
2020,   4,7135,6965,7299
2020,   5,7143,7008,7266
2020,   6,7093,6952,7237
2020,   7,7051,6829,7213
2020,   8,6944,6794,7075
2020,   9,7025,6898,7205
2020,  10,7033,6897,7131
2020,  11,7026,6881,7136
2020,  12,7068,6845,7213
2021,   1,6923,6779,7079
2021,   2,5534,5337,5665
2021,   3,6885,6742,7051
2021,   4,6514,6363,6683
2021,   5,6352,6219,6550
2021,   6,6311,6193,6448
2021,   7,6494,6344,6636
2021,   8,6285,6144,6430
2021,   9,6459,6311,6634
2021,  10,6614,6462,6762
2021,  11,6365,6203,6547
2021,  12,6269,6092,6442
2022,   1,5692,5560,5847
2022,   2,4978,4815,5141
2022,   3,6302,6131,6476
