Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.000,   4.000, -68.673, -98.801, -37.095
2012.000,   5.000, -42.721, -74.214, -11.240
2012.000,   6.000, -91.070,-121.221, -59.457
2012.000,   7.000, -96.922,-127.608, -65.120
2012.000,   8.000,-104.522,-137.042, -72.385
2012.000,   9.000, -94.326,-126.017, -62.208
2012.000,  10.000, -12.545, -44.332,  19.961
2012.000,  11.000, -72.226,-104.949, -39.297
2012.000,  12.000,  17.044, -15.337,  49.149
2013.000,   1.000,  11.807, -20.111,  43.001
2013.000,   2.000,  72.710,  41.519, 102.593
2013.000,   3.000,  50.252,  17.894,  80.365
2013.000,   4.000, 198.006, 167.726, 228.085
2013.000,   5.000, -15.232, -45.433,  15.649
2013.000,   6.000, 174.406, 145.893, 203.738
2013.000,   7.000,  28.993,   0.131,  60.650
2013.000,   8.000,-109.867,-141.296, -81.038
2013.000,   9.000,-139.757,-170.058,-108.290
2013.000,  10.000, -87.706,-117.661, -56.737
2013.000,  11.000, -68.908,-101.293, -38.928
2013.000,  12.000, 104.424,  75.715, 134.352
2014.000,   1.000, -67.518, -98.677, -37.005
2014.000,   2.000,   9.224, -20.073,  38.200
2014.000,   3.000, 116.292,  85.134, 145.880
2014.000,   4.000, 198.442, 168.564, 228.400
2014.000,   5.000, 112.269,  82.625, 141.692
2014.000,   6.000,  18.677,  -9.617,  47.337
2014.000,   7.000, -44.984, -73.165, -15.481
2014.000,   8.000, -76.774,-107.854, -48.295
2014.000,   9.000, -34.656, -63.936,  -5.355
2014.000,  10.000, -37.538, -67.348,  -7.554
2014.000,  11.000, -74.879,-107.421, -44.154
2014.000,  12.000, -22.999, -51.872,   5.977
2015.000,   1.000, -24.779, -54.425,   5.251
2015.000,   2.000,-121.740,-149.499, -94.981
2015.000,   3.000, 147.362, 117.740, 174.758
2015.000,   4.000, 188.810, 158.886, 217.318
2015.000,   5.000, 124.999,  94.801, 154.546
2015.000,   6.000, 277.509, 249.349, 305.088
2015.000,   7.000, -29.257, -57.716,  -0.888
2015.000,   8.000,-162.948,-193.989,-135.000
2015.000,   9.000, -88.905,-117.394, -60.393
2015.000,  10.000,-173.242,-202.488,-144.084
2015.000,  11.000, -69.526,-100.318, -39.506
2015.000,  12.000,  31.463,   3.369,  60.681
2016.000,   1.000,  25.736,  -3.339,  56.229
2016.000,   2.000,  85.437,  57.404, 112.866
2016.000,   3.000, 209.774, 180.288, 237.189
2016.000,   4.000, 130.142, 101.675, 159.865
2016.000,   5.000, -26.681, -55.730,   3.666
2016.000,   6.000, -77.113,-104.032, -49.406
2016.000,   7.000, -59.189, -88.486, -31.165
2016.000,   8.000, -82.167,-111.802, -54.432
2016.000,   9.000, -51.363, -81.039, -22.950
2016.000,  10.000, -83.138,-112.391, -54.964
2016.000,  11.000,-115.351,-145.815, -84.593
2016.000,  12.000,   3.686, -25.256,  32.012
2017.000,   1.000, 196.442, 167.565, 225.339
2017.000,   2.000,  53.206,  25.407,  80.960
2017.000,   3.000, 144.535, 115.334, 173.040
2017.000,   4.000, 160.047, 131.834, 188.491
2017.000,   5.000, 124.354,  94.957, 154.258
2017.000,   6.000, -58.554, -85.923, -30.990
2017.000,   7.000, -49.546, -78.373, -23.125
2017.000,   8.000, -88.621,-117.883, -61.219
2017.000,   9.000,-136.692,-166.058,-108.488
2017.000,  10.000,-104.879,-133.941, -76.180
2017.000,  11.000,  69.679,  40.757,  98.838
2017.000,  12.000, -75.977,-103.327, -46.615
2018.000,   1.000, -21.904, -50.730,   7.657
2018.000,   2.000, 209.052, 180.610, 236.849
2018.000,   3.000, 116.982,  87.774, 144.486
2018.000,   4.000, 137.680, 109.760, 166.018
2018.000,   5.000,  46.990,  17.526,  76.061
2018.000,   6.000, -27.041, -54.991,   2.034
2018.000,   7.000,-127.007,-155.221, -99.818
2018.000,   8.000, -95.169,-124.764, -66.479
2018.000,   9.000, -44.177, -72.781, -15.607
2018.000,  10.000, -64.546, -93.875, -34.476
2018.000,  11.000,  50.351,  19.962,  80.613
2018.000,  12.000,  16.213, -11.354,  45.974
2019.000,   1.000, -17.884, -49.071,  12.212
2019.000,   2.000,  52.739,  24.264,  80.444
2019.000,   3.000, 113.943,  84.299, 142.686
2019.000,   4.000, 255.452, 228.775, 282.942
2019.000,   5.000,  75.768,  46.667, 106.055
2019.000,   6.000,  79.114,  51.226, 106.809
2019.000,   7.000, -86.653,-115.017, -60.030
2019.000,   8.000,-155.921,-184.396,-126.818
2019.000,   9.000,-112.243,-140.309, -84.155
2019.000,  10.000,-107.497,-135.768, -76.615
2019.000,  11.000, -40.154, -69.838, -10.117
2019.000,  12.000, -13.476, -42.675,  15.775
2020.000,   1.000, 216.727, 187.196, 245.969
2020.000,   2.000,  28.999,  -0.343,  56.204
2020.000,   3.000, 180.900, 151.481, 209.787
2020.000,   4.000,  22.381,  -7.141,  49.629
2020.000,   5.000,  37.168,   8.012,  67.422
2020.000,   6.000, -61.787, -89.802, -32.987
2020.000,   7.000, -87.806,-116.034, -59.113
2020.000,   8.000,-116.189,-146.631, -87.631
2020.000,   9.000,-127.996,-157.158, -98.947
2020.000,  10.000, -62.133, -92.042, -31.290
2020.000,  11.000, -50.205, -80.189, -20.085
2020.000,  12.000,  23.786,  -6.769,  54.435
2021.000,   1.000,   5.966, -23.728,  35.741
2021.000,   2.000,-114.916,-144.177, -86.760
2021.000,   3.000,  81.811,  52.504, 111.439
2021.000,   4.000,  56.039,  26.889,  85.617
2021.000,   5.000,   9.015, -21.532,  40.163
2021.000,   6.000,  52.738,  22.867,  82.980
2021.000,   7.000,  67.119,  37.006,  96.475
2021.000,   8.000, -65.201, -97.047, -34.678
2021.000,   9.000, -93.972,-123.645, -62.273
2021.000,  10.000,  59.097,  27.215,  90.678
2021.000,  11.000,-149.164,-180.894,-117.209
2021.000,  12.000,  22.112, -10.164,  54.551
2022.000,   1.000,-134.268,-165.251,-102.942
2022.000,   2.000,  39.861,   9.076,  70.400
2022.000,   3.000,  87.182,  55.258, 117.583
