Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0, 253.3, 236.1, 269.1
2012.0,   5.0, 257.3, 240.0, 275.4
2012.0,   6.0, 251.5, 234.0, 269.3
2012.0,   7.0, 252.4, 234.7, 270.0
2012.0,   8.0, 218.6, 201.3, 236.0
2012.0,   9.0, 224.9, 206.6, 241.7
2012.0,  10.0, 169.0, 151.2, 186.3
2012.0,  11.0, 156.5, 138.7, 173.8
2012.0,  12.0, 182.6, 165.6, 198.7
2013.0,   1.0, 193.4, 178.7, 208.7
2013.0,   2.0, 179.4, 163.7, 194.6
2013.0,   3.0, 204.0, 188.1, 219.6
2013.0,   4.0, 226.1, 209.4, 244.3
2013.0,   5.0, 237.2, 219.2, 255.1
2013.0,   6.0, 206.4, 188.6, 223.2
2013.0,   7.0, 175.9, 158.7, 193.6
2013.0,   8.0, 145.5, 128.3, 162.4
2013.0,   9.0, 111.9,  94.5, 129.8
2013.0,  10.0, 218.2, 200.5, 235.6
2013.0,  11.0, 213.2, 196.0, 230.1
2013.0,  12.0, 161.0, 143.9, 177.0
2014.0,   1.0, 183.5, 168.6, 199.6
2014.0,   2.0, 191.5, 176.7, 206.6
2014.0,   3.0, 226.5, 211.4, 241.7
2014.0,   4.0, 239.9, 223.1, 257.3
2014.0,   5.0, 147.1, 129.7, 164.9
2014.0,   6.0, 159.1, 141.8, 177.1
2014.0,   7.0, 249.2, 231.4, 267.5
2014.0,   8.0, 248.3, 230.9, 265.7
2014.0,   9.0, 266.8, 249.2, 284.5
2014.0,  10.0, 257.7, 240.2, 274.3
2014.0,  11.0, 230.4, 213.2, 247.5
2014.0,  12.0, 253.9, 237.3, 269.9
2015.0,   1.0, 190.4, 174.1, 206.4
2015.0,   2.0, 190.8, 175.1, 206.3
2015.0,   3.0, 236.6, 220.8, 251.8
2015.0,   4.0, 248.2, 231.1, 265.3
2015.0,   5.0, 256.8, 238.9, 273.7
2015.0,   6.0, 238.4, 220.9, 255.8
2015.0,   7.0, 239.4, 222.4, 256.6
2015.0,   8.0, 239.3, 222.1, 256.1
2015.0,   9.0, 266.8, 249.4, 284.1
2015.0,  10.0, 258.5, 240.3, 276.0
2015.0,  11.0, 229.9, 212.7, 247.4
2015.0,  12.0, 247.3, 230.4, 264.7
2016.0,   1.0, 200.0, 184.7, 214.9
2016.0,   2.0, 190.9, 175.7, 206.0
2016.0,   3.0, 219.3, 203.8, 234.1
2016.0,   4.0, 248.1, 230.8, 265.5
2016.0,   5.0, 258.1, 241.1, 276.1
2016.0,   6.0, 230.7, 213.3, 248.5
2016.0,   7.0, 258.5, 240.0, 276.0
2016.0,   8.0, 239.2, 222.0, 255.7
2016.0,   9.0, 239.0, 221.9, 256.5
2016.0,  10.0, 258.2, 241.2, 275.5
2016.0,  11.0, 156.8, 139.3, 174.4
2016.0,  12.0, 173.6, 157.4, 191.0
2017.0,   1.0, 142.9, 127.4, 158.2
2017.0,   2.0, 153.0, 138.1, 168.1
2017.0,   3.0, 146.3, 130.7, 161.5
2017.0,   4.0, 165.7, 148.6, 182.4
2017.0,   5.0, 129.0, 110.8, 146.6
2017.0,   6.0, 176.9, 158.5, 194.0
2017.0,   7.0, 157.1, 139.5, 174.5
2017.0,   8.0, 175.9, 158.7, 193.3
2017.0,   9.0, 148.2, 131.5, 165.4
2017.0,  10.0, 174.4, 156.5, 191.8
2017.0,  11.0, 155.4, 139.1, 172.4
2017.0,  12.0, 173.9, 157.1, 190.7
2018.0,   1.0, 162.7, 147.5, 178.5
2018.0,   2.0, 152.2, 136.7, 166.9
2018.0,   3.0, 173.5, 158.8, 189.5
2018.0,   4.0, 174.9, 157.8, 192.9
2018.0,   5.0, 184.2, 166.0, 202.2
2018.0,   6.0, 185.6, 168.9, 202.1
2018.0,   7.0, 157.6, 139.3, 175.4
2018.0,   8.0, 185.6, 168.3, 203.3
2018.0,   9.0, 192.9, 175.9, 210.4
2018.0,  10.0, 165.3, 148.1, 182.2
2018.0,  11.0, 146.2, 129.9, 163.5
2018.0,  12.0, 165.4, 149.0, 182.0
2019.0,   1.0, 152.1, 136.9, 168.0
2019.0,   2.0, 153.4, 138.3, 168.7
2019.0,   3.0, 164.7, 149.5, 181.1
2019.0,   4.0, 165.2, 147.4, 182.2
2019.0,   5.0, 175.4, 156.7, 192.8
2019.0,   6.0, 166.6, 149.1, 182.6
2019.0,   7.0, 185.2, 167.8, 203.1
2019.0,   8.0, 195.3, 177.6, 212.1
2019.0,   9.0, 248.5, 230.7, 266.9
2019.0,  10.0, 230.8, 212.8, 248.4
2019.0,  11.0, 257.3, 240.1, 274.6
2019.0,  12.0, 156.7, 140.8, 173.3
2020.0,   1.0, 208.9, 193.5, 224.3
2020.0,   2.0, 209.2, 194.4, 224.5
2020.0,   3.0, 219.1, 202.5, 235.3
2020.0,   4.0, 267.1, 249.4, 284.4
2020.0,   5.0, 267.4, 250.0, 284.8
2020.0,   6.0, 239.7, 222.0, 257.4
2020.0,   7.0, 267.8, 250.4, 285.8
2020.0,   8.0, 248.6, 231.4, 265.4
2020.0,   9.0, 258.4, 240.4, 275.8
2020.0,  10.0, 267.8, 250.5, 285.6
2020.0,  11.0, 257.5, 240.4, 274.9
2020.0,  12.0, 265.5, 248.3, 282.3
2021.0,   1.0, 198.5, 183.2, 214.2
2021.0,   2.0, 200.9, 185.5, 216.1
2021.0,   3.0, 246.2, 231.1, 261.7
2021.0,   4.0, 266.9, 249.1, 283.0
2021.0,   5.0, 258.8, 240.7, 276.7
2021.0,   6.0, 239.2, 221.0, 257.0
2021.0,   7.0, 266.2, 248.0, 283.8
2021.0,   8.0, 229.7, 213.0, 246.9
2021.0,   9.0, 212.2, 194.9, 230.2
2021.0,  10.0, 247.8, 229.8, 265.8
2021.0,  11.0, 248.2, 230.2, 265.1
2021.0,  12.0, 229.3, 212.8, 245.8
2022.0,   1.0, 198.9, 183.9, 215.0
2022.0,   2.0, 197.9, 182.9, 212.6
2022.0,   3.0, 199.4, 183.3, 215.3
