Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.00000,   4.00000,  32.20960,  20.21386,  44.13576
2012.00000,   5.00000,  28.03727,  13.23343,  43.86895
2012.00000,   6.00000,  70.99990,  55.35852,  86.63828
2012.00000,   7.00000, 106.01594,  89.85715, 122.01472
2012.00000,   8.00000, 146.35443, 129.67938, 162.86341
2012.00000,   9.00000, 191.47325, 173.21617, 209.50846
2012.00000,  10.00000, 181.79364, 163.85384, 200.80846
2012.00000,  11.00000, 115.56595,  97.50894, 133.02443
2012.00000,  12.00000,  84.65511,  67.48900, 101.68106
2013.00000,   1.00000,  52.08217,  37.36079,  67.18777
2013.00000,   2.00000,  17.12375,   1.59178,  31.57814
2013.00000,   3.00000,  27.55598,  14.00173,  41.11447
2013.00000,   4.00000,   5.01902,  -6.83215,  17.11994
2013.00000,   5.00000,  32.37113,  17.03369,  47.19005
2013.00000,   6.00000,  20.02616,   2.98509,  34.92570
2013.00000,   7.00000,  81.50212,  64.45928,  97.44346
2013.00000,   8.00000, 105.12796,  88.98126, 121.73438
2013.00000,   9.00000, 162.51160, 145.44284, 180.40688
2013.00000,  10.00000, 166.80524, 148.06283, 184.87817
2013.00000,  11.00000, 167.08088, 148.97187, 184.60732
2013.00000,  12.00000,  81.53429,  65.71290,  98.42657
2014.00000,   1.00000,  43.49197,  27.53473,  58.91909
2014.00000,   2.00000,  18.80434,   4.28419,  34.39031
2014.00000,   3.00000,  10.90780,  -3.13755,  24.06645
2014.00000,   4.00000,  -6.57377, -18.72123,   4.80771
2014.00000,   5.00000,  -2.93455, -17.76833,  12.43557
2014.00000,   6.00000,  23.68742,   8.61262,  41.07623
2014.00000,   7.00000,  86.46305,  70.47962, 102.70019
2014.00000,   8.00000,  93.74532,  77.32974, 111.08808
2014.00000,   9.00000, 131.60856, 113.65788, 149.23379
2014.00000,  10.00000, 148.58520, 128.88005, 165.20986
2014.00000,  11.00000, 165.31979, 147.57342, 183.72480
2014.00000,  12.00000,  76.65106,  59.82263,  94.23221
2015.00000,   1.00000,  41.98380,  26.36219,  56.64209
2015.00000,   2.00000,  27.38306,  12.82712,  43.58234
2015.00000,   3.00000,  12.70992,  -0.53284,  25.96747
2015.00000,   4.00000,  -0.96481, -12.79515,  10.68206
2015.00000,   5.00000,  -5.30151, -20.76520,  10.33107
2015.00000,   6.00000,   8.81960,  -7.13242,  24.43349
2015.00000,   7.00000,  52.12946,  35.24072,  68.70225
2015.00000,   8.00000, 118.24565, 101.40620, 135.02674
2015.00000,   9.00000, 123.58308, 105.94620, 141.65942
2015.00000,  10.00000, 196.66129, 178.06857, 215.52317
2015.00000,  11.00000, 113.13872,  95.86071, 130.39574
2015.00000,  12.00000,  77.15120,  60.26179,  93.46057
2016.00000,   1.00000,  69.35067,  54.15022,  84.26439
