Year,Month,Median,2.5 Percentile,97.5 Percentile
2012,   4,6073,5889,6266
2012,   5,5871,5683,6061
2012,   6,5773,5587,5965
2012,   7,5524,5340,5707
2012,   8,5291,5116,5485
2012,   9,5111,4927,5291
2012,  10,5124,4929,5308
2012,  11,5215,5032,5394
2012,  12,5152,4971,5332
2013,   1,5436,5263,5619
2013,   2,5120,4947,5306
2013,   3,5341,5156,5523
2013,   4,5402,5215,5589
2013,   5,5707,5523,5894
2013,   6,5494,5315,5670
2013,   7,5848,5667,6022
2013,   8,5852,5673,6030
2013,   9,5690,5513,5852
2013,  10,5708,5529,5890
2013,  11,5738,5562,5909
2013,  12,5653,5477,5825
2014,   1,5382,5211,5556
2014,   2,5282,5110,5465
2014,   3,5245,5067,5423
2014,   4,5904,5725,6090
2014,   5,6164,5987,6349
2014,   6,6297,6112,6480
2014,   7,6197,6017,6382
2014,   8,6130,5961,6317
2014,   9,5942,5770,6121
2014,  10,5931,5754,6105
2014,  11,6173,5995,6341
2014,  12,6091,5913,6271
2015,   1,5756,5585,5928
2015,   2,5597,5432,5770
2015,   3,5369,5192,5543
2015,   4,5863,5688,6046
2015,   5,5817,5638,6012
2015,   6,6220,6027,6389
2015,   7,6794,6622,6972
2015,   8,6746,6575,6922
2015,   9,6322,6145,6498
2015,  10,6211,6038,6388
2015,  11,6183,6013,6364
2015,  12,5946,5775,6108
2016,   1,6251,6086,6422
2016,   2,6352,6186,6514
2016,   3,6368,6194,6545
2016,   4,6639,6460,6819
2016,   5,6853,6671,7033
2016,   6,6723,6551,6900
2016,   7,6508,6330,6682
2016,   8,6269,6091,6440
2016,   9,5975,5796,6146
2016,  10,5991,5825,6166
2016,  11,6305,6131,6478
2016,  12,6177,6004,6346
2017,   1,6244,6076,6404
2017,   2,6540,6361,6715
2017,   3,6418,6245,6591
2017,   4,6885,6710,7063
2017,   5,7298,7127,7474
2017,   6,7222,7051,7411
2017,   7,7135,6960,7305
2017,   8,6730,6559,6907
2017,   9,6708,6531,6880
2017,  10,6580,6403,6751
2017,  11,6757,6594,6929
2017,  12,6677,6508,6853
2018,   1,6407,6246,6567
2018,   2,6314,6155,6484
2018,   3,6899,6726,7072
2018,   4,7275,7097,7450
2018,   5,7333,7152,7509
2018,   6,7290,7118,7472
2018,   7,7040,6874,7214
2018,   8,6924,6750,7089
2018,   9,6542,6376,6708
2018,  10,6742,6574,6910
2018,  11,6918,6746,7086
2018,  12,6957,6785,7138
2019,   1,6888,6721,7052
2019,   2,6887,6712,7053
2019,   3,6848,6673,7017
2019,   4,6901,6721,7067
2019,   5,7832,7654,8018
2019,   6,7808,7626,7999
2019,   7,7869,7694,8041
2019,   8,7709,7543,7877
2019,   9,7260,7092,7432
2019,  10,7214,7048,7385
2019,  11,7140,6969,7305
2019,  12,7407,7237,7573
2020,   1,7384,7218,7548
2020,   2,7693,7521,7863
2020,   3,7654,7488,7826
2020,   4,7952,7762,8140
2020,   5,7814,7629,7992
2020,   6,7880,7707,8064
2020,   7,7813,7635,7989
2020,   8,7493,7329,7659
2020,   9,7192,7020,7371
2020,  10,7042,6873,7215
2020,  11,7103,6925,7270
2020,  12,7035,6854,7214
2021,   1,7121,6943,7288
2021,   2,6833,6660,7009
2021,   3,6725,6547,6900
2021,   4,6822,6646,6997
2021,   5,6876,6689,7069
2021,   6,6742,6563,6926
2021,   7,6922,6740,7109
2021,   8,7002,6818,7178
2021,   9,6858,6672,7039
2021,  10,6722,6547,6899
2021,  11,7148,6975,7323
2021,  12,6910,6722,7089
2022,   1,6903,6719,7078
2022,   2,6473,6288,6648
2022,   3,6788,6602,6967
