Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0,  32.5,  22.4,  42.5
2012.0,   5.0,  59.8,  48.1,  71.4
2012.0,   6.0,  59.6,  48.0,  71.0
2012.0,   7.0,  77.7,  66.1,  89.2
2012.0,   8.0,  78.8,  67.2,  90.6
2012.0,   9.0, 110.4,  98.9, 122.4
2012.0,  10.0, 152.8, 140.5, 164.9
2012.0,  11.0,  35.7,  25.3,  46.8
2012.0,  12.0,  91.4,  80.4, 103.0
2013.0,   1.0,  71.4,  60.0,  82.7
2013.0,   2.0,  66.6,  55.1,  77.5
2013.0,   3.0,  48.2,  37.2,  59.2
2013.0,   4.0, 103.7,  92.6, 114.3
2013.0,   5.0,  71.5,  60.0,  83.3
2013.0,   6.0, 149.5, 137.7, 161.2
2013.0,   7.0, 134.1, 121.7, 145.6
2013.0,   8.0,  75.0,  63.6,  86.6
2013.0,   9.0,  74.0,  62.0,  85.7
2013.0,  10.0, 107.2,  95.0, 120.1
2013.0,  11.0,  82.9,  71.4,  94.1
2013.0,  12.0, 101.0,  90.3, 111.9
2014.0,   1.0,  63.1,  51.6,  74.5
2014.0,   2.0,  63.0,  51.5,  73.9
2014.0,   3.0,  52.1,  40.8,  63.0
2014.0,   4.0, 106.6,  94.8, 118.2
2014.0,   5.0, 107.8,  95.6, 119.6
2014.0,   6.0,  97.9,  86.2, 109.3
2014.0,   7.0, 109.6,  98.0, 121.4
2014.0,   8.0,  83.6,  71.6,  94.7
2014.0,   9.0, 100.1,  88.5, 112.2
2014.0,  10.0,  88.5,  76.7, 100.2
2014.0,  11.0,  88.3,  76.0, 100.1
2014.0,  12.0,  44.3,  34.1,  55.2
2015.0,   1.0,  68.2,  57.1,  80.1
2015.0,   2.0,  40.9,  29.4,  52.0
2015.0,   3.0,  41.6,  31.1,  52.6
2015.0,   4.0,  77.6,  66.6,  88.8
2015.0,   5.0,  91.7,  79.9, 103.6
2015.0,   6.0, 166.2, 154.4, 178.3
2015.0,   7.0,  72.8,  61.4,  84.5
2015.0,   8.0,  68.7,  57.5,  80.2
2015.0,   9.0,  83.7,  72.0,  95.0
2015.0,  10.0,  63.5,  51.7,  75.5
2015.0,  11.0,  58.4,  47.5,  69.8
2015.0,  12.0,  76.8,  65.8,  88.0
2016.0,   1.0,  49.4,  38.5,  60.6
2016.0,   2.0,  71.9,  60.6,  83.9
2016.0,   3.0, 109.6,  98.3, 120.5
2016.0,   4.0,  73.4,  62.0,  84.3
2016.0,   5.0,  58.6,  46.8,  70.1
2016.0,   6.0,  38.8,  27.9,  50.0
2016.0,   7.0,  70.7,  59.0,  82.4
2016.0,   8.0,  87.3,  75.6,  99.4
2016.0,   9.0, 104.7,  92.9, 116.3
2016.0,  10.0,  86.4,  74.7,  98.2
2016.0,  11.0,  51.5,  40.7,  62.3
2016.0,  12.0,  85.1,  74.2,  95.7
2017.0,   1.0, 101.0,  90.0, 112.4
2017.0,   2.0,  61.2,  49.6,  72.4
2017.0,   3.0,  90.3,  79.5, 101.2
2017.0,   4.0, 104.5,  93.2, 115.2
2017.0,   5.0, 139.0, 127.5, 150.2
2017.0,   6.0,  79.7,  68.5,  91.6
2017.0,   7.0,  68.6,  57.3,  79.8
2017.0,   8.0,  72.7,  61.6,  84.4
2017.0,   9.0,  46.2,  34.8,  57.4
2017.0,  10.0,  93.6,  82.3, 105.4
2017.0,  11.0, 130.9, 120.0, 142.2
2017.0,  12.0,  67.8,  57.5,  78.7
2018.0,   1.0,  56.9,  45.4,  68.1
2018.0,   2.0,  88.9,  78.1, 100.8
2018.0,   3.0,  78.9,  68.3,  89.7
2018.0,   4.0,  98.7,  87.8, 109.9
2018.0,   5.0, 104.5,  93.1, 116.0
2018.0,   6.0,  81.6,  70.4,  93.1
2018.0,   7.0,  60.4,  49.1,  71.6
2018.0,   8.0,  94.6,  82.8, 105.7
2018.0,   9.0,  84.6,  73.9,  96.0
2018.0,  10.0, 104.7,  93.4, 116.6
2018.0,  11.0, 118.6, 107.7, 129.7
2018.0,  12.0,  57.8,  47.4,  69.0
2019.0,   1.0,  87.5,  76.6,  98.7
2019.0,   2.0,  62.4,  51.4,  73.4
2019.0,   3.0,  70.4,  59.7,  81.2
2019.0,   4.0, 107.2,  96.3, 118.2
2019.0,   5.0,  95.6,  84.3, 107.1
2019.0,   6.0, 118.5, 107.0, 129.9
2019.0,   7.0,  91.7,  80.9, 102.3
2019.0,   8.0,  79.4,  67.7,  90.7
2019.0,   9.0,  65.9,  54.6,  77.6
2019.0,  10.0,  92.5,  80.6, 104.5
2019.0,  11.0,  71.4,  61.0,  82.1
2019.0,  12.0,  68.5,  58.1,  79.3
2020.0,   1.0,  85.9,  75.1,  97.5
2020.0,   2.0,  48.2,  37.1,  59.3
2020.0,   3.0, 103.5,  92.6, 114.3
2020.0,   4.0,  69.8,  58.9,  80.3
2020.0,   5.0,  85.3,  74.0,  96.3
2020.0,   6.0,  57.6,  46.9,  69.1
2020.0,   7.0,  80.9,  69.8,  92.5
2020.0,   8.0,  78.2,  66.4,  90.3
2020.0,   9.0,  66.8,  55.7,  78.6
2020.0,  10.0, 104.5,  92.7, 116.4
2020.0,  11.0,  65.8,  54.2,  76.9
2020.0,  12.0,  84.8,  73.9,  96.0
2021.0,   1.0,  39.8,  29.0,  51.0
2021.0,   2.0,  32.1,  21.4,  42.6
2021.0,   3.0,  33.8,  23.5,  44.6
2021.0,   4.0,  66.3,  55.9,  76.3
2021.0,   5.0,  60.1,  48.7,  71.1
2021.0,   6.0, 107.1,  96.1, 118.3
2021.0,   7.0, 154.5, 142.9, 165.7
2021.0,   8.0,  98.6,  87.3, 110.5
2021.0,   9.0, 109.5,  97.7, 120.9
2021.0,  10.0, 151.4, 140.2, 163.2
2021.0,  11.0,  71.8,  60.5,  83.1
2021.0,  12.0,  76.4,  65.8,  87.2
2022.0,   1.0,  41.2,  30.6,  52.3
2022.0,   2.0,  68.4,  57.0,  79.6
2022.0,   3.0,  60.4,  49.6,  71.3
