Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0,  50.7,  38.8,  63.8
2012.0,   5.0,  45.1,  32.0,  59.8
2012.0,   6.0,  25.8,  16.6,  37.3
2012.0,   7.0,  20.3,  13.2,  29.5
2012.0,   8.0,  21.6,  12.2,  33.9
2012.0,   9.0,  28.8,  16.4,  42.9
2012.0,  10.0,  53.4,  36.9,  69.2
2012.0,  11.0,  55.0,  40.2,  71.1
2012.0,  12.0,  65.1,  48.6,  81.0
2013.0,   1.0, 119.9, 102.9, 136.5
2013.0,   2.0,  94.6,  79.0, 111.6
2013.0,   3.0,  98.4,  82.7, 114.8
2013.0,   4.0, 161.9, 145.7, 178.8
2013.0,   5.0,  52.5,  38.6,  67.0
2013.0,   6.0,  85.0,  70.0, 101.1
2013.0,   7.0,  75.2,  59.7,  90.7
2013.0,   8.0,  25.5,  14.8,  38.2
2013.0,   9.0,  24.2,  13.2,  36.6
2013.0,  10.0,  47.1,  31.1,  63.0
2013.0,  11.0,  73.3,  58.2,  89.6
2013.0,  12.0, 142.2, 124.8, 159.6
2014.0,   1.0,  75.5,  58.2,  91.6
2014.0,   2.0,  97.1,  81.1, 113.3
2014.0,   3.0,  99.3,  83.4, 116.0
2014.0,   4.0, 146.3, 130.2, 162.4
2014.0,   5.0,  89.3,  74.5, 105.2
2014.0,   6.0,  44.5,  31.5,  58.3
2014.0,   7.0,  27.7,  18.2,  39.2
2014.0,   8.0,  29.2,  17.4,  43.0
2014.0,   9.0,  48.2,  33.5,  63.5
2014.0,  10.0,  34.6,  19.5,  50.5
2014.0,  11.0,  54.7,  39.6,  70.0
2014.0,  12.0,  48.5,  33.7,  64.1
2015.0,   1.0,  61.5,  46.1,  78.0
2015.0,   2.0,  24.9,  14.8,  38.0
2015.0,   3.0, 112.5,  95.6, 129.7
2015.0,   4.0, 104.7,  89.5, 121.0
2015.0,   5.0,  55.3,  40.6,  70.7
2015.0,   6.0, 144.4, 128.3, 160.9
2015.0,   7.0,  70.5,  56.2,  86.0
2015.0,   8.0,  21.0,  12.1,  32.9
2015.0,   9.0,  28.4,  16.4,  42.4
2015.0,  10.0,  22.8,  11.1,  37.4
2015.0,  11.0,  39.3,  25.7,  53.9
2015.0,  12.0,  63.0,  47.1,  79.2
2016.0,   1.0,  74.4,  57.9,  90.0
2016.0,   2.0,  88.4,  72.6, 104.1
2016.0,   3.0, 124.9, 108.7, 141.2
2016.0,   4.0, 120.7, 103.7, 137.3
2016.0,   5.0,  64.2,  48.1,  80.6
2016.0,   6.0,  29.1,  18.6,  41.8
