Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.000,   4.000,   0.607, -24.337,  25.052
2012.000,   5.000,  16.132,  -7.917,  40.125
2012.000,   6.000,  14.949,  -8.682,  38.813
2012.000,   7.000, -22.863, -47.772,   0.631
2012.000,   8.000, -71.247, -94.804, -46.473
2012.000,   9.000,-111.163,-135.814, -85.812
2012.000,  10.000, -34.575, -62.026,  -7.875
2012.000,  11.000, -94.638,-120.051, -68.449
2012.000,  12.000, -55.371, -82.096, -29.287
2013.000,   1.000, -18.574, -45.486,   6.909
2013.000,   2.000,  12.536, -12.825,  38.076
2013.000,   3.000,  -3.448, -27.218,  22.109
2013.000,   4.000, 219.441, 195.931, 243.546
2013.000,   5.000, 128.482, 104.758, 152.802
2013.000,   6.000,  72.995,  49.338,  96.091
2013.000,   7.000,  33.918,   9.965,  56.886
2013.000,   8.000,  10.948, -12.770,  34.627
2013.000,   9.000, -28.611, -52.768,  -3.394
2013.000,  10.000,   2.423, -24.109,  28.046
2013.000,  11.000,   3.224, -21.481,  29.370
2013.000,  12.000, -72.150, -97.669, -47.175
2014.000,   1.000, -10.478, -36.646,  15.724
2014.000,   2.000, -22.992, -47.287,   2.094
2014.000,   3.000,  -4.060, -26.599,  21.192
2014.000,   4.000, 180.781, 156.209, 204.896
2014.000,   5.000, 151.675, 127.851, 175.458
2014.000,   6.000, 109.708,  85.625, 132.896
2014.000,   7.000,  55.799,  30.906,  79.034
2014.000,   8.000,  56.871,  33.371,  81.317
2014.000,   9.000,  43.511,  19.144,  68.033
2014.000,  10.000,  50.759,  24.880,  76.994
2014.000,  11.000,   2.060, -23.561,  28.208
2014.000,  12.000, -36.392, -61.232, -10.931
2015.000,   1.000, -37.491, -63.302, -12.482
2015.000,   2.000, -38.027, -62.305, -13.016
2015.000,   3.000, -32.519, -55.528,  -8.042
2015.000,   4.000,  65.479,  42.032,  89.282
2015.000,   5.000,  77.581,  54.008, 101.512
2015.000,   6.000,  74.444,  51.971,  97.245
2015.000,   7.000,  23.963,  -0.098,  46.667
2015.000,   8.000,   7.643, -15.689,  31.663
2015.000,   9.000, -17.908, -42.156,   6.707
2015.000,  10.000, -80.841,-106.318, -55.110
2015.000,  11.000, -23.442, -48.086,   2.249
2015.000,  12.000,  39.689,  14.643,  65.352
2016.000,   1.000, -63.325, -89.283, -38.619
