Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0,  52.5,  45.3,  59.4
2012.0,   5.0,  70.0,  62.7,  77.0
2012.0,   6.0,  68.7,  60.9,  76.4
2012.0,   7.0,  80.9,  72.8,  89.2
2012.0,   8.0,  78.7,  70.4,  87.6
2012.0,   9.0,  68.4,  60.1,  76.3
2012.0,  10.0,  53.9,  47.7,  60.2
2012.0,  11.0,  42.8,  37.0,  48.7
2012.0,  12.0,  48.7,  42.2,  55.1
2013.0,   1.0,  54.1,  48.4,  60.0
2013.0,   2.0,  59.4,  53.0,  65.6
2013.0,   3.0,  74.2,  67.9,  80.8
2013.0,   4.0, 116.3, 108.9, 123.4
2013.0,   5.0,  81.6,  74.3,  89.0
2013.0,   6.0,  95.5,  87.8, 103.3
2013.0,   7.0,  72.2,  64.2,  80.7
2013.0,   8.0,  69.6,  61.8,  78.1
2013.0,   9.0,  68.2,  60.0,  76.5
2013.0,  10.0,  60.6,  54.4,  67.0
2013.0,  11.0,  59.5,  53.6,  65.0
2013.0,  12.0,  48.6,  41.9,  54.8
2014.0,   1.0,  62.1,  56.4,  67.9
2014.0,   2.0,  64.2,  58.1,  70.4
2014.0,   3.0,  89.9,  83.5,  96.3
2014.0,   4.0,  74.5,  67.5,  81.9
2014.0,   5.0,  97.8,  90.6, 105.1
2014.0,   6.0,  98.2,  90.8, 105.7
2014.0,   7.0, 116.6, 108.0, 124.4
2014.0,   8.0,  98.4,  89.9, 107.1
2014.0,   9.0,  79.8,  72.0,  87.8
2014.0,  10.0,  67.3,  61.3,  73.9
2014.0,  11.0,  47.8,  41.8,  53.5
2014.0,  12.0,  44.9,  38.2,  50.7
2015.0,   1.0,  50.1,  44.1,  56.2
2015.0,   2.0,  42.5,  36.4,  48.8
2015.0,   3.0,  64.3,  57.8,  71.0
2015.0,   4.0,  66.0,  58.7,  73.0
2015.0,   5.0,  76.8,  69.4,  84.0
2015.0,   6.0, 111.5, 103.9, 119.5
2015.0,   7.0,  77.9,  69.7,  86.3
2015.0,   8.0,  79.4,  70.7,  88.3
2015.0,   9.0,  93.4,  85.2, 101.4
2015.0,  10.0,  44.4,  38.1,  50.7
2015.0,  11.0,  62.3,  56.4,  68.1
2015.0,  12.0,  86.9,  80.6,  93.0
2016.0,   1.0,  66.1,  60.2,  72.0
2016.0,   2.0,  62.3,  56.0,  68.5
2016.0,   3.0,  68.3,  61.8,  74.9
2016.0,   4.0,  64.0,  57.4,  71.4
2016.0,   5.0,  95.3,  88.1, 102.6
2016.0,   6.0,  70.3,  62.5,  78.4
2016.0,   7.0,  94.2,  85.9, 102.6
2016.0,   8.0,  90.2,  81.5,  99.0
2016.0,   9.0,  63.4,  55.6,  71.6
2016.0,  10.0,  64.6,  58.3,  70.7
2016.0,  11.0,  51.6,  45.8,  57.2
2016.0,  12.0,  51.6,  45.3,  57.8
2017.0,   1.0,  78.0,  71.9,  83.9
2017.0,   2.0,  53.3,  47.2,  59.6
2017.0,   3.0,  91.9,  85.5,  98.3
2017.0,   4.0, 108.5, 101.2, 116.0
2017.0,   5.0,  96.8,  89.6, 104.1
2017.0,   6.0,  78.7,  70.9,  86.6
2017.0,   7.0, 109.1, 100.9, 117.4
2017.0,   8.0,  70.8,  62.3,  79.4
2017.0,   9.0,  62.3,  54.2,  70.6
2017.0,  10.0,  90.8,  84.6,  96.8
2017.0,  11.0,  90.6,  85.1,  96.7
2017.0,  12.0,  90.8,  84.6,  97.1
2018.0,   1.0,  90.8,  84.8,  97.1
2018.0,   2.0,  90.8,  84.6,  97.0
2018.0,   3.0,  90.9,  84.7,  97.4
2018.0,   4.0,  91.2,  83.9,  98.6
2018.0,   5.0,  91.1,  83.7,  98.2
2018.0,   6.0,  91.7,  84.0,  99.7
2018.0,   7.0,  92.0,  84.0, 100.4
2018.0,   8.0,  92.1,  83.4, 100.7
2018.0,   9.0,  91.5,  83.7,  99.4
2018.0,  10.0,  90.7,  84.3,  97.0
2018.0,  11.0,  90.6,  84.5,  96.4
2018.0,  12.0,  90.7,  84.2,  97.2
2019.0,   1.0,  90.8,  84.7,  97.0
2019.0,   2.0,  90.9,  84.5,  97.2
2019.0,   3.0,  90.8,  84.3,  97.2
2019.0,   4.0,  90.9,  83.8,  97.8
2019.0,   5.0,  91.0,  83.7,  98.4
2019.0,   6.0,  91.8,  84.0,  99.5
2019.0,   7.0,  91.9,  83.6, 100.0
2019.0,   8.0,  92.0,  83.3, 100.4
2019.0,   9.0,  91.3,  82.9,  99.5
2019.0,  10.0,  90.7,  84.4,  96.8
2019.0,  11.0,  90.6,  84.5,  96.0
2019.0,  12.0,  90.8,  84.2,  96.9
2020.0,   1.0,  90.8,  85.0,  97.1
2020.0,   2.0,  90.8,  84.7,  97.0
2020.0,   3.0,  90.9,  84.2,  97.1
2020.0,   4.0,  91.1,  83.9,  98.3
2020.0,   5.0,  91.2,  84.0,  98.4
2020.0,   6.0,  91.9,  84.0,  99.5
2020.0,   7.0,  92.2,  84.1, 100.7
2020.0,   8.0,  91.8,  83.3, 100.8
2020.0,   9.0,  91.3,  83.2,  99.6
2020.0,  10.0,  90.7,  84.7,  96.8
2020.0,  11.0,  90.5,  84.8,  96.2
2020.0,  12.0,  90.8,  84.4,  97.0
2021.0,   1.0,  90.9,  84.8,  96.8
2021.0,   2.0,  90.7,  84.6,  96.8
2021.0,   3.0,  90.9,  84.1,  97.3
2021.0,   4.0,  91.2,  83.9,  98.4
2021.0,   5.0,  91.1,  83.8,  98.4
