Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.00000,   4.00000,  33.93405,  23.36839,  44.25800
2012.00000,   5.00000,  15.42314,   5.68664,  25.23058
2012.00000,   6.00000,  20.70717,   8.61988,  31.55790
2012.00000,   7.00000,  49.29480,  35.73225,  62.78577
2012.00000,   8.00000,  95.73469,  80.29953, 111.48567
2012.00000,   9.00000, 126.74072, 110.89476, 142.86171
2012.00000,  10.00000, 117.88757, 102.97622, 134.38005
2012.00000,  11.00000, 101.81193,  86.49503, 118.21606
2012.00000,  12.00000,  96.88039,  81.15793, 113.19580
2013.00000,   1.00000,  96.01945,  80.70633, 111.70280
2013.00000,   2.00000,  56.52850,  42.37535,  70.69627
2013.00000,   3.00000,  48.38251,  34.74812,  62.79918
2013.00000,   4.00000,   5.29769,  -4.59499,  15.40422
2013.00000,   5.00000,   3.87226,  -5.71358,  13.25770
2013.00000,   6.00000,   7.83308,  -2.76323,  19.19884
2013.00000,   7.00000,  28.74413,  15.44792,  42.19712
2013.00000,   8.00000,  38.92231,  25.05848,  53.32107
2013.00000,   9.00000,  76.17416,  61.03219,  90.84653
2013.00000,  10.00000,  88.14693,  72.77616, 102.98209
2013.00000,  11.00000, 126.10892, 110.98261, 141.58383
2013.00000,  12.00000, 131.15498, 115.23154, 147.58735
2014.00000,   1.00000,  90.93129,  76.87351, 105.35857
2014.00000,   2.00000,  46.62418,  32.65879,  60.97212
2014.00000,   3.00000,  26.77226,  13.36839,  39.05356
2014.00000,   4.00000,  -0.69988, -10.56762,   9.22364
2014.00000,   5.00000,  -9.72288, -19.27570,   0.24631
2014.00000,   6.00000,  -5.69640, -16.92822,   4.97764
2014.00000,   7.00000,  17.64154,   4.31134,  31.09200
2014.00000,   8.00000,  16.87866,   1.89741,  31.07586
2014.00000,   9.00000,  48.19140,  33.03809,  62.67257
2014.00000,  10.00000,  69.15500,  53.81017,  84.06882
2014.00000,  11.00000, 113.65519,  97.77229, 129.01113
2014.00000,  12.00000,  85.85632,  70.84489, 101.00120
2015.00000,   1.00000,  80.25383,  65.71051,  95.04366
2015.00000,   2.00000,  60.81276,  47.18585,  74.78711
2015.00000,   3.00000,  34.92788,  21.68413,  48.06256
2015.00000,   4.00000,  10.37392,   0.80589,  20.24741
2015.00000,   5.00000,   0.87809,  -8.63352,  10.29748
2015.00000,   6.00000,  -5.01463, -15.40293,   5.87310
2015.00000,   7.00000,   4.17544,  -8.29294,  17.81059
2015.00000,   8.00000,  46.71209,  32.49554,  60.92524
2015.00000,   9.00000,  55.68690,  41.77456,  70.19345
2015.00000,  10.00000,  98.18109,  83.33495, 112.80116
2015.00000,  11.00000,  85.12702,  70.30740, 100.55918
2015.00000,  12.00000,  75.58539,  60.49122,  91.05481
2016.00000,   1.00000, 103.35386,  88.23162, 118.30231
2016.00000,   2.00000,  54.11422,  41.20569,  68.31740
2016.00000,   3.00000,  23.79374,  10.61187,  36.80209
2016.00000,   4.00000,  22.27775,  12.44195,  31.71584
2016.00000,   5.00000,  13.60798,   3.90612,  23.49262
2016.00000,   6.00000,  20.25595,   9.92750,  30.38206
2016.00000,   7.00000,  31.03298,  18.98028,  43.01870
2016.00000,   8.00000,  63.20551,  49.89228,  76.43494
2016.00000,   9.00000,  92.17345,  78.82161, 106.10187
2016.00000,  10.00000,  95.61397,  81.25956, 109.58126
2016.00000,  11.00000,  91.95737,  77.87617, 106.39868
2016.00000,  12.00000, 152.49161, 138.87696, 167.34023
2017.00000,   1.00000,  79.41533,  65.93893,  92.85206
2017.00000,   2.00000,  40.55862,  27.40486,  53.48877
2017.00000,   3.00000,  46.96706,  35.10037,  59.04395
2017.00000,   4.00000,   3.34070,  -5.91145,  12.74601
2017.00000,   5.00000,   4.23923,  -5.09101,  13.38434
2017.00000,   6.00000,   5.03547,  -5.23609,  15.57045
2017.00000,   7.00000,  17.21744,   4.65559,  29.25932
2017.00000,   8.00000,  54.34927,  41.19845,  67.07551
2017.00000,   9.00000,  55.84207,  42.52373,  69.57075
2017.00000,  10.00000,  93.98611,  80.06896, 107.62318
2017.00000,  11.00000, 120.34268, 106.60914, 133.77539
2017.00000,  12.00000, 135.15470, 121.42368, 149.48662
2018.00000,   1.00000,  74.25122,  62.43778,  85.23169
2018.00000,   2.00000,  34.37920,  24.00774,  44.72643
2018.00000,   3.00000,  42.35293,  31.86081,  52.71784
2018.00000,   4.00000,  22.80048,  14.87898,  30.83392
2018.00000,   5.00000,  -4.30372, -11.97033,   3.18212
2018.00000,   6.00000,   4.64448,  -3.46213,  13.24791
2018.00000,   7.00000,  26.92409,  16.52534,  37.57961
2018.00000,   8.00000,  48.85597,  37.26519,  59.94741
2018.00000,   9.00000,  75.13515,  63.82590,  86.82702
2018.00000,  10.00000,  95.42095,  83.91377, 107.05753
2018.00000,  11.00000, 103.82570,  91.99356, 115.66819
