Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0000,   4.0000,  83.0185,  67.6564,  98.3581
2012.0000,   5.0000, 100.6553,  85.3705, 116.0786
2012.0000,   6.0000,  91.1354,  76.2090, 106.8762
2012.0000,   7.0000,  45.7969,  30.6296,  61.7242
2012.0000,   8.0000,   0.9425, -16.1653,  18.2830
2012.0000,   9.0000, -36.0328, -53.7470, -18.1706
2012.0000,  10.0000,  48.6611,  29.3269,  67.2383
2012.0000,  11.0000, -20.6364, -39.8450,  -1.2464
2012.0000,  12.0000,  20.7467,   1.7882,  39.7883
2013.0000,   1.0000,  49.0297,  30.0593,  66.6618
2013.0000,   2.0000,  75.8442,  58.2106,  93.2504
2013.0000,   3.0000,  70.8669,  53.0743,  88.7888
2013.0000,   4.0000, 294.1861, 279.9818, 309.4400
2013.0000,   5.0000, 210.2664, 196.1189, 225.7487
2013.0000,   6.0000, 146.6696, 131.6215, 161.8168
2013.0000,   7.0000, 100.8887,  85.6499, 115.8126
2013.0000,   8.0000,  70.9193,  54.7913,  86.7719
2013.0000,   9.0000,  27.9068,  10.7491,  45.1028
2013.0000,  10.0000,  61.0298,  42.5598,  78.8159
2013.0000,  11.0000,  73.0572,  54.6293,  90.6004
2013.0000,  12.0000,  -2.0969, -20.9727,  16.3719
2014.0000,   1.0000,  36.5184,  19.2610,  54.3678
2014.0000,   2.0000,  25.4924,   8.8517,  42.3912
2014.0000,   3.0000,  67.4305,  51.0480,  83.9622
2014.0000,   4.0000, 255.0278, 240.3553, 270.6883
2014.0000,   5.0000, 226.5053, 211.5429, 241.1246
2014.0000,   6.0000, 173.7637, 159.2724, 188.8803
2014.0000,   7.0000, 113.4007,  98.9385, 128.6723
2014.0000,   8.0000, 115.4025,  99.9927, 132.9237
2014.0000,   9.0000, 110.2528,  93.7181, 126.8882
2014.0000,  10.0000, 120.3783, 102.1637, 137.8151
2014.0000,  11.0000,  67.0935,  49.3386,  85.8426
2014.0000,  12.0000,  44.3689,  26.2139,  62.5348
2015.0000,   1.0000,  18.6420,   1.5420,  36.2632
2015.0000,   2.0000,   1.7251, -14.5366,  17.7643
2015.0000,   3.0000,  45.7226,  29.9515,  62.3464
2015.0000,   4.0000, 155.6780, 141.1394, 170.5999
2015.0000,   5.0000, 159.3491, 144.1338, 173.5123
2015.0000,   6.0000, 154.3562, 139.7895, 169.1984
2015.0000,   7.0000,  89.4164,  74.7288, 103.7910
2015.0000,   8.0000,  74.1075,  58.2695,  89.8090
2015.0000,   9.0000,  55.5287,  39.0202,  72.4611
2015.0000,  10.0000,  -8.5589, -25.4393,   8.7709
2015.0000,  11.0000,  56.8576,  39.0799,  74.2155
2015.0000,  12.0000, 122.2360, 104.5286, 139.8695
2016.0000,   1.0000,  17.3242,   0.0938,  35.4332
2016.0000,   2.0000,  68.3336,  52.2120,  84.3117
2016.0000,   3.0000, 202.5016, 186.5645, 219.0125
2016.0000,   4.0000, 179.3411, 164.7309, 194.5230
2016.0000,   5.0000, 113.0271,  98.3392, 128.4977
2016.0000,   6.0000,  87.5100,  73.7613, 101.5450
2016.0000,   7.0000,  81.2997,  67.2971,  95.8013
2016.0000,   8.0000,  73.8260,  58.5463,  89.1372
2016.0000,   9.0000,  27.1184,  11.3885,  43.2306
2016.0000,  10.0000,  19.4666,   1.9459,  36.7544
2016.0000,  11.0000,  -2.4388, -19.1263,  14.4503
2016.0000,  12.0000, -27.8817, -44.4087, -11.2502
2017.0000,   1.0000,  66.4093,  50.2729,  84.1024
2017.0000,   2.0000,  81.8972,  65.5640,  97.8387
2017.0000,   3.0000, 121.0420, 105.1849, 137.2535
2017.0000,   4.0000, 248.2652, 233.5670, 262.6646
2017.0000,   5.0000, 196.5222, 181.8522, 211.6121
2017.0000,   6.0000, 198.7960, 184.1114, 213.0949
2017.0000,   7.0000, 127.3967, 112.7176, 142.0190
2017.0000,   8.0000,  66.7281,  51.2915,  81.9893
2017.0000,   9.0000,  24.5869,   8.8428,  40.6765
2017.0000,  10.0000,  94.5470,  77.3883, 112.2335
2017.0000,  11.0000,  21.3591,   4.1841,  38.1244
2017.0000,  12.0000, -15.9497, -32.6463,   1.0846
2018.0000,   1.0000,  48.2113,  31.8553,  64.4161
2018.0000,   2.0000,  98.3519,  82.8812, 112.8096
2018.0000,   3.0000,  48.8267,  33.4392,  64.0716
2018.0000,   4.0000, 170.3086, 156.2728, 184.1876
2018.0000,   5.0000, 206.3706, 192.3637, 220.3516
2018.0000,   6.0000, 118.6407, 104.9088, 132.7058
2018.0000,   7.0000,  66.8566,  53.4708,  80.5267
2018.0000,   8.0000, 111.2112,  97.3972, 125.2734
2018.0000,   9.0000,  39.4359,  24.7882,  54.9336
