Year,Month,Median,2.5 Percentile,97.5 Percentile
2012,   4,5050,4861,5222
2012,   5,5015,4870,5177
2012,   6,4856,4672,4998
2012,   7,4853,4688,5012
2012,   8,5023,4854,5176
2012,   9,4957,4806,5108
2012,  10,4910,4709,5073
2012,  11,4739,4586,4915
2012,  12,4666,4469,4834
2013,   1,4254,3969,4465
2013,   2,4236,4057,4429
2013,   3,4517,4375,4694
2013,   4,4635,4490,4825
2013,   5,4914,4756,5091
2013,   6,5177,5053,5343
2013,   7,4989,4862,5112
2013,   8,5074,4916,5234
2013,   9,5043,4855,5231
2013,  10,5056,4914,5275
2013,  11,5163,5024,5353
2013,  12,5037,4877,5186
2014,   1,3825,3673,3943
2014,   2,4007,3873,4146
2014,   3,4729,4547,4905
2014,   4,5154,4969,5294
2014,   5,5371,5209,5497
2014,   6,5358,5190,5464
2014,   7,5483,5339,5620
2014,   8,5534,5373,5723
2014,   9,5680,5535,5784
2014,  10,5884,5684,6066
2014,  11,5730,5587,5884
2014,  12,5799,5630,5964
2015,   1,4473,4333,4635
2015,   2,3884,3698,4034
2015,   3,5306,5140,5453
2015,   4,5874,5716,6055
2015,   5,5812,5650,5959
2015,   6,6074,5918,6271
2015,   7,5756,5624,5875
2015,   8,5754,5607,5952
2015,   9,5825,5680,6022
2015,  10,5742,5524,5955
2015,  11,5729,5548,5859
2015,  12,5756,5594,5893
2016,   1,5816,5629,5943
2016,   2,5671,5545,5827
2016,   3,5962,5833,6085
2016,   4,6160,6018,6313
2016,   5,5951,5781,6080
2016,   6,5980,5790,6195
2016,   7,5963,5794,6102
2016,   8,5856,5718,5996
2016,   9,6011,5904,6134
2016,  10,5880,5735,6033
2016,  11,5819,5651,5971
2016,  12,5720,5579,5930
2017,   1,5621,5458,5754
2017,   2,5648,5446,5789
2017,   3,5925,5748,6069
2017,   4,5855,5723,6007
2017,   5,6003,5844,6135
2017,   6,5882,5730,6052
2017,   7,6215,6069,6375
2017,   8,6351,6210,6491
2017,   9,6142,5990,6271
2017,  10,6125,5916,6290
2017,  11,6303,6160,6445
2017,  12,6016,5869,6223
2018,   1,4876,4716,5031
2018,   2,5550,5388,5678
2018,   3,6184,6009,6418
2018,   4,6135,5996,6269
2018,   5,6102,5958,6245
2018,   6,6224,6063,6359
2018,   7,6000,5858,6141
2018,   8,6112,5992,6263
2018,   9,6303,6171,6497
2018,  10,6397,6211,6556
2018,  11,6308,6122,6458
2018,  12,6139,5922,6277
2019,   1,5312,5151,5481
2019,   2,5367,5227,5487
2019,   3,6012,5827,6178
2019,   4,6467,6298,6631
2019,   5,6649,6497,6796
2019,   6,6845,6724,7019
2019,   7,6762,6607,6901
2019,   8,6886,6740,7043
2019,   9,6764,6628,6902
2019,  10,6925,6745,7050
2019,  11,7000,6831,7132
2019,  12,6815,6688,6953
2020,   1,7026,6833,7150
2020,   2,6943,6794,7113
2020,   3,6917,6746,7073
2020,   4,6911,6806,7074
2020,   5,7106,6968,7245
2020,   6,6965,6843,7102
2020,   7,7003,6759,7134
2020,   8,7017,6885,7159
2020,   9,6973,6823,7206
2020,  10,6934,6774,7068
2020,  11,6811,6648,6981
2020,  12,6734,6580,6923
2021,   1,6576,6438,6813
2021,   2,5435,5299,5589
2021,   3,6525,6312,6721
2021,   4,6340,6197,6499
2021,   5,6382,6237,6566
2021,   6,6171,6012,6288
2021,   7,6391,6213,6565
2021,   8,6348,6221,6496
2021,   9,6402,6235,6546
2021,  10,6373,6207,6544
2021,  11,6099,5874,6282
2021,  12,5994,5807,6152
2022,   1,5290,5105,5475
2022,   2,4727,4592,4879
2022,   3,5747,5592,5904
