Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0,  50.1,  41.5,  58.1
2012.0,   5.0,  55.6,  46.7,  63.9
2012.0,   6.0,  68.4,  60.2,  77.3
2012.0,   7.0,  61.3,  53.5,  68.7
2012.0,   8.0,  66.6,  58.5,  74.6
2012.0,   9.0,  65.8,  57.2,  74.4
2012.0,  10.0, 123.6, 114.8, 132.7
2012.0,  11.0,  35.5,  27.6,  43.3
2012.0,  12.0,  68.8,  60.9,  77.0
2013.0,   1.0,  90.8,  83.2,  98.7
2013.0,   2.0,  64.5,  57.1,  72.8
2013.0,   3.0,  43.2,  35.9,  51.5
2013.0,   4.0, 124.9, 116.5, 133.2
2013.0,   5.0,  83.0,  74.5,  91.6
2013.0,   6.0,  75.0,  66.6,  84.2
2013.0,   7.0,  78.5,  70.6,  86.0
2013.0,   8.0,  71.6,  63.7,  79.6
2013.0,   9.0,  65.9,  57.6,  74.6
2013.0,  10.0, 101.4,  92.7, 110.4
2013.0,  11.0, 105.6,  97.9, 113.6
2013.0,  12.0,  64.8,  56.8,  73.2
2014.0,   1.0,  73.3,  65.6,  81.2
2014.0,   2.0,  34.6,  27.0,  42.6
2014.0,   3.0,  41.9,  34.3,  49.9
2014.0,   4.0, 100.5,  92.6, 108.3
2014.0,   5.0,  78.8,  70.4,  87.4
2014.0,   6.0,  94.6,  85.5, 103.6
2014.0,   7.0,  81.2,  73.8,  89.0
2014.0,   8.0,  91.8,  83.8,  99.6
2014.0,   9.0, 104.2,  96.0, 112.8
2014.0,  10.0, 111.7, 103.3, 120.6
2014.0,  11.0,  96.0,  88.1, 104.3
2014.0,  12.0,  46.1,  38.4,  54.4
2015.0,   1.0,  44.1,  36.3,  51.8
2015.0,   2.0,  30.5,  23.1,  38.3
2015.0,   3.0,  26.2,  18.6,  34.2
2015.0,   4.0,  62.9,  55.1,  70.5
2015.0,   5.0,  85.5,  77.2,  94.3
2015.0,   6.0,  82.3,  73.9,  91.0
2015.0,   7.0,  49.3,  41.7,  56.8
2015.0,   8.0,  87.0,  79.1,  94.9
2015.0,   9.0,  77.5,  69.2,  86.0
2015.0,  10.0,  60.3,  51.9,  68.8
2015.0,  11.0,  92.4,  84.6, 100.8
2015.0,  12.0, 113.2, 105.3, 121.5
2016.0,   1.0,  51.1,  41.6,  60.8
2016.0,   2.0,  52.8,  43.4,  62.1
