Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0,  67.1,  56.6,  76.8
2012.0,   5.0,  60.5,  50.7,  70.9
2012.0,   6.0,  43.0,  35.5,  51.2
2012.0,   7.0,  33.6,  28.0,  40.3
2012.0,   8.0,  30.2,  25.6,  35.3
2012.0,   9.0,  24.7,  18.3,  31.5
2012.0,  10.0,  42.8,  33.0,  52.9
2012.0,  11.0,  45.9,  36.2,  55.8
2012.0,  12.0,  48.8,  39.0,  59.3
2013.0,   1.0,  54.2,  43.4,  65.7
2013.0,   2.0,  67.9,  57.5,  78.3
2013.0,   3.0,  76.1,  65.4,  87.3
2013.0,   4.0, 175.0, 164.1, 186.1
2013.0,   5.0, 131.0, 120.4, 142.1
2013.0,   6.0,  79.6,  70.1,  89.0
2013.0,   7.0,  50.9,  43.4,  58.9
2013.0,   8.0,  38.0,  32.6,  44.1
2013.0,   9.0,  38.2,  30.4,  47.1
2013.0,  10.0,  47.5,  37.4,  58.0
2013.0,  11.0,  93.8,  82.8, 104.0
2013.0,  12.0,  63.8,  53.7,  74.6
2014.0,   1.0,  54.1,  43.5,  64.2
2014.0,   2.0,  37.4,  28.2,  46.8
2014.0,   3.0,  52.2,  42.0,  62.3
2014.0,   4.0, 154.1, 142.9, 166.5
2014.0,   5.0, 138.1, 127.4, 149.3
2014.0,   6.0,  73.3,  64.1,  82.9
2014.0,   7.0,  49.8,  42.0,  58.0
2014.0,   8.0,  40.7,  34.9,  47.3
2014.0,   9.0,  54.0,  44.7,  63.7
2014.0,  10.0,  77.5,  67.7,  88.2
2014.0,  11.0,  84.7,  74.0,  95.6
2014.0,  12.0,  83.9,  73.3,  94.7
2015.0,   1.0,  55.0,  44.6,  65.6
2015.0,   2.0,  31.9,  23.5,  41.2
2015.0,   3.0,  54.5,  44.7,  64.8
2015.0,   4.0, 103.2,  92.3, 113.9
2015.0,   5.0,  74.5,  64.3,  85.0
2015.0,   6.0,  67.1,  57.8,  76.7
2015.0,   7.0,  44.3,  37.4,  52.1
2015.0,   8.0,  33.7,  28.8,  39.6
2015.0,   9.0,  33.5,  26.1,  42.5
2015.0,  10.0,  29.3,  21.0,  38.7
2015.0,  11.0,  49.5,  39.8,  59.2
2015.0,  12.0,  84.5,  73.8,  95.8
2016.0,   1.0,  69.7,  59.1,  81.1
2016.0,   2.0,  69.7,  59.5,  80.3
2016.0,   3.0, 117.4, 106.2, 128.1
2016.0,   4.0, 138.2, 126.6, 149.7
2016.0,   5.0,  80.3,  69.6,  91.1
2016.0,   6.0,  49.1,  40.8,  57.5
2016.0,   7.0,  39.3,  32.9,  46.4
2016.0,   8.0,  35.6,  30.3,  41.4
2016.0,   9.0,  33.5,  25.8,  41.5
2016.0,  10.0,  43.1,  33.3,  53.1
2016.0,  11.0,  38.1,  29.4,  47.9
2016.0,  12.0,  49.4,  39.9,  59.7
2017.0,   1.0,  71.2,  60.8,  82.7
2017.0,   2.0,  65.9,  55.9,  76.0
2017.0,   3.0,  91.1,  80.5, 102.1
2017.0,   4.0, 142.0, 131.1, 153.2
2017.0,   5.0, 118.2, 106.9, 128.7
2017.0,   6.0,  72.8,  63.8,  82.3
2017.0,   7.0,  55.1,  47.4,  63.2
2017.0,   8.0,  38.1,  32.5,  44.3
2017.0,   9.0,  32.7,  25.3,  41.0
2017.0,  10.0,  58.5,  48.5,  69.1
2017.0,  11.0,  72.0,  61.8,  82.4
2017.0,  12.0,  60.0,  50.1,  70.5
2018.0,   1.0,  61.1,  51.2,  71.8
2018.0,   2.0,  68.9,  58.7,  78.9
2018.0,   3.0,  62.3,  52.2,  73.1
2018.0,   4.0,  98.9,  88.8, 109.5
2018.0,   5.0, 106.3,  96.0, 117.0
2018.0,   6.0,  57.9,  49.1,  66.8
2018.0,   7.0,  36.7,  30.4,  43.6
2018.0,   8.0,  34.7,  29.4,  40.2
2018.0,   9.0,  38.0,  30.3,  46.7
2018.0,  10.0,  73.5,  63.7,  83.7
2018.0,  11.0,  66.6,  56.5,  77.1
2018.0,  12.0,  61.5,  51.8,  71.8
2019.0,   1.0,  54.8,  44.6,  65.3
2019.0,   2.0,  54.2,  44.3,  64.3
2019.0,   3.0,  83.5,  73.1,  94.3
2019.0,   4.0, 165.8, 154.7, 177.0
2019.0,   5.0, 148.1, 137.4, 159.1
2019.0,   6.0,  92.0,  82.4, 101.8
2019.0,   7.0,  54.3,  46.4,  62.3
2019.0,   8.0,  34.5,  29.5,  40.2
2019.0,   9.0,  48.7,  40.1,  57.7
2019.0,  10.0,  69.8,  59.7,  80.3
2019.0,  11.0,  83.8,  73.5,  94.2
2019.0,  12.0,  75.5,  65.3,  86.0
2020.0,   1.0,  95.4,  84.9, 106.3
2020.0,   2.0,  54.9,  45.2,  65.3
2020.0,   3.0,  89.7,  79.0, 100.2
2020.0,   4.0, 107.9,  97.4, 118.4
2020.0,   5.0, 114.5, 103.6, 125.4
2020.0,   6.0,  62.0,  52.9,  71.2
2020.0,   7.0,  43.5,  36.5,  50.8
2020.0,   8.0,  38.1,  32.6,  44.1
2020.0,   9.0,  41.2,  33.2,  50.0
2020.0,  10.0,  53.3,  43.7,  63.4
2020.0,  11.0,  65.8,  55.8,  75.7
2020.0,  12.0,  60.2,  50.4,  70.3
2021.0,   1.0,  38.3,  29.2,  48.5
2021.0,   2.0,  33.6,  25.0,  42.6
2021.0,   3.0,  66.3,  55.7,  76.8
2021.0,   4.0,  68.3,  57.9,  78.3
2021.0,   5.0,  56.2,  46.5,  65.9
2021.0,   6.0,  45.4,  37.5,  54.0
2021.0,   7.0,  47.4,  40.3,  55.3
2021.0,   8.0,  35.9,  30.5,  41.6
2021.0,   9.0,  36.3,  28.5,  45.1
2021.0,  10.0,  51.0,  40.7,  60.9
2021.0,  11.0,  45.9,  36.7,  55.3
2021.0,  12.0,  65.5,  55.3,  75.8
2022.0,   1.0,  44.6,  34.6,  55.1
2022.0,   2.0,  43.0,  33.5,  53.4
2022.0,   3.0,  87.8,  76.9,  99.2
