Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.000,   4.000,-107.190,-144.357, -70.848
2012.000,   5.000,   7.977, -29.084,  45.393
2012.000,   6.000, -48.954, -84.709, -11.207
2012.000,   7.000,-127.376,-163.486, -91.390
2012.000,   8.000,-152.512,-186.399,-116.707
2012.000,   9.000, -92.478,-128.637, -56.017
2012.000,  10.000, -51.981, -87.431, -15.458
2012.000,  11.000, -60.854, -95.550, -24.549
2012.000,  12.000,  74.756,  37.693, 110.674
2013.000,   1.000,  90.378,  53.910, 127.495
2013.000,   2.000,  79.087,  44.204, 115.154
2013.000,   3.000,  25.350,  -8.331,  63.076
2013.000,   4.000, 201.334, 165.525, 234.837
2013.000,   5.000, 105.882,  72.085, 141.701
2013.000,   6.000, 207.880, 174.475, 242.894
2013.000,   7.000, -69.059,-102.337, -35.100
2013.000,   8.000,-151.718,-184.875,-117.513
2013.000,   9.000,-171.990,-204.958,-138.205
2013.000,  10.000, -20.731, -54.884,  12.323
2013.000,  11.000, -52.250, -85.266, -18.120
2013.000,  12.000,  24.577, -10.247,  58.422
2014.000,   1.000,  -1.690, -36.241,  32.559
2014.000,   2.000, -73.039,-106.848, -38.366
2014.000,   3.000, -35.688, -68.442,  -1.894
2014.000,   4.000, 443.100, 410.408, 475.936
2014.000,   5.000, 138.258, 104.394, 171.791
2014.000,   6.000, -29.504, -61.656,   5.514
2014.000,   7.000,-119.229,-153.264, -87.566
2014.000,   8.000,-122.644,-154.223, -90.131
2014.000,   9.000,-174.127,-205.995,-140.746
2014.000,  10.000, -97.662,-131.553, -64.739
2014.000,  11.000, -73.140,-105.056, -40.594
2014.000,  12.000,  45.913,  13.066,  78.935
2015.000,   1.000,   5.183, -27.412,  40.120
2015.000,   2.000,-139.581,-172.301,-106.876
2015.000,   3.000,  -1.779, -33.973,  31.775
2015.000,   4.000, 281.305, 249.521, 314.246
2015.000,   5.000, 115.836,  83.654, 149.319
2015.000,   6.000, 320.229, 289.195, 354.044
2015.000,   7.000, -23.554, -57.366,   7.530
2015.000,   8.000,-138.944,-171.453,-107.149
2015.000,   9.000,-157.584,-190.447,-124.792
2015.000,  10.000,-148.806,-181.825,-116.586
2015.000,  11.000, -99.068,-130.145, -65.685
2015.000,  12.000,  17.596, -16.166,  50.080
2016.000,   1.000, 148.401, 115.755, 183.694
2016.000,   2.000, 182.864, 150.842, 215.655
2016.000,   3.000,  96.245,  63.491, 128.586
2016.000,   4.000,  38.757,   6.597,  70.675
2016.000,   5.000, -67.067, -99.346, -33.063
2016.000,   6.000, -55.060, -86.670, -21.943
2016.000,   7.000, -95.749,-129.444, -64.329
2016.000,   8.000, -62.023, -92.842, -30.085
2016.000,   9.000,-156.404,-187.489,-124.566
2016.000,  10.000, -47.215, -80.297, -15.160
2016.000,  11.000, -38.858, -70.110,  -6.904
