Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.00000,   4.00000,  45.43092,  37.93415,  52.71941
2012.00000,   5.00000,  10.50361,   1.44736,  19.08185
2012.00000,   6.00000,  42.26733,  31.70115,  52.44418
2012.00000,   7.00000,  65.77636,  55.16883,  76.39068
2012.00000,   8.00000,  83.43536,  74.41766,  91.97555
2012.00000,   9.00000,  98.28887,  88.79037, 107.96096
2012.00000,  10.00000,  82.38881,  71.08412,  92.31932
2012.00000,  11.00000,  98.49345,  88.13672, 109.30969
2012.00000,  12.00000,  95.96042,  85.24897, 107.53023
2013.00000,   1.00000,  99.46055,  88.17659, 110.21501
2013.00000,   2.00000,  73.97715,  63.99898,  83.89591
2013.00000,   3.00000,  45.76513,  37.49594,  54.58666
2013.00000,   4.00000,  20.30628,  12.98984,  27.68290
2013.00000,   5.00000,  23.63896,  14.41278,  32.56898
2013.00000,   6.00000,  18.61290,   8.07528,  28.72892
2013.00000,   7.00000,  55.89494,  45.59510,  66.23558
2013.00000,   8.00000,  58.88801,  50.03492,  67.62365
2013.00000,   9.00000,  89.11316,  79.51951,  98.64022
2013.00000,  10.00000,  86.06312,  74.76624,  95.96887
2013.00000,  11.00000, 114.03301, 103.99523, 125.22108
2013.00000,  12.00000, 114.51787, 103.77182, 125.50023
2014.00000,   1.00000, 107.25989,  96.22117, 118.46749
2014.00000,   2.00000,  47.71215,  38.01021,  58.12778
2014.00000,   3.00000,  42.87290,  34.03971,  51.65925
2014.00000,   4.00000,   1.59252,  -6.32314,   8.82051
2014.00000,   5.00000,  -5.27444, -14.11244,   3.94182
2014.00000,   6.00000,  -4.32927, -15.01168,   6.17458
2014.00000,   7.00000,  34.11909,  23.53192,  44.73316
2014.00000,   8.00000,  49.56905,  40.53363,  58.43234
2014.00000,   9.00000,  70.53528,  60.72992,  80.39448
2014.00000,  10.00000,  79.18914,  68.35136,  89.08695
2014.00000,  11.00000, 112.14950, 102.04678, 123.62943
2014.00000,  12.00000,  81.77118,  71.02947,  93.65482
2015.00000,   1.00000, 109.38152,  98.37314, 120.05149
2015.00000,   2.00000,  68.10802,  57.96987,  78.51233
2015.00000,   3.00000,  30.33024,  21.90590,  39.42003
2015.00000,   4.00000,   0.62574,  -6.10626,   8.53277
2015.00000,   5.00000,  -5.39161, -14.31613,   3.73971
2015.00000,   6.00000,  -4.56298, -15.29381,   5.63711
2015.00000,   7.00000,  19.05275,   8.04525,  29.21159
2015.00000,   8.00000,  57.07905,  48.14618,  66.05836
2015.00000,   9.00000,  70.87820,  61.04540,  80.35690
2015.00000,  10.00000, 109.17449,  98.04607, 119.22184
2015.00000,  11.00000,  60.40116,  50.20510,  71.82422
2015.00000,  12.00000,  57.72674,  47.40206,  68.72528
2016.00000,   1.00000, 102.87551,  91.86756, 113.81273
2016.00000,   2.00000,  65.04831,  54.88374,  75.05264
2016.00000,   3.00000,  31.66582,  23.29769,  40.33020
2016.00000,   4.00000,  28.01688,  20.46440,  35.41183
2016.00000,   5.00000,  12.22924,   3.56250,  21.08254
2016.00000,   6.00000,  35.55031,  25.10689,  45.58234
2016.00000,   7.00000,  50.86157,  40.04420,  61.13181
2016.00000,   8.00000,  59.06601,  49.73486,  67.38385
2016.00000,   9.00000,  92.87666,  83.28275, 102.35833
2016.00000,  10.00000, 100.54734,  89.95253, 110.74611
2016.00000,  11.00000,  79.50509,  69.41841,  90.55194
2016.00000,  12.00000, 124.85196, 114.61720, 135.87015
2017.00000,   1.00000,  77.26848,  66.58656,  87.98093
2017.00000,   2.00000,  62.51558,  51.88846,  72.62752
2017.00000,   3.00000,  61.21475,  52.57839,  69.88990
2017.00000,   4.00000,   1.10587,  -6.52125,   8.36907
2017.00000,   5.00000,   9.88557,   0.40830,  18.47613
2017.00000,   6.00000,  24.22671,  12.86311,  34.33139
2017.00000,   7.00000,  44.11246,  33.23232,  54.12056
2017.00000,   8.00000,  74.05699,  63.42077,  82.60683
2017.00000,   9.00000,  61.02620,  51.36353,  70.13267
2017.00000,  10.00000,  90.13803,  79.12340,  99.72526
2017.00000,  11.00000, 101.51027,  91.57033, 112.76132
2017.00000,  12.00000, 133.31268, 122.73991, 144.37540
2018.00000,   1.00000,  93.61748,  82.85459, 104.31961
2018.00000,   2.00000,  29.51919,  19.82174,  39.68167
2018.00000,   3.00000,  49.07194,  40.37614,  57.55467
2018.00000,   4.00000,  27.84754,  20.35333,  34.86290
2018.00000,   5.00000,  -3.29033, -12.01729,   5.56096
2018.00000,   6.00000,  15.69396,   5.13642,  26.02026
2018.00000,   7.00000,  48.83388,  38.43305,  59.08918
2018.00000,   8.00000,  56.46433,  47.53123,  65.32248
2018.00000,   9.00000,  85.00481,  75.06019,  94.01209
2018.00000,  10.00000, 115.44789, 104.30607, 125.52858
2018.00000,  11.00000,  96.82440,  86.76503, 107.66708
2018.00000,  12.00000,  79.01474,  68.37411,  90.03025
2019.00000,   1.00000, 115.88724, 105.26441, 126.59572
2019.00000,   2.00000,  49.31519,  39.49747,  59.63115
2019.00000,   3.00000,  38.80741,  30.38424,  47.62645
2019.00000,   4.00000,   6.12527,  -1.09359,  13.02311
2019.00000,   5.00000,  -4.14639, -12.83035,   4.77299
2019.00000,   6.00000,   5.60945,  -4.80522,  16.07890
2019.00000,   7.00000,  29.65868,  19.25239,  40.22693
2019.00000,   8.00000,  81.46199,  72.42191,  90.06928
2019.00000,   9.00000,  65.58601,  55.81619,  75.00882
2019.00000,  10.00000,  81.41985,  70.80568,  90.92252
2019.00000,  11.00000, 116.40975, 105.58535, 127.50095
2019.00000,  12.00000,  94.49113,  83.63596, 105.30008
2020.00000,   1.00000,  70.46851,  59.56247,  81.05242
2020.00000,   2.00000,  55.82608,  46.03771,  66.01256
2020.00000,   3.00000,  24.96480,  16.96133,  33.34970
2020.00000,   4.00000,  22.45874,  15.58776,  30.39330
2020.00000,   5.00000,  22.35507,  13.60286,  31.15210
2020.00000,   6.00000,  24.85885,  14.71014,  35.26298
2020.00000,   7.00000,  43.37549,  32.95913,  54.20053
2020.00000,   8.00000,  82.83065,  73.88740,  91.34569
2020.00000,   9.00000,  85.62731,  76.10409,  95.63524
2020.00000,  10.00000,  95.05190,  84.43967, 105.31721
2020.00000,  11.00000,  76.84224,  66.89063,  88.24221
2020.00000,  12.00000, 104.25239,  93.52251, 115.86292
2021.00000,   1.00000,  81.87258,  71.37936,  92.85954
2021.00000,   2.00000,  74.61131,  64.24529,  84.51655
2021.00000,   3.00000,  43.48849,  35.63315,  52.30637
2021.00000,   4.00000,  19.03659,  12.08128,  26.19500
2021.00000,   5.00000,  24.59012,  15.73210,  33.08471
2021.00000,   6.00000,  24.14339,  13.78455,  34.46627
2021.00000,   7.00000,  51.79929,  41.64409,  61.85204
2021.00000,   8.00000,  45.35315,  36.48761,  54.52646
2021.00000,   9.00000,  95.84015,  86.55546, 105.71699
2021.00000,  10.00000,  73.60710,  63.15480,  83.60443
2021.00000,  11.00000, 100.59091,  90.66974, 111.73473
2021.00000,  12.00000,  94.88567,  82.97564, 105.46913
2022.00000,   1.00000, 127.72628, 116.69840, 138.65341
2022.00000,   2.00000,  66.44820,  56.56983,  76.75409
2022.00000,   3.00000,  37.05442,  28.73657,  45.36839
