Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.00,   4.00, 135.80, 114.44, 158.69
2012.00,   5.00, 181.03, 157.37, 202.53
2012.00,   6.00, 106.08,  84.39, 127.73
2012.00,   7.00,  32.00,  13.59,  50.71
2012.00,   8.00,  10.22,  -5.37,  27.54
2012.00,   9.00,  82.63,  60.82, 104.47
2012.00,  10.00,  96.38,  72.74, 120.65
2012.00,  11.00,  28.75,   6.44,  52.79
2012.00,  12.00, 163.43, 138.21, 187.33
2013.00,   1.00, 143.40, 119.05, 167.23
2013.00,   2.00, 178.39, 153.64, 202.33
2013.00,   3.00, 180.63, 156.87, 204.59
2013.00,   4.00, 315.93, 291.95, 338.43
2013.00,   5.00, 188.98, 165.62, 212.44
2013.00,   6.00, 305.13, 281.40, 329.35
2013.00,   7.00, 122.00,  98.08, 145.94
2013.00,   8.00,  64.34,  45.89,  83.62
2013.00,   9.00,  37.71,  15.86,  59.65
2013.00,  10.00, 110.04,  85.80, 134.76
2013.00,  11.00, 127.14, 104.34, 151.58
2013.00,  12.00, 154.34, 129.33, 178.31
2014.00,   1.00, 121.61,  98.25, 146.33
2014.00,   2.00, 132.75, 109.38, 156.62
2014.00,   3.00, 166.03, 142.62, 188.93
2014.00,   4.00, 471.05, 446.76, 496.29
2014.00,   5.00, 338.18, 314.66, 361.12
2014.00,   6.00, 219.65, 195.36, 243.55
2014.00,   7.00, 155.54, 133.76, 178.35
2014.00,   8.00,  89.52,  68.64, 110.30
2014.00,   9.00,  35.00,  13.21,  57.53
2014.00,  10.00,  54.59,  30.75,  79.16
2014.00,  11.00,  45.62,  21.95,  69.18
2014.00,  12.00, 100.44,  75.89, 124.01
2015.00,   1.00,  57.14,  32.08,  82.32
2015.00,   2.00,  28.00,   8.50,  49.00
2015.00,   3.00, 131.82, 107.99, 155.47
2015.00,   4.00, 326.80, 304.27, 350.58
2015.00,   5.00, 179.11, 156.88, 202.23
2015.00,   6.00, 349.02, 325.05, 372.65
2015.00,   7.00, 119.99,  97.29, 142.71
2015.00,   8.00,  70.04,  52.12,  88.51
2015.00,   9.00,  89.28,  67.74, 110.71
2015.00,  10.00,  70.55,  46.99,  95.32
2015.00,  11.00,  82.19,  59.60, 107.11
2015.00,  12.00, 137.11, 114.22, 159.43
2016.00,   1.00, 114.18,  89.53, 138.78
2016.00,   2.00, 225.45, 200.25, 250.11
2016.00,   3.00, 297.20, 272.83, 321.05
2016.00,   4.00, 250.69, 227.07, 274.87
2016.00,   5.00, 144.65, 121.35, 169.09
2016.00,   6.00,  78.33,  56.86, 100.94
2016.00,   7.00,  29.97,  10.44,  51.26
