Year,Month,Median,2.5 Percentile,97.5 Percentile
 2012,    4, 8116, 7892, 8335
 2012,    5, 7356, 7139, 7585
 2012,    6, 7157, 6934, 7387
 2012,    7, 6906, 6697, 7120
 2012,    8, 6674, 6464, 6883
 2012,    9, 6621, 6400, 6838
 2012,   10, 6338, 6129, 6560
 2012,   11, 6029, 5816, 6248
 2012,   12, 5962, 5744, 6176
 2013,    1, 6008, 5807, 6213
 2013,    2, 6086, 5877, 6297
 2013,    3, 6646, 6441, 6862
 2013,    4, 6467, 6260, 6694
 2013,    5, 6528, 6313, 6749
 2013,    6, 6408, 6193, 6626
 2013,    7, 7379, 7165, 7595
 2013,    8, 7539, 7334, 7745
 2013,    9, 7338, 7141, 7540
 2013,   10, 6856, 6651, 7067
 2013,   11, 7264, 7058, 7465
 2013,   12, 6739, 6541, 6937
 2014,    1, 6448, 6247, 6632
 2014,    2, 7101, 6894, 7304
 2014,    3, 6904, 6687, 7119
 2014,    4, 6347, 6130, 6554
 2014,    5, 7730, 7522, 7946
 2014,    6, 8284, 8066, 8497
 2014,    7, 8403, 8197, 8612
 2014,    8, 7892, 7687, 8090
 2014,    9, 7744, 7533, 7957
 2014,   10, 7267, 7064, 7470
 2014,   11, 7271, 7067, 7477
 2014,   12, 6732, 6527, 6925
 2015,    1, 6317, 6130, 6504
 2015,    2, 7113, 6915, 7304
 2015,    3, 6549, 6345, 6750
 2015,    4, 6441, 6230, 6655
 2015,    5, 6518, 6302, 6733
 2015,    6, 6655, 6446, 6867
 2015,    7, 8058, 7842, 8273
 2015,    8, 8475, 8267, 8676
 2015,    9, 8407, 8204, 8619
 2015,   10, 8031, 7830, 8235
 2015,   11, 7747, 7543, 7951
 2015,   12, 7046, 6846, 7247
 2016,    1, 6204, 6018, 6390
 2016,    2, 6864, 6666, 7060
 2016,    3, 8020, 7810, 8219
 2016,    4, 8444, 8232, 8653
 2016,    5, 8614, 8407, 8835
 2016,    6, 7929, 7722, 8141
 2016,    7, 7658, 7459, 7868
 2016,    8, 7453, 7253, 7657
 2016,    9, 7438, 7243, 7648
 2016,   10, 7248, 7044, 7447
 2016,   11, 7327, 7117, 7533
 2016,   12, 7000, 6796, 7198
 2017,    1, 6322, 6138, 6509
 2017,    2, 6903, 6707, 7112
 2017,    3, 7303, 7094, 7510
 2017,    4, 7462, 7248, 7661
 2017,    5, 8376, 8169, 8592
 2017,    6,10087, 9865,10296
 2017,    7, 9929, 9719,10143
 2017,    8, 9585, 9383, 9784
 2017,    9, 8908, 8711, 9103
 2017,   10, 8336, 8136, 8538
 2017,   11, 8348, 8147, 8552
 2017,   12, 8085, 7883, 8280
 2018,    1, 7051, 6864, 7245
 2018,    2, 8341, 8133, 8551
 2018,    3, 8988, 8781, 9190
 2018,    4, 8413, 8215, 8619
 2018,    5, 8380, 8165, 8590
 2018,    6, 9162, 8945, 9367
 2018,    7, 8926, 8724, 9136
 2018,    8, 8468, 8266, 8663
 2018,    9, 7968, 7763, 8172
 2018,   10, 7562, 7357, 7766
 2018,   11, 7895, 7690, 8096
 2018,   12, 8006, 7810, 8205
 2019,    1, 7441, 7253, 7628
 2019,    2, 7973, 7771, 8176
 2019,    3, 8596, 8398, 8800
 2019,    4, 7179, 6975, 7381
 2019,    5, 7409, 7197, 7624
 2019,    6, 9836, 9621,10047
 2019,    7,10303,10099,10512
 2019,    8,10312,10116,10510
 2019,    9, 9383, 9182, 9587
 2019,   10, 8781, 8585, 8985
 2019,   11, 8640, 8445, 8836
 2019,   12, 8757, 8562, 8953
 2020,    1, 8770, 8579, 8957
 2020,    2, 9502, 9295, 9701
 2020,    3, 9315, 9117, 9520
 2020,    4, 9098, 8891, 9319
 2020,    5, 9760, 9543, 9973
 2020,    6, 9605, 9397, 9817
 2020,    7, 9307, 9095, 9517
 2020,    8, 8810, 8616, 9011
 2020,    9, 8663, 8453, 8874
 2020,   10, 8306, 8091, 8505
 2020,   11, 8127, 7919, 8327
 2020,   12, 8020, 7814, 8223
 2021,    1, 8740, 8553, 8930
 2021,    2, 8077, 7875, 8278
 2021,    3, 8064, 7851, 8266
 2021,    4, 7844, 7627, 8056
 2021,    5, 8099, 7884, 8327
 2021,    6, 7633, 7410, 7856
 2021,    7, 7503, 7286, 7731
 2021,    8, 7842, 7630, 8053
 2021,    9, 7860, 7638, 8080
 2021,   10, 7640, 7427, 7851
 2021,   11, 8267, 8050, 8484
 2021,   12, 8389, 8171, 8604
 2022,    1, 7454, 7258, 7658
 2022,    2, 7922, 7699, 8141
 2022,    3, 8364, 8140, 8574
