Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0,  50.5,  40.6,  59.7
2012.0,   5.0,  55.7,  46.4,  64.8
2012.0,   6.0,  75.1,  64.8,  85.3
2012.0,   7.0,  56.8,  47.8,  66.6
2012.0,   8.0,  58.3,  49.4,  67.8
2012.0,   9.0, 127.6, 116.7, 137.5
2012.0,  10.0, 101.2,  91.2, 112.2
2012.0,  11.0,  41.3,  32.6,  50.5
2012.0,  12.0, 108.6,  99.3, 118.4
2013.0,   1.0,  63.8,  54.4,  73.2
2013.0,   2.0,  82.2,  72.8,  92.2
2013.0,   3.0,  32.6,  23.9,  41.7
2013.0,   4.0,  87.8,  77.8,  98.3
2013.0,   5.0,  68.1,  58.9,  77.6
2013.0,   6.0, 142.8, 132.1, 152.6
2013.0,   7.0,  78.4,  68.3,  88.1
2013.0,   8.0,  73.7,  64.8,  83.7
2013.0,   9.0,  73.8,  63.9,  83.6
2013.0,  10.0, 105.6,  94.6, 116.1
2013.0,  11.0,  79.9,  70.7,  89.4
2013.0,  12.0,  81.3,  71.9,  90.5
2014.0,   1.0,  67.0,  57.9,  76.4
2014.0,   2.0,  69.0,  59.1,  78.3
2014.0,   3.0,  57.5,  48.6,  66.9
2014.0,   4.0, 111.6, 101.0, 121.4
2014.0,   5.0,  86.9,  77.8,  96.7
2014.0,   6.0,  95.5,  85.7, 105.9
2014.0,   7.0, 112.7, 103.7, 122.5
2014.0,   8.0,  73.8,  64.1,  83.1
2014.0,   9.0,  50.2,  40.0,  61.4
2014.0,  10.0,  66.1,  56.1,  76.3
2014.0,  11.0,  67.4,  58.5,  77.1
2014.0,  12.0,  47.9,  38.8,  57.0
2015.0,   1.0,  57.8,  48.4,  67.1
2015.0,   2.0,  51.1,  41.5,  60.4
2015.0,   3.0,  35.2,  25.8,  44.4
2015.0,   4.0,  72.8,  63.6,  82.6
2015.0,   5.0,  52.0,  43.0,  61.3
2015.0,   6.0, 171.8, 161.5, 182.7
2015.0,   7.0,  47.8,  38.5,  57.7
2015.0,   8.0,  82.7,  73.4,  92.5
2015.0,   9.0, 105.8,  95.2, 115.7
2015.0,  10.0,  93.3,  82.3, 103.2
2015.0,  11.0,  40.6,  31.8,  49.8
2015.0,  12.0,  69.4,  59.7,  78.8
2016.0,   1.0,  57.7,  47.0,  68.8
2016.0,   2.0,  90.3,  78.8, 102.1
2016.0,   3.0,  76.1,  64.2,  87.4
2016.0,   4.0,  60.4,  48.6,  72.9
2016.0,   5.0,  37.1,  25.8,  47.8
2016.0,   6.0,  47.3,  35.4,  58.9
2016.0,   7.0,  38.2,  27.4,  50.1
2016.0,   8.0,  89.8,  78.8, 101.4
2016.0,   9.0,  63.8,  52.0,  75.4
2016.0,  10.0,  98.8,  86.5, 110.7
2016.0,  11.0,  60.5,  49.0,  71.2
2016.0,  12.0,  86.1,  75.3,  97.1
2017.0,   1.0,  87.3,  76.6,  97.8
2017.0,   2.0,  67.2,  56.7,  77.9
2017.0,   3.0,  79.1,  68.4,  90.0
2017.0,   4.0, 124.8, 114.1, 135.1
2017.0,   5.0, 160.5, 149.5, 171.6
2017.0,   6.0, 126.3, 115.0, 137.7
2017.0,   7.0,  98.9,  87.9, 110.1
2017.0,   8.0,  69.0,  58.5,  79.9
2017.0,   9.0,  52.8,  41.6,  63.4
2017.0,  10.0, 149.5, 138.4, 160.8
2017.0,  11.0,  88.1,  77.5,  98.8
2017.0,  12.0,  78.2,  67.0,  89.2
2018.0,   1.0,  76.2,  65.4,  87.3
2018.0,   2.0,  71.0,  59.9,  81.9
2018.0,   3.0,  53.4,  42.6,  64.0
2018.0,   4.0, 110.8, 100.1, 121.5
2018.0,   5.0,  57.4,  46.3,  68.2
2018.0,   6.0,  63.7,  52.2,  75.3
2018.0,   7.0,  61.7,  51.0,  72.6
2018.0,   8.0,  92.3,  81.8, 103.1
2018.0,   9.0,  71.6,  60.3,  83.1
2018.0,  10.0,  84.6,  73.0,  96.3
2018.0,  11.0, 132.0, 121.2, 143.1
2018.0,  12.0,  76.1,  64.8,  86.5
2019.0,   1.0,  80.3,  69.2,  91.0
2019.0,   2.0,  73.5,  62.7,  84.8
2019.0,   3.0,  65.1,  54.7,  76.0
2019.0,   4.0,  89.6,  78.5, 100.5
2019.0,   5.0, 120.5, 109.4, 131.6
2019.0,   6.0,  98.7,  87.9, 110.1
2019.0,   7.0,  70.2,  59.4,  81.0
2019.0,   8.0,  70.5,  60.0,  81.4
2019.0,   9.0,  78.2,  66.4,  90.0
2019.0,  10.0, 122.9, 111.0, 134.8
2019.0,  11.0,  70.7,  59.8,  81.8
2019.0,  12.0,  91.6,  80.4, 102.6
2020.0,   1.0,  88.8,  77.8,  99.4
2020.0,   2.0,  55.0,  44.4,  66.0
2020.0,   3.0,  74.5,  63.3,  85.5
2020.0,   4.0,  63.3,  52.1,  74.0
2020.0,   5.0,  69.1,  57.4,  79.8
2020.0,   6.0,  37.6,  27.4,  49.0
2020.0,   7.0,  62.9,  51.8,  73.9
2020.0,   8.0,  85.3,  73.3,  98.0
2020.0,   9.0,  52.5,  41.6,  63.5
2020.0,  10.0,  81.4,  70.2,  92.9
2020.0,  11.0,  64.6,  53.3,  75.7
2020.0,  12.0,  90.2,  79.7, 101.3
2021.0,   1.0,  43.0,  32.8,  53.5
2021.0,   2.0,  43.8,  33.2,  54.3
2021.0,   3.0,  41.0,  31.3,  52.0
2021.0,   4.0,  65.4,  54.4,  76.5
2021.0,   5.0,  34.8,  24.3,  45.1
2021.0,   6.0,  62.4,  51.2,  73.4
2021.0,   7.0, 147.7, 135.9, 159.7
2021.0,   8.0,  63.5,  52.8,  74.2
2021.0,   9.0, 124.0, 112.8, 135.2
2021.0,  10.0, 138.8, 127.1, 149.8
2021.0,  11.0,  71.6,  61.0,  82.1
2021.0,  12.0,  68.1,  57.5,  79.7
2022.0,   1.0,  46.7,  36.1,  57.2
2022.0,   2.0,  72.3,  61.2,  83.7
2022.0,   3.0,  60.0,  49.2,  70.8
