Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0, 130.8, 112.9, 150.1
2012.0,   5.0, 135.5, 115.8, 155.2
2012.0,   6.0,  73.1,  57.1,  90.8
2012.0,   7.0,  40.6,  29.0,  54.1
2012.0,   8.0,  35.1,  25.3,  46.7
2012.0,   9.0,  53.6,  36.2,  71.0
2012.0,  10.0,  77.4,  58.2,  96.6
2012.0,  11.0,  86.5,  66.9, 104.8
2012.0,  12.0, 150.3, 130.2, 170.5
2013.0,   1.0, 179.1, 159.3, 199.1
2013.0,   2.0, 169.8, 149.4, 190.3
2013.0,   3.0, 193.8, 173.7, 214.4
2013.0,   4.0, 248.0, 227.4, 267.6
2013.0,   5.0, 144.3, 125.0, 164.2
2013.0,   6.0, 181.0, 160.9, 201.2
2013.0,   7.0,  99.5,  80.0, 119.5
2013.0,   8.0,  49.1,  36.2,  64.4
2013.0,   9.0,  52.9,  35.9,  71.2
2013.0,  10.0,  90.8,  71.0, 110.2
2013.0,  11.0, 161.3, 141.8, 182.2
2013.0,  12.0, 187.6, 166.8, 208.2
2014.0,   1.0, 162.1, 141.9, 182.5
2014.0,   2.0, 111.8,  92.9, 131.4
2014.0,   3.0, 151.2, 131.8, 170.6
2014.0,   4.0, 361.0, 339.8, 383.0
2014.0,   5.0, 245.8, 225.5, 265.9
2014.0,   6.0, 119.8, 100.0, 138.7
2014.0,   7.0,  77.0,  59.9,  94.5
2014.0,   8.0,  65.2,  49.7,  81.9
2014.0,   9.0,  55.2,  37.9,  72.6
2014.0,  10.0,  67.7,  48.3,  88.0
2014.0,  11.0,  90.3,  70.4, 110.2
2014.0,  12.0, 134.1, 114.3, 153.3
2015.0,   1.0, 109.0,  88.9, 129.8
2015.0,   2.0,  45.2,  30.7,  61.7
2015.0,   3.0, 127.0, 107.0, 146.3
2015.0,   4.0, 254.8, 234.7, 275.8
2015.0,   5.0, 121.5, 103.4, 140.6
2015.0,   6.0, 172.4, 152.5, 192.9
2015.0,   7.0,  90.9,  73.1, 109.7
2015.0,   8.0,  44.2,  32.3,  58.4
2015.0,   9.0,  54.6,  38.3,  72.4
2015.0,  10.0,  86.9,  66.5, 107.2
2015.0,  11.0, 102.1,  83.3, 121.7
2015.0,  12.0, 125.4, 106.0, 144.2
2016.0,   1.0, 159.2, 138.8, 179.9
2016.0,   2.0, 200.0, 178.6, 220.7
2016.0,   3.0, 252.8, 232.2, 272.5
2016.0,   4.0, 218.0, 197.1, 239.3
2016.0,   5.0, 119.9, 101.1, 140.0
2016.0,   6.0,  66.6,  50.4,  83.2
2016.0,   7.0,  42.2,  30.4,  56.6
2016.0,   8.0,  40.6,  29.3,  53.9
2016.0,   9.0,  39.9,  25.6,  56.7
2016.0,  10.0,  95.8,  74.3, 117.1
2016.0,  11.0,  98.4,  77.9, 119.9
2016.0,  12.0, 146.3, 126.2, 165.7
2017.0,   1.0, 199.4, 178.9, 220.5
2017.0,   2.0, 174.2, 154.1, 194.5
2017.0,   3.0, 220.8, 200.0, 241.4
2017.0,   4.0, 335.6, 314.3, 356.2
2017.0,   5.0, 343.7, 323.0, 364.8
2017.0,   6.0, 170.1, 150.7, 189.9
2017.0,   7.0, 116.0,  96.7, 136.5
