Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0000,   4.0000,  47.1163,  23.2321,  73.0094
2012.0000,   5.0000, 109.9397,  86.2398, 135.0475
2012.0000,   6.0000, 126.5594, 103.0313, 150.9416
2012.0000,   7.0000,  44.3756,  19.2731,  70.5901
2012.0000,   8.0000, -47.4615, -76.1280, -19.3383
2012.0000,   9.0000, -76.6515,-106.0147, -47.0816
2012.0000,  10.0000,   0.3295, -29.6318,  29.6266
2012.0000,  11.0000, -74.0252,-103.0060, -45.7301
2012.0000,  12.0000, -82.1639,-112.1863, -51.9602
2013.0000,   1.0000, -61.0866, -92.1238, -30.4465
2013.0000,   2.0000, -41.4183, -71.0388, -11.2498
2013.0000,   3.0000, -21.1524, -50.2198,   8.3809
2013.0000,   4.0000,  93.0307,  69.9082, 117.8253
2013.0000,   5.0000, 212.2604, 188.4617, 237.0923
2013.0000,   6.0000, 102.0268,  78.4772, 125.0537
2013.0000,   7.0000, 134.4298, 110.0853, 159.9709
2013.0000,   8.0000,  45.5292,  18.9161,  73.1017
2013.0000,   9.0000,   4.5604, -22.7999,  31.5999
2013.0000,  10.0000, -29.2491, -57.6636,  -1.6111
2013.0000,  11.0000, -42.5104, -70.1953, -15.4514
2013.0000,  12.0000, -88.8972,-117.5825, -60.4139
2014.0000,   1.0000, -76.8614,-105.7449, -49.0121
2014.0000,   2.0000, -14.4764, -41.1650,  14.7054
2014.0000,   3.0000,  -5.4163, -34.2946,  21.8071
2014.0000,   4.0000, 115.7862,  91.7636, 140.0938
2014.0000,   5.0000, 169.4360, 146.4345, 193.2572
2014.0000,   6.0000, 104.0584,  81.0424, 127.8267
2014.0000,   7.0000,  44.1929,  20.0956,  67.6552
2014.0000,   8.0000,  21.8432,  -4.5004,  49.2086
2014.0000,   9.0000,  37.5616,  11.4164,  64.1998
2014.0000,  10.0000,  17.8450,  -9.4870,  44.6918
2014.0000,  11.0000, -52.9158, -79.4169, -25.8589
2014.0000,  12.0000, -88.1465,-117.4353, -60.7607
2015.0000,   1.0000,-100.7936,-128.3738, -74.3692
2015.0000,   2.0000, -74.0117,-101.7339, -46.5386
2015.0000,   3.0000, -10.9127, -38.3453,  16.4403
2015.0000,   4.0000,  61.4656,  37.5935,  86.4453
2015.0000,   5.0000, 109.4841,  84.9855, 133.8482
2015.0000,   6.0000,  72.0479,  48.2849,  95.1337
2015.0000,   7.0000,  24.3074,   0.0886,  48.5417
2015.0000,   8.0000,  13.5918, -13.0558,  40.4127
2015.0000,   9.0000,  -5.5982, -31.1392,  20.4844
2015.0000,  10.0000, -68.5799, -95.4624, -42.7779
2015.0000,  11.0000, -20.7800, -46.4899,   5.6096
2015.0000,  12.0000, -16.9510, -45.0369,   9.8726
2016.0000,   1.0000, -63.4969, -91.4245, -35.9801
2016.0000,   2.0000, -50.5739, -76.6788, -23.6005
2016.0000,   3.0000,   0.4703, -25.4933,  27.1012
2016.0000,   4.0000,  25.6327,   2.2942,  50.5679
2016.0000,   5.0000,  47.0764,  23.5615,  70.4289
2016.0000,   6.0000, 101.6696,  78.6491, 124.2030
2016.0000,   7.0000,  51.8544,  27.1581,  76.1797
2016.0000,   8.0000,   9.1773, -15.8704,  34.7467
2016.0000,   9.0000,  22.9691,  -1.3300,  48.9984
2016.0000,  10.0000, -66.4732, -92.2833, -42.1029
2016.0000,  11.0000, -50.8579, -76.0936, -25.7468
2016.0000,  12.0000,-103.4193,-129.9768, -78.9279
2017.0000,   1.0000, -68.1932, -93.4709, -42.9485
2017.0000,   2.0000, -33.5849, -59.4522,  -7.7040
2017.0000,   3.0000, -44.7902, -70.0855, -19.3224
2017.0000,   4.0000, 129.6135, 107.0602, 153.0260
2017.0000,   5.0000, 135.2650, 112.2279, 158.8309
2017.0000,   6.0000, 106.2492,  83.3463, 128.7473
2017.0000,   7.0000,  19.6965,  -3.1098,  43.8421
2017.0000,   8.0000,  46.9795,  21.9204,  73.6186
2017.0000,   9.0000,  30.7559,   7.1372,  56.5834
2017.0000,  10.0000,  23.8912,  -0.7950,  48.5086
2017.0000,  11.0000, -98.3258,-124.0295, -73.4801
2017.0000,  12.0000, -56.1634, -83.0110, -30.5284
2018.0000,   1.0000, -81.9458,-107.5451, -56.7866
2018.0000,   2.0000, -51.0939, -76.8113, -25.7670
2018.0000,   3.0000, -84.6340,-109.4951, -60.2501
2018.0000,   4.0000, -29.2144, -52.4603,  -5.5170
2018.0000,   5.0000,  77.5443,  54.0219, 101.8255
2018.0000,   6.0000,  72.5567,  49.9657,  95.8743
2018.0000,   7.0000,  56.2245,  32.1235,  80.7101
2018.0000,   8.0000,  16.8710,  -7.7383,  41.3895
2018.0000,   9.0000,  47.5460,  23.1405,  72.6114
2018.0000,  10.0000,  86.2857,  60.2112, 111.1038
2018.0000,  11.0000, -64.1613, -89.0218, -40.2966
2018.0000,  12.0000, -86.6057,-112.6977, -60.1939
2019.0000,   1.0000, -81.1120,-106.5818, -55.7807
2019.0000,   2.0000,  -6.9350, -31.8208,  17.3788
2019.0000,   3.0000, -28.8351, -55.1029,  -4.3308
2019.0000,   4.0000, 132.3499, 109.7841, 156.3850
2019.0000,   5.0000, 134.6392, 110.5851, 158.4477
2019.0000,   6.0000,  44.9295,  21.5784,  68.4930
2019.0000,   7.0000,  25.9787,   2.1944,  49.4774
2019.0000,   8.0000, -20.1338, -44.7529,   4.2356
2019.0000,   9.0000,  38.3007,  14.6090,  63.1093
2019.0000,  10.0000,  -2.8271, -27.8193,  21.3135
2019.0000,  11.0000, -88.4598,-112.9732, -63.7536
2019.0000,  12.0000, -55.8620, -81.3647, -29.5838
2020.0000,   1.0000, -68.2904, -93.7595, -43.0966
2020.0000,   2.0000,-109.0623,-134.3773, -84.5573
2020.0000,   3.0000,   1.1329, -24.6722,  25.6514
2020.0000,   4.0000,  29.2796,   5.8050,  53.5010
2020.0000,   5.0000,  61.4649,  38.1892,  84.9202
2020.0000,   6.0000,  60.7886,  37.0505,  84.5525
2020.0000,   7.0000,  72.8326,  49.0714,  97.0395
2020.0000,   8.0000,  20.4526,  -4.7861,  45.7336
2020.0000,   9.0000,  -1.8365, -26.6862,  22.6345
2020.0000,  10.0000, -51.5153, -76.7599, -26.9355
2020.0000,  11.0000, -43.4568, -67.8570, -18.9411
2020.0000,  12.0000,-125.9721,-151.8557,-100.0103
2021.0000,   1.0000, -96.9762,-121.5564, -71.7495
2021.0000,   2.0000, -72.0704, -97.1524, -46.5014
2021.0000,   3.0000, -15.0835, -40.8405,   9.4682
2021.0000,   4.0000,  71.3789,  47.5102,  96.2328
2021.0000,   5.0000,  32.0069,   8.6861,  56.3663
