Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0,   4.0, 153.5, 146.4, 160.4
2012.0,   5.0, 240.2, 225.4, 254.5
2012.0,   6.0,  80.7,  60.0, 101.5
2012.0,   7.0, 218.7, 202.9, 234.7
2012.0,   8.0, 249.3, 236.2, 261.8
2012.0,   9.0, 146.9, 134.9, 159.1
2012.0,  10.0, 100.0,  88.0, 111.7
2012.0,  11.0,  82.3,  70.1,  94.6
2012.0,  12.0,  76.7,  65.4,  88.0
2013.0,   1.0,  88.8,  78.3,  99.3
2013.0,   2.0,  90.7,  81.8,  99.2
2013.0,   3.0,  79.6,  71.9,  87.0
2013.0,   4.0,  63.6,  56.8,  70.8
2013.0,   5.0, 192.9, 178.5, 207.8
2013.0,   6.0, 353.4, 333.0, 373.7
2013.0,   7.0, 198.2, 181.6, 214.1
2013.0,   8.0, 101.0,  87.1, 113.6
2013.0,   9.0, 109.6,  97.8, 121.4
2013.0,  10.0, 174.8, 163.5, 186.8
2013.0,  11.0, 182.3, 170.3, 194.0
2013.0,  12.0, 147.2, 135.5, 158.6
2014.0,   1.0, 122.6, 112.4, 132.3
2014.0,   2.0, 105.3,  96.6, 114.4
2014.0,   3.0,  85.4,  77.9,  93.0
2014.0,   4.0,  74.6,  67.6,  81.3
2014.0,   5.0, 217.6, 203.3, 232.0
2014.0,   6.0, 311.5, 290.5, 331.7
2014.0,   7.0,  95.1,  79.6, 111.1
2014.0,   8.0,  61.2,  48.0,  74.1
2014.0,   9.0, 192.0, 179.9, 203.6
2014.0,  10.0, 236.7, 224.3, 248.6
2014.0,  11.0, 220.6, 208.8, 232.7
2014.0,  12.0, 166.9, 155.2, 178.2
2015.0,   1.0, 130.2, 119.7, 140.4
2015.0,   2.0, 113.9, 105.2, 122.9
2015.0,   3.0,  92.0,  84.8,  99.7
2015.0,   4.0,  96.8,  89.8, 103.8
2015.0,   5.0, 261.7, 247.4, 276.3
2015.0,   6.0, 328.0, 307.7, 348.1
2015.0,   7.0, 153.7, 138.4, 169.6
2015.0,   8.0, 230.3, 217.4, 243.1
2015.0,   9.0, 221.4, 209.7, 233.6
2015.0,  10.0, 173.1, 161.0, 185.1
2015.0,  11.0, 154.9, 142.7, 166.8
