Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.00000,   4.00000,  22.96263,  10.08802,  37.24124
2012.00000,   5.00000,   5.06286,  -3.61975,  13.59292
2012.00000,   6.00000,  -3.23005,  -8.94703,   2.53015
2012.00000,   7.00000,  13.39963,  -0.11548,  26.76402
2012.00000,   8.00000,  65.94553,  46.26359,  86.71760
2012.00000,   9.00000, 114.61233,  92.92800, 136.05525
2012.00000,  10.00000,  94.25912,  71.92565, 116.24800
2012.00000,  11.00000, 121.07655,  99.63237, 143.45769
2012.00000,  12.00000, 105.95773,  83.18779, 127.99012
2013.00000,   1.00000, 102.72204,  79.41862, 125.87859
2013.00000,   2.00000,  69.12700,  45.20564,  93.20232
2013.00000,   3.00000,  48.58974,  27.49283,  70.25261
2013.00000,   4.00000,  18.40400,   5.52034,  31.38896
2013.00000,   5.00000,   1.41026,  -6.61934,   9.52653
2013.00000,   6.00000,  -4.07566,  -9.75197,   1.42414
2013.00000,   7.00000,  -5.04514, -17.76244,   8.00849
2013.00000,   8.00000, -10.78001, -30.42861,   7.95326
2013.00000,   9.00000,  30.50047,  10.57734,  49.95678
2013.00000,  10.00000,  69.38788,  49.72809,  88.81308
2013.00000,  11.00000, 114.57864,  94.48267, 134.36172
2013.00000,  12.00000, 130.43063, 109.99022, 151.22036
2014.00000,   1.00000, 104.75860,  83.71612, 126.63260
2014.00000,   2.00000,  20.61402,  -0.46594,  42.20395
2014.00000,   3.00000,  11.46718,  -8.24208,  32.41209
2014.00000,   4.00000,  -5.58464, -18.06921,   7.31232
2014.00000,   5.00000,  -7.26470, -15.63442,   1.05349
2014.00000,   6.00000,  -2.97269,  -8.90123,   2.88644
2014.00000,   7.00000, -11.22907, -23.77571,   1.13381
2014.00000,   8.00000,  -8.36830, -26.24987,   9.46961
2014.00000,   9.00000,  21.03669,   1.05519,  40.14795
2014.00000,  10.00000,  45.82542,  26.13676,  65.30190
2014.00000,  11.00000,  97.72021,  77.48367, 117.34565
2014.00000,  12.00000, 107.49407,  86.59220, 127.81739
2015.00000,   1.00000, 107.63022,  88.11789, 126.70061
2015.00000,   2.00000,  64.04459,  43.99602,  84.55172
2015.00000,   3.00000,  15.21166,  -4.76548,  34.32810
2015.00000,   4.00000,   9.51570,  -3.38008,  22.03633
