Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.0000,   4.0000,  90.1633,  72.4922, 107.6759
2012.0000,   5.0000, 151.2308, 135.7677, 166.8582
2012.0000,   6.0000, 174.9778, 161.2343, 189.6464
2012.0000,   7.0000, 103.5053,  86.5794, 120.4225
2012.0000,   8.0000,  13.0082,  -9.1741,  33.5943
2012.0000,   9.0000, -25.2277, -47.5453,  -2.7994
2012.0000,  10.0000,  44.2538,  20.7821,  67.5179
2012.0000,  11.0000, -27.7513, -50.9183,  -5.1649
2012.0000,  12.0000, -35.1674, -58.2635, -12.0151
2013.0000,   1.0000, -15.2944, -38.7348,   8.7338
2013.0000,   2.0000,  -3.4915, -27.3200,  20.2392
2013.0000,   3.0000,  24.6265,   3.0699,  47.2133
2013.0000,   4.0000, 138.7712, 122.6080, 155.3053
2013.0000,   5.0000, 256.4234, 241.6160, 271.3060
2013.0000,   6.0000, 156.7113, 143.3210, 170.5272
2013.0000,   7.0000, 200.6835, 185.3103, 216.6468
2013.0000,   8.0000, 128.9990, 109.6856, 149.1692
2013.0000,   9.0000,  86.4203,  65.8740, 106.2014
2013.0000,  10.0000,  52.4040,  31.5685,  73.5467
2013.0000,  11.0000,  21.5454,   0.1667,  41.7915
2013.0000,  12.0000, -23.0506, -44.0236,  -2.4798
2014.0000,   1.0000, -15.9703, -38.0501,   5.6111
2014.0000,   2.0000,  38.1330,  17.7347,  58.8674
2014.0000,   3.0000,  51.3329,  30.9894,  71.9676
2014.0000,   4.0000, 175.7949, 160.2883, 191.2339
2014.0000,   5.0000, 237.8619, 224.1780, 252.8787
2014.0000,   6.0000, 178.9631, 165.8558, 192.4366
2014.0000,   7.0000, 144.3352, 129.9034, 159.4956
2014.0000,   8.0000, 124.9701, 106.1828, 144.3350
2014.0000,   9.0000, 122.2894, 101.2279, 143.1518
2014.0000,  10.0000, 108.7127,  88.1187, 128.7532
2014.0000,  11.0000,  33.5593,  13.5572,  54.1098
2014.0000,  12.0000, -13.7358, -34.2504,   7.3264
2015.0000,   1.0000, -32.1648, -52.0658, -12.0188
2015.0000,   2.0000, -13.5738, -34.4962,   6.3129
2015.0000,   3.0000,  54.5592,  34.5263,  73.8332
2015.0000,   4.0000, 121.5372, 105.5203, 137.2053
2015.0000,   5.0000, 180.8017, 166.3605, 195.3928
2015.0000,   6.0000, 147.4648, 134.1962, 160.8166
2015.0000,   7.0000, 119.5885, 104.9759, 134.7548
2015.0000,   8.0000, 106.4097,  87.6608, 124.4228
2015.0000,   9.0000,  74.9418,  55.2405,  93.7208
2015.0000,  10.0000,  15.5603,  -3.4076,  35.4651
2015.0000,  11.0000,  46.1906,  26.9250,  66.0360
2015.0000,  12.0000,  54.7651,  35.2127,  74.6077
2016.0000,   1.0000,  12.1224,  -7.4539,  31.5294
2016.0000,   2.0000,  20.1766,   1.5143,  39.9695
2016.0000,   3.0000,  77.0742,  57.5836,  96.2391
2016.0000,   4.0000,  92.2724,  76.5289, 108.5488
2016.0000,   5.0000, 121.3473, 106.5171, 136.0734
2016.0000,   6.0000, 173.2374, 159.6094, 186.4639
2016.0000,   7.0000, 141.3431, 127.1897, 155.9292
2016.0000,   8.0000, 104.1098,  87.0723, 121.0798
2016.0000,   9.0000,  96.8530,  79.1934, 115.4012
2016.0000,  10.0000,  17.9472,   0.0708,  35.5596
2016.0000,  11.0000,  25.0122,   7.8417,  42.4803
2016.0000,  12.0000, -29.2894, -47.0153, -11.5751
2017.0000,   1.0000,  -0.6679, -17.9836,  16.3805
2017.0000,   2.0000,  32.9284,  15.9513,  50.5134
2017.0000,   3.0000,  29.4043,  12.6216,  46.6876
2017.0000,   4.0000, 195.2790, 180.0495, 210.2065
2017.0000,   5.0000, 189.1955, 174.5406, 203.8066
2017.0000,   6.0000, 171.4511, 158.3539, 184.1739
2017.0000,   7.0000, 118.4161, 104.1202, 132.5057
2017.0000,   8.0000, 150.5179, 133.9658, 167.7268
2017.0000,   9.0000, 116.1684,  98.0920, 134.1453
2017.0000,  10.0000, 119.6821, 101.5886, 137.1101
2017.0000,  11.0000,  -5.3170, -23.0430,  11.3565
2017.0000,  12.0000,  13.2835,  -4.5865,  30.9688
2018.0000,   1.0000, -22.1406, -39.4405,  -5.6116
2018.0000,   2.0000,   4.3243, -12.9362,  21.3095
2018.0000,   3.0000,  -9.7948, -26.3681,   6.9476
2018.0000,   4.0000,  43.0476,  28.4145,  57.8978
2018.0000,   5.0000, 149.9145, 135.7025, 164.2380
2018.0000,   6.0000, 145.2770, 132.3370, 158.2398
2018.0000,   7.0000, 134.3194, 120.5169, 148.8877
2018.0000,   8.0000, 104.0738,  87.4289, 120.5865
2018.0000,   9.0000, 127.6983, 110.0976, 144.9283
2018.0000,  10.0000, 169.1862, 151.8530, 187.1099
2018.0000,  11.0000,  20.4813,   2.9689,  37.2514
2018.0000,  12.0000, -19.7361, -37.3364,  -2.6182
2019.0000,   1.0000, -11.0691, -28.2165,   4.9102
2019.0000,   2.0000,  62.5463,  45.5922,  79.2792
2019.0000,   3.0000,  49.8015,  32.6278,  66.6851
2019.0000,   4.0000, 202.0335, 187.1164, 217.0483
2019.0000,   5.0000, 204.1826, 189.8146, 218.6489
2019.0000,   6.0000, 123.6222, 110.9278, 135.6697
2019.0000,   7.0000, 116.8192, 102.8873, 130.6897
2019.0000,   8.0000,  75.8015,  59.3987,  92.3397
2019.0000,   9.0000, 129.6472, 112.0080, 147.0381
2019.0000,  10.0000,  82.3827,  64.8057, 100.5095
2019.0000,  11.0000,  -1.4388, -18.4757,  15.8888
2019.0000,  12.0000,  22.3282,   5.7996,  39.1093
2020.0000,   1.0000,   6.4565, -10.5550,  22.4786
2020.0000,   2.0000, -39.4850, -56.9103, -23.0581
2020.0000,   3.0000,  73.7530,  56.6157,  90.8994
2020.0000,   4.0000, 102.1664,  87.0210, 117.0973
2020.0000,   5.0000, 137.7945, 124.2009, 152.3175
2020.0000,   6.0000, 131.2945, 119.2011, 143.9762
2020.0000,   7.0000, 147.3898, 133.4454, 162.0169
2020.0000,   8.0000,  96.5196,  78.9283, 112.5918
2020.0000,   9.0000,  79.2073,  61.9228,  97.0970
2020.0000,  10.0000,  30.2701,  12.4013,  47.8833
2020.0000,  11.0000,  33.3287,  16.3853,  51.0250
2020.0000,  12.0000, -55.7180, -72.4972, -38.4944
2021.0000,   1.0000, -26.6128, -43.9482,  -9.3472
2021.0000,   2.0000, -14.6898, -32.2185,   2.5295
2021.0000,   3.0000,  44.7664,  28.2230,  62.3359
2021.0000,   4.0000, 128.0497, 112.2961, 144.4343
2021.0000,   5.0000,  96.8155,  82.3794, 111.8064
2021.0000,   6.0000, 114.7808, 101.7516, 128.2602
2021.0000,   7.0000,  63.7877,  48.6604,  79.3478
2021.0000,   8.0000,  42.5209,  25.1849,  60.3937
2021.0000,   9.0000,  28.7603,   9.7885,  46.9673
2021.0000,  10.0000,   4.4742, -13.8346,  23.8746
2021.0000,  11.0000, -59.5042, -78.5761, -39.8108
2021.0000,  12.0000,  -5.5852, -23.7965,  12.7523
2022.0000,   1.0000, -65.6199, -84.0458, -46.8705
2022.0000,   2.0000,  -6.0678, -25.1477,  11.7818
2022.0000,   3.0000,  38.1444,  18.1201,  58.1613
