Year,Month,Median,2.5 Percentile,97.5 Percentile
2012,   4,1529,1474,1584
2012,   5,1533,1469,1594
2012,   6,1630,1568,1690
2012,   7,2068,2002,2131
2012,   8,2122,2053,2189
2012,   9,1800,1734,1863
2012,  10,1468,1406,1530
2012,  11,1568,1503,1630
2012,  12,1524,1466,1582
2013,   1,1521,1467,1578
2013,   2,1407,1352,1463
2013,   3,1515,1462,1568
2013,   4,1520,1465,1578
2013,   5,1573,1512,1631
2013,   6,2102,2040,2164
2013,   7,2262,2198,2330
2013,   8,2682,2618,2750
2013,   9,2728,2660,2796
2013,  10,2698,2635,2760
2013,  11,2221,2162,2284
2013,  12,2178,2119,2238
2014,   1,2010,1953,2067
2014,   2,1905,1849,1962
2014,   3,1858,1805,1912
2014,   4,2001,1947,2057
2014,   5,2342,2283,2406
2014,   6,2696,2631,2758
2014,   7,3205,3141,3270
2014,   8,3237,3167,3306
2014,   9,2904,2841,2971
2014,  10,3045,2982,3111
2014,  11,2969,2907,3033
2014,  12,2470,2412,2529
2015,   1,2262,2209,2318
2015,   2,2183,2128,2236
2015,   3,2117,2063,2169
2015,   4,2018,1965,2074
2015,   5,2473,2415,2536
2015,   6,2736,2674,2802
2015,   7,3100,3034,3163
2015,   8,3100,3032,3170
2015,   9,2790,2727,2857
2015,  10,2786,2722,2850
2015,  11,2291,2227,2353
2015,  12,2391,2331,2449
2016,   1,2513,2455,2568
2016,   2,2484,2431,2540
2016,   3,2485,2430,2538
2016,   4,2233,2179,2288
2016,   5,2464,2404,2524
2016,   6,2521,2460,2585
2016,   7,2986,2920,3048
2016,   8,3087,3022,3155
2016,   9,2566,2499,2635
2016,  10,2788,2725,2853
2016,  11,2619,2556,2681
2016,  12,2457,2401,2514
2017,   1,2257,2202,2313
2017,   2,2411,2353,2465
2017,   3,2413,2362,2466
2017,   4,2246,2189,2300
2017,   5,2016,1953,2075
2017,   6,2433,2371,2497
2017,   7,3294,3228,3360
2017,   8,3332,3267,3403
2017,   9,2832,2767,2896
2017,  10,3106,3041,3171
2017,  11,3077,3013,3138
2017,  12,2249,2192,2309
2018,   1,1965,1913,2021
2018,   2,2003,1950,2060
2018,   3,2407,2355,2464
2018,   4,2379,2324,2435
2018,   5,2422,2364,2484
2018,   6,2593,2532,2654
2018,   7,2604,2540,2670
2018,   8,2813,2744,2879
2018,   9,2646,2580,2714
2018,  10,2675,2612,2738
2018,  11,2859,2799,2922
2018,  12,2230,2173,2287
2019,   1,2303,2248,2358
2019,   2,2488,2432,2543
2019,   3,2533,2477,2588
2019,   4,2318,2265,2373
2019,   5,2359,2298,2420
2019,   6,2753,2690,2815
2019,   7,3027,2962,3091
2019,   8,3111,3044,3179
2019,   9,3026,2961,3091
2019,  10,2803,2740,2868
2019,  11,2943,2879,3006
2019,  12,2565,2507,2625
2020,   1,2455,2398,2511
2020,   2,2424,2371,2476
2020,   3,2362,2284,2438
2020,   4,2409,2353,2465
2020,   5,2473,2412,2533
2020,   6,2492,2428,2557
2020,   7,2522,2454,2587
2020,   8,2468,2398,2537
2020,   9,2685,2617,2748
2020,  10,2606,2540,2667
2020,  11,2535,2473,2596
2020,  12,2240,2180,2298
2021,   1,2255,2201,2312
2021,   2,2049,1978,2130
2021,   3,1954,1900,2007
2021,   4,1933,1875,1988
2021,   5,2226,2166,2286
2021,   6,2181,2118,2247
2021,   7,2233,2165,2295
2021,   8,2118,2052,2186
2021,   9,1938,1873,2007
2021,  10,1849,1786,1915
2021,  11,1723,1659,1785
2021,  12,1573,1513,1631
2022,   1,1578,1521,1633
2022,   2,1337,1280,1392
2022,   3,1349,1296,1404
